,years_competed,classes_competed,finish_placements,finish_marks
Edward Cheserek,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['1', '1', '1']","['28:30.18', '28:58.92', '29:09.57']"
Shadrack Kipchirchir,[2014],['SR-4'],['2'],['28:32.31']
Mohammed Ahmed,[2014],['SR-4'],['3'],['28:43.82']
Kennedy Kithuka,[2014],['SR-4'],['4'],['28:46.21']
Trevor Dunbar,[2014],['SR-4'],['5'],['28:53.81']
Jim Rosa,[2014],['JR-3'],['6'],['28:57.51']
Joe Bosshard,[2014],['SR-4'],['7'],['29:01.23']
Parker Stinson,[2014],['SR-4'],['8'],['29:01.39']
Chris Bendtsen,[2014],['SR-4'],['9'],['29:14.86']
Adam Bitchell,[2014],['SR-4'],['10'],['29:16.79']
John Mascari,[2014],['SO-2'],['11'],['29:30.76']
Jason Witt,"[2014, 2015]","['JR-3', 'SR-4']","['12', '3']","['29:40.98', '29:04.58']"
Andrew Springer,[2014],['SR-4'],['13'],['29:41.96']
Brian Atkinson,[2014],['SR-4'],['14'],['29:48.11']
Luke Caldwell,[2014],['SR-4'],['15'],['29:48.64']
Thomas Porter,[2014],['SR-4'],['16'],['29:50.74']
Brandon Lord,"[2014, 2015]","['JR-3', 'SR-4']","['17', '20']","['30:11.96', '30:19.98']"
Morsi Rayyan,"[2014, 2015]","['JR-3', 'SR-4']","['18', '21']","['30:17.87', '30:31.11']"
Tyler Byrne,[2014],['JR-3'],['19'],['30:26.49']
Chris Enriquez,[2014],['SO-2'],['20'],['30:48.70']
Martin Hehir,"[2014, 2015]","['JR-3', 'SR-4']","['21', '13']","['31:17.94', '29:47.29']"
Adam  Visokay,[2014],['FR-1'],['22'],['32:25.14']
Eric Jenkins,[2015],['SR-4'],['2'],['28:59.13']
Craig  Lutz,[2015],['SR-4'],['4'],['29:11.17']
Pierce Murphy,"[2015, 2016]","['JR-3', 'SR-4']","['5', '4']","['29:15.18', '29:12.49']"
Matt McElroy,[2015],['SR-4'],['6'],['29:16.55']
Matt McClintock,[2015],['JR-3'],['7'],['29:16.57']
Malachy Schrobilgen,"[2015, 2017]","['SO-2', 'SR-4']","['8', '21']","['29:17.07', '29:50.26']"
Sam Pons,[2015],['SR-4'],['9'],['29:17.54']
Lawrence Kipkoech,"[2015, 2016, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['10', '9', '13', '24']","['29:34.29', '29:24.69', '29:34.52', '31:20.16']"
Marc  Scott,"[2015, 2017]","['SO-2', 'SR-4']","['11', '1']","['29:37.18', '29:01.54']"
Futsum Zienasellassie,"[2015, 2016]","['JR-3', 'SR-4']","['12', '2']","['29:41.34', '29:10.68']"
Nate Jewkes,[2015],['SR-4'],['14'],['29:51.74']
Dan Lennon,[2015],['JR-3'],['15'],['29:55.69']
Spencer  Gardner,[2015],['SR-4'],['16'],['29:59.02']
Ryan Mahalsky,[2015],['SR-4'],['17'],['30:03.16']
Max  Straneva,[2015],['SR-4'],['18'],['30:06.94']
Ernest Kibet,[2015],['SO-2'],['19'],['30:14.66']
Gabe Gonzalez,[2016],['SR-4'],['3'],['29:11.09']
Reid Buchanan,[2016],['SR-4'],['5'],['29:13.40']
Jacob Thomson,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['6', '22', '6']","['29:13.73', '29:55.14', '28:40.50']"
Luis Vargas,[2016],['SR-4'],['7'],['29:18.40']
Erik Peterson,"[2016, 2017]","['JR-3', 'SR-4']","['8', '3']","['29:23.48', '29:04.74']"
Colin  Bennie,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['10', '20', '9']","['29:26.54', '29:47.09', '29:13.66']"
Amon Terer,[2016],['SR-4'],['11'],['29:28.87']
Lane Werley,[2016],['SR-4'],['12'],['29:29.14']
Luke Traynor,"[2016, 2017]","['JR-3', 'SR-4']","['13', '8']","['29:33.54', '29:10.58']"
Ben Flanagan,"[2016, 2018]","['SO-2', 'SR-4']","['14', '1']","['29:35.85', '28:34.53']"
Shaun Thompson,[2016],['SR-4'],['15'],['29:37.41']
Connor McMillan,"[2016, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['16', '12', '3']","['29:40.65', '29:32.65', '29:19.85']"
Reed  Fischer,"[2016, 2017]","['SO-2', 'SR-4']","['17', '9']","['29:41.47', '29:10.76']"
Antibahs Kosgei,"[2016, 2017]","['JR-3', 'SR-4']","['18', '16']","['29:42.89', '29:34.13']"
Jonathan Green,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['19', '18', '18']","['29:44.42', '29:41.73', '29:46.57']"
George Parsons,"[2016, 2017]","['JR-3', 'SR-4']","['20', '15']","['29:48.76', '29:27.58']"
Charles Mathenge,[2016],['SR-4'],['21'],['31:11.02']
Ryan Rutherford,[2016],['SR-4'],['22'],['31:34.05']
Tyler King,[2016],['SR-4'],['23'],['32:13.48']
Rory Linkletter,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['2', '24', '15']","['29:02.96', '31:37.69', '29:55.21']"
Arsène Guillorel,"[2017, 2018]","['JR-3', 'SR-4']","['4', '10']","['29:05.27', '29:16.71']"
Lucas Stalnaker,[2017],['SR-4'],['5'],['29:08.81']
Gilbert Kirui,[2017],['SO-2'],['6'],['29:09.42']
Matthew Baxter,"[2017, 2018]","['SR-4', 'SR-4']","['7', '5']","['29:09.83', '28:39.35']"
Jerrell Mock,[2017],['JR-3'],['10'],['29:11.27']
Alfred Chelanga,"[2017, 2018]","['JR-3', 'JR-3']","['11', '16']","['29:12.34', '29:44.08']"
Grant Fischer,"[2017, 2018]","['JR-3', 'SR-4']","['12', '11']","['29:17.57', '29:20.73']"
Tanner Anderson,[2017],['FR-1'],['13'],['29:21.67']
Jacob Choge,[2017],['FR-1'],['14'],['29:25.64']
Clayton Young,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['17', '23', '1']","['29:39.80', '31:37.54', '29:16.60']"
Frank Lara,"[2017, 2018, 2019]","['JR-3', 'JR-3', 'SR-4']","['19', '15', '17']","['29:44.82', '29:42.87', '30:09.94']"
Sylvester Barus,[2017],['JR-3'],['23'],['30:43.11']
Vincent Kiprop,"[2018, 2021]","['JR-3', 'SR-4']","['2', '14']","['28:34.99', '28:19.12']"
Dillon Maggard,[2018],['SR-4'],['3'],['28:38.36']
Tyler Day,"[2018, 2019]","['SO-2', 'JR-3']","['4', '6']","['28:39.03', '29:25.35']"
Gilbert Kigen,"[2018, 2019]","['JR-3', 'SR-4']","['7', '2']","['28:55.66', '29:18.10']"
Robert Brandt,"[2018, 2019]","['JR-3', 'JR-3']","['8', '7']","['29:13.12', '29:26.34']"
Michael Crozier,[2018],['SR-4'],['14'],['29:38.21']
Emmanuel Roudolff-Levisse,[2018],['SO-2'],['17'],['29:45.39']
Nahom Solomon,[2018],['SR-4'],['19'],['29:46.96']
Matt Welch,[2018],['SR-4'],['20'],['30:02.69']
Mike Tate,[2018],['SR-4'],['21'],['30:14.75']
Conner Mantz,"[2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3']","['22', '4', '2']","['31:37.34', '29:19.93', '27:42.46']"
Hassan Abdi,[2019],['SR-4'],['5'],['29:20.73']
Azaria Kirwa,[2019],['SR-4'],['8'],['29:30.88']
Gilbert Boit,"[2019, 2021]","['JR-3', 'SR-4']","['9', '13']","['29:32.03', '28:09.11']"
John Dressel,"[2019, 2021]","['JR-3', 'SR-4']","['10', '12']","['29:32.38', '28:03.87']"
Paul Hogan,[2019],['SR-4'],['11'],['29:42.60']
Ryan Forsyth,[2019],['SR-4'],['12'],['29:47.90']
Nadeel Wildschutt,[2019],['SO-2'],['13'],['29:54.12']
Brent Demarest,[2019],['SR-4'],['14'],['29:54.20']
Sean Burke,[2019],['JR-3'],['16'],['30:01.13']
Ben Veatch,[2019],['SO-2'],['18'],['30:14.93']
Adriaan Wildschutt,"[2019, 2021, 2022]","['SO-2', 'SR-4', 'SR-4']","['19', '8', '7']","['30:52.04', '27:48.89', '28:18.28']"
Iliass Aouani,[2019],['JR-3'],['20'],['30:54.96']
Dallin Farnsworth,[2019],['JR-3'],['21'],['30:58.64']
Aaron Templeton,[2019],['SR-4'],['22'],['31:00.58']
Connor Weaver,[2019],['SO-2'],['23'],['31:11.05']
