,years_competed,classes_competed,finish_placements,finish_marks
Devon Allen,"[2014, 2016]","['FR-1', 'SO-2']","['1', '1']","['13.16', '13.50']"
Aleec Harris,[2014],['SR-4'],['2'],['13.18']
Wayne Davis II,[2014],['SR-4'],['3'],['13.24']
Greggmar Swift,[2014],['SR-4'],['4'],['13.35']
Eddie Lovett,[2014],['SR-4'],['5'],['13.44']
Vincent Wyatt,[2014],['JR-3'],['6'],['13.60']
Durell Busby,[2014],['SR-4'],['7'],['13.70']
Trey Holloway,[2014],['SO-2'],['8'],['13.91']
Omar McLeod,[2015],['SO-2'],['1'],['13.01']
Johnathan Cabral,[2015],['SR-4'],['2'],['13.22']
Isaac Williams,[2015],['JR-3'],['3'],['13.31']
Joshua Thompson,[2015],['SR-4'],['4'],['13.34']
Aaron Mallett,"[2015, 2017]","['SO-2', 'SR-4']","['5', '4']","['13.40', '13.65']"
Spencer Dunkerley-Offor,[2015],['SO-2'],['6'],['13.45']
Justin Johnson,[2015],['SR-4'],['7'],['13.56']
Cameron Hall,[2015],['SR-4'],['8'],['13.61']
Nick Anderson,"[2016, 2017]","['JR-3', 'SR-4']","['2', '5']","['13.67', '13.66']"
Adarius Washington,[2016],['SR-4'],['3'],['13.68']
Freddie III Crittenden,[2016],['JR-3'],['4'],['13.70']
Amere Lattin,"[2016, 2019]","['FR-1', 'SR-4']","['5', '7']","['13.80', '13.77']"
Tony Brown,[2016],['JR-3'],['6'],['13.81']
Dondre Echols,[2016],['SR-4'],['7'],['13.84']
Jordan Moore,[2016],['JR-3'],['8'],['13.88']
Grant Holloway,"[2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3']","['1', '1', '1']","['13.49', '13.42', '12.98']"
Ruebin Walters,"[2017, 2018]","['JR-3', 'SR-4']","['2', '6']","['13.54', '13.95']"
David Kendziera,"[2017, 2018]","['JR-3', 'SR-4']","['3', '2']","['13.59', '13.43']"
Marquis Morris,[2017],['JR-3'],['6'],['13.75']
Desmond Palmer,[2017],['SR-4'],['7'],['14.00']
Isaiah Moore,"[2017, 2019]","['JR-3', 'SR-4']","['8', '3']","['14.05', '13.37']"
Damion Thomas,"[2018, 2021]","['FR-1', 'JR-3']","['3', '8']","['13.45', '13.76']"
Trey Cunningham,"[2018, 2022]","['FR-1', 'SR-4']","['4', '1']","['13.64', '13.00']"
Antoine Lloyd,[2018],['SR-4'],['5'],['13.94']
Luke Siedhoff,[2018],['SO-2'],['7'],['13.99']
John Burt,[2018],['JR-3'],['8'],['14.01']
Daniel Roberts,[2019],['JR-3'],['2'],['13.00']
Dashaun Jackson,[2019],['SR-4'],['4'],['13.38']
Caleb Parker,[2019],['JR-3'],['5'],['13.55']
Michael  Dickson,[2019],['SR-4'],['6'],['13.71']
Robert Dunning,[2021],['SR-4'],['1'],['13.25']
Jaylan  McConico,[2021],['SR-4'],['2'],['13.38']
Phillip Lemonious,"[2021, 2023]","['FR-1', 'JR-3']","['3', '1']","['13.39', '13.24']"
Jamal  Britt,[2021],['JR-3'],['4'],['13.45']
Jamar  Marshall Jr.,[2021],['FR-1'],['5'],['13.53']
Omotade Ojora,"[2021, 2022, 2023]","['JR-3', 'JR-3', 'SR-4']","['6', '8', '4']","['13.57', '13.58', '13.29']"
Giano Roberts,"[2021, 2022, 2023]","['JR-3', 'JR-3', 'SR-4']","['7', '4', '5']","['13.65', '13.45', '13.31']"
Tai Brown,[2021],['SO-2'],['9'],['13.89']
Eric Edwards Jr.,[2022],['SR-4'],['2'],['13.15']
Joshua Zeller,[2022],['JR-3'],['3'],['13.26']
Lafranz Campbell,[2022],['SR-4'],['5'],['13.45']
Kentre Patterson,[2022],['SR-4'],['6'],['13.46']
Justin Leaston,[2022],['SO-2'],['7'],['13.50']
Jaheem Hayles,"[2022, 2023]","['SO-2', 'JR-3']","['9', '3']","['13.73', '13.28']"
De' Vion Wilson,[2023],['JR-3'],['2'],['13.26']
Darius Luff,[2023],['JR-3'],['6'],['13.38']
Connor Schulman,[2023],['JR-3'],['7'],['13.47']
Rasheem Brown,[2023],['SR-4'],['8'],['13.50']
