,years_competed,classes_competed,finish_placements,finish_marks
Anthony Rotich,"[2014, 2015]","['JR-3', 'SR-4']","['1', '1']","['8:32.21', '8:33.90']"
Stanley Kebenei,"[2014, 2015]","['JR-3', 'SR-4']","['2', '2']","['8:35.27', '8:34.28']"
Ole  Hesselbjerg,"[2014, 2015]","['JR-3', 'SR-4']","['3', '3']","['8:38.75', '8:36.09']"
Mason  Ferlic,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['4', '12', '1']","['8:39.84', '8:57.30', '8:27.16']"
Brandon Doughty,"[2014, 2015]","['SO-2', 'JR-3']","['5', '4']","['8:41.65', '8:38.35']"
Tanguy Pepiot,[2014],['JR-3'],['6'],['8:43.26']
Caleb Hoover,"[2014, 2016]","['JR-3', 'SR-4']","['7', '12']","['8:43.99', '8:55.58']"
John Prizzi,[2014],['JR-3'],['8'],['8:44.02']
Alex Brill,[2014],['SR-4'],['9'],['8:49.17']
Alex Deir,[2014],['JR-3'],['10'],['8:57.23']
Edwin Kibichiy,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['11', '9', '3', '1']","['8:59.02', '8:43.78', '8:30.71', '8:28.40']"
Kyle  King,[2014],['SO-2'],['12'],['9:10.18']
Mike Hardy,[2015],['SR-4'],['5'],['8:42.30']
Mark  Parrish,[2015],['SR-4'],['6'],['8:42.34']
Dylan  Lafond,[2015],['JR-3'],['7'],['8:42.96']
Zak Seddon,"[2015, 2016]","['JR-3', 'SR-4']","['8', '6']","['8:43.77', '8:38.26']"
Steve Flint,[2015],['SR-4'],['10'],['8:54.80']
Darren  Fahy,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['11', '5', '2']","['8:56.69', '8:36.73', '8:31.08']"
Frankline Tonui,[2016],['JR-3'],['2'],['8:30.67']
Dylan Blankenbaker,"[2016, 2017]","['JR-3', 'SR-4']","['4', '3']","['8:34.69', '8:31.17']"
Troy Reeder,"[2016, 2017]","['SO-2', 'JR-3']","['7', '8']","['8:42.26', '8:38.64']"
MJ Erb,"[2016, 2017]","['JR-3', 'SR-4']","['8', '4']","['8:43.81', '8:32.38']"
Bryce Miller,[2016],['JR-3'],['9'],['8:46.15']
Benard Keter,"[2016, 2017]","['JR-3', 'SR-4']","['10', '6']","['8:47.70', '8:34.27']"
Jakob Abrahamsen,[2016],['SO-2'],['11'],['8:48.86']
Aaron Fletcher,[2016],['SR-4'],['13'],['9:14.56']
Scott  Carpenter,[2017],['JR-3'],['5'],['8:32.92']
Troy Fraley,[2017],['JR-3'],['7'],['8:35.38']
Emmanuel Rotich,[2017],['SO-2'],['9'],['8:40.64']
Jacob Heslington,"[2017, 2019]","['FR-1', 'JR-3']","['10', '12']","['8:44.28', '9:02.03']"
Bailey Roth,"[2017, 2019]","['SO-2', 'SR-4']","['11', '5']","['8:48.70', '8:40.92']"
Noah Schutte,[2017],['SO-2'],['12'],['9:04.87']
Obsa Ali,"[2018, 2019]","['JR-3', 'SR-4']","['1', '4']","['8:32.23', '8:40.36']"
Jamaine Coleman,[2018],['SR-4'],['2'],['8:33.52']
Steven Fahy,"[2018, 2019]","['JR-3', 'SR-4']","['3', '1']","['8:34.52', '8:38.46']"
Aidan Tooker,[2018],['SO-2'],['4'],['8:35.41']
Andrew Gardner,[2018],['SR-4'],['5'],['8:37.07']
Matt Owens,"[2018, 2019]","['FR-1', 'SO-2']","['6', '8']","['8:38.09', '8:45.40']"
Clayson Shumway,"[2018, 2019]","['SO-2', 'JR-3']","['7', '10']","['8:40.15', '8:53.45']"
Riley Osen,[2018],['FR-1'],['8'],['8:41.24']
Noah Affolder,[2018],['FR-1'],['9'],['8:43.72']
Brian Barraza,[2018],['SR-4'],['10'],['8:44.42']
Max Benoit,[2018],['SR-4'],['11'],['8:47.15']
John Rice,[2018],['SO-2'],['12'],['8:52.81']
Ryan Smeeton,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['2', '3', '4']","['8:39.10', '8:30.70', '8:20.06']"
Kigen Chemadi,"[2019, 2021]","['JR-3', 'SR-4']","['3', '1']","['8:40.22', '8:28.20']"
Alex Rogers,[2019],['SR-4'],['6'],['8:43.29']
Daniel Michalski,[2019],['SR-4'],['7'],['8:43.48']
Nathan Mylenek,[2019],['JR-3'],['9'],['8:49.40']
Kenneth Rooks,"[2019, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['11', '6', '1']","['9:00.53', '8:22.56', '8:26.17']"
Alec Basten,"[2021, 2022]","['JR-3', 'SR-4']","['2', '7']","['8:29.03', '8:23.86']"
Garrett Marsing,[2021],['SR-4'],['4'],['8:31.54']
