,years_competed,classes_competed,finish_placements,finish_marks
Maicel Uibo,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['1', '1', '3']","['8182', '8356', '8294']"
Johannes Hock,[2014],['SO-2'],['2'],['8092']
Dakotah Keys,"[2014, 2015]","['JR-3', 'SR-4']","['3', '3']","['8068', '7863']"
Garrett Scantling,[2014],['JR-3'],['4'],['7984']
Zach Ziemek,"[2014, 2016]","['JR-3', 'SR-4']","['5', '2']","['7981', '8300']"
Alex McCune,"[2014, 2016]","['JR-3', 'SR-4']","['6', '21']","['7806', '6572']"
Viktor Fajoyomi,[2014],['SR-4'],['7'],['7712']
Robert Cardina,[2014],['FR-1'],['8'],['7666']
Chase Dalton,[2014],['SR-4'],['9'],['7568']
Reinis Kregers,[2014],['SO-2'],['10'],['7567']
Jeff Mohl,[2014],['SR-4'],['11'],['7533']
Kevin Lazas,[2014],['SR-4'],['12'],['7516']
Mitch Modin,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['13', '18', '13', '15']","['7485', '6666', '7556', '7446']"
Wolf Mahler,"[2014, 2015, 2017]","['FR-1', 'SO-2', 'SR-4']","['14', '7', '8']","['7444', '7650', '7737']"
Kurt Schneider,[2014],['SR-4'],['15'],['7429']
Michael McPherson,[2014],['JR-3'],['16'],['7272']
Henry Vildosola,[2014],['SR-4'],['17'],['7202']
Luis Hanssler,"[2014, 2016]","['SO-2', 'SR-4']","['18', '17']","['7120', '7148']"
Joshua Weirich,[2014],['SR-4'],['19'],['7043']
Evan Weinstock,[2014],['SR-4'],['20'],['7026']
Devin Dick,[2014],['SR-4'],['21'],['6700']
Bryan Jones,[2014],['SR-4'],['22'],['5138']
Pau Tonnesen,"[2015, 2016]","['JR-3', 'SR-4']","['2', '4']","['8247', '8103']"
Harrison Williams,"[2015, 2016, 2019]","['FR-1', 'SO-2', 'SR-4']","['4', '5', '2']","['7806', '8032', '8010']"
Tim Ehrhardt,"[2015, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['5', '14', '6']","['7677', '7455', '7736']"
Stephen Soerens,[2015],['SR-4'],['6'],['7669']
Scott Filip,"[2015, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['8', '5', '5']","['7647', '7867', '7803']"
Atsu Nyamadi,"[2015, 2016]","['JR-3', 'SR-4']","['9', '10']","['7567', '7709']"
Markus Leemet,[2015],['SO-2'],['10'],['7549']
K'vonte Scott,[2015],['SR-4'],['11'],['7541']
Steele Wasik,"[2015, 2017]","['FR-1', 'JR-3']","['12', '10']","['7519', '7642']"
