,years_competed,classes_competed,finish_placements,finish_marks
Hayden Reed,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['1', '12', '16']","['62.74m', '57.93m', '55.06m']"
Julian Wruck,[2014],['SR-4'],['2'],['62.56m']
Tavis Bailey,"[2014, 2015]","['JR-3', 'SR-4']","['3', '2']","['62.14m', '61.92m']"
Chad Wright,[2014],['SR-4'],['4'],['61.93m']
Sam Mattis,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['5', '1', '2']","['60.33m', '62.48m', '60.96m']"
Mason Finley,[2014],['SR-4'],['6'],['59.88m']
Eric Masington,[2014],['SR-4'],['7'],['59.19m']
Filip Mihaljevic,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['8', '3', '5', '1']","['58.86m', '61.29m', '60.28m', '63.76m']"
Dominique Howard,[2014],['JR-3'],['9'],['58.60m']
Rodney Brown,"[2014, 2015]","['JR-3', 'SR-4']","['10', '9']","['58.47m', '58.35m']"
Gabe Hull,[2014],['JR-3'],['11'],['57.99m']
Matthew Kosecki,[2014],['SR-4'],['12'],['57.43m']
Stephen Mozia,[2014],['JR-3'],['13'],['57.34m']
Andrew Evans,[2014],['SR-4'],['14'],['57.26m']
Luke Vaughn,"[2014, 2015, 2018]","['FR-1', 'SO-2', 'SR-4']","['15', '14', '1']","['57.22m', '56.97m', '60.41m']"
Will Spence,[2014],['JR-3'],['16'],['57.10m']
Derek White,[2014],['SR-4'],['17'],['56.27m']
Danny  Block,[2014],['SR-4'],['18'],['55.53m']
Reginald Jagers,"[2014, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['19', '7', '2']","['55.40m', '59.56m', '62.51m']"
Darian Brown,[2014],['JR-3'],['20'],['54.55m']
Caleb Fricke,[2014],['SO-2'],['21'],['53.95m']
Kole Weldon,"[2014, 2015]","['JR-3', 'SR-4']","['22', '10']","['53.42m', '58.20m']"
Antonio James,"[2014, 2015]","['JR-3', 'SR-4']","['23', '4']","['50.88m', '60.99m']"
Ryan Crouser,[2015],['SR-4'],['5'],['60.18m']
Jordan Young,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['6', '12', '3']","['60.13m', '57.02m', '61.94m']"
Cody Snyder,[2015],['SR-4'],['7'],['59.04m']
Michael Ohakwe,[2015],['SR-4'],['8'],['58.49m']
Mitchell Cooper,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['11', '10', '6']","['58.19m', '57.39m', '59.12m']"
Clint Harris,[2015],['SR-4'],['13'],['57.16m']
Nicholas Percy,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['15', '1', '14', '8']","['56.87m', '61.27m', '56.15m', '56.72m']"
Dalton Rowan,[2015],['SR-4'],['16'],['56.75m']
Gerhard De Beer,"[2015, 2016]","['SO-2', 'JR-3']","['17', '4']","['56.38m', '60.88m']"
Phillip  Jagers,"[2015, 2017]","['SO-2', 'SR-4']","['18', '16']","['55.38m', '55.72m']"
Alex Thompson,[2015],['SR-4'],['19'],['54.99m']
Jan-Louw Kotze,"[2015, 2016]","['JR-3', 'SR-4']","['20', '6']","['54.96m', '59.79m']"
Nicolai Ceban,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['21', '13', '13', '14']","['54.86m', '56.74m', '56.66m', '54.26m']"
Ethan Cochran,[2015],['SO-2'],['22'],['54.50m']
Noah Kennedy-White,[2015],['SO-2'],['23'],['53.86m']
Marek Barta,"[2016, 2017]","['SO-2', 'JR-3']","['3', '7']","['60.96m', '58.99m']"
Kevin Farley,[2016],['SR-4'],['8'],['57.90m']
Jayson Kovar,"[2016, 2017]","['JR-3', 'SR-4']","['9', '17']","['57.76m', '54.91m']"
Joe Williams,"[2016, 2017]","['JR-3', 'SR-4']","['11', '11']","['57.13m', '57.39m']"
Adam Damadzic,[2016],['JR-3'],['14'],['55.18m']
David Lucas,"[2016, 2017, 2018, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['15', '9', '7', '14']","['55.12m', '58.00m', '56.87m', '55.53m']"
Kord Ferguson,"[2016, 2018, 2019]","['FR-1', 'JR-3', 'SR-4']","['17', '4', '3']","['54.99m', '58.42m', '62.07m']"
Nicholas Scarvelis,[2016],['SR-4'],['18'],['54.50m']
Jeff Bartlett,[2016],['JR-3'],['19'],['54.36m']
Dotun Ogundeji,"[2016, 2017, 2019]","['FR-1', 'SO-2', 'SR-4']","['20', '19', '4']","['53.67m', '54.76m', '60.35m']"
Josh McDonald,[2016],['SO-2'],['21'],['47.57m']
Brian Williams,"[2017, 2018]","['JR-3', 'SR-4']","['4', '3']","['59.95m', '58.62m']"
Reno Tuufuli,"[2017, 2018]","['SO-2', 'JR-3']","['5', '5']","['59.81m', '57.61m']"
Kyle Long,[2017],['SR-4'],['8'],['58.09m']
Macklin Tudor,[2017],['SR-4'],['10'],['57.86m']
Emmanuel Onyia,[2017],['SR-4'],['12'],['56.79m']
Greg Thompson,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['15', '2', '12']","['56.01m', '58.96m', '57.37m']"
Matthew Zajac,[2017],['JR-3'],['18'],['54.81m']
Ryan Hunter-Simms,[2017],['SR-4'],['20'],['53.07m']
Ryan Camp,[2017],['FR-1'],['21'],['51.93m']
Avery Meyers,[2017],['SR-4'],['22'],['51.51m']
Trevor Kintyhtt,[2017],['SR-4'],['23'],['51.07m']
Nicholas Coghill,[2017],['FR-1'],['24'],['47.87m']
Ashmon Lucas,[2018],['SO-2'],['6'],['56.88m']
Eric Kicinski,"[2018, 2019]","['JR-3', 'SR-4']","['9', '1']","['56.55m', '62.53m']"
Payton  Otterdahl,"[2018, 2019]","['JR-3', 'SR-4']","['10', '2']","['55.48m', '62.48m']"
Daniel Haugh,[2018],['JR-3'],['11'],['55.27m']
Jordan Geist,[2018],['FR-1'],['12'],['54.95m']
George Evans,[2018],['FR-1'],['13'],['54.41m']
Rafael Vallery,[2018],['SR-4'],['15'],['53.98m']
Noah Castle,"[2018, 2019]","['JR-3', 'SR-4']","['16', '19']","['53.95m', '54.63m']"
Kyle Douglass,[2018],['SR-4'],['17'],['53.91m']
McKay Johnson,[2018],['SO-2'],['18'],['53.43m']
Turner Washington,"[2018, 2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['19', '1', '10', '1']","['53.36m', '63.42m', '58.33m', '66.22m']"
Gian Ragonesi,[2018],['SR-4'],['20'],['52.77m']
Cullen Prena,[2018],['SR-4'],['21'],['51.47m']
Irenej Bozovicar,[2018],['SR-4'],['22'],['51.46m']
Carlos Davis,"[2018, 2019]","['JR-3', 'SR-4']","['23', '16']","['49.10m', '56.51m']"
Denzel Comenentia,[2019],['SR-4'],['5'],['59.97m']
Samuel Welsh,"[2019, 2022]","['FR-1', 'SO-2']","['6', '13']","['59.54m', '57.27m']"
Elijah Mason,"[2019, 2021, 2022, 2023]","['FR-1', 'JR-3', 'SR-4', 'SR-4']","['7', '6', '7', '8']","['58.29m', '57.72m', '59.60m', '61.10m']"
Brett Neelly,[2019],['SR-4'],['8'],['58.23m']
Jerimiah Evans,[2019],['SO-2'],['9'],['57.85m']
Nathan Dunivan,[2019],['SR-4'],['10'],['57.75m']
