,years_competed,classes_competed,finish_placements,finish_marks
Matthias Tayala,"[2014, 2015]","['JR-3', 'SR-4']","['1', '2']","['73.57m', '71.56m']"
Nick Miller,"[2014, 2016]","['JR-3', 'SR-4']","['2', '1']","['72.40m', '73.98m']"
Michael Lihrman,"[2014, 2015]","['JR-3', 'SR-4']","['3', '16']","['71.24m', '64.49m']"
Greg Skipper,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['4', '3', '3']","['69.88m', '71.25m', '71.39m']"
Tomas Kruzliak,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['5', '4', '10']","['69.47m', '69.10m', '68.32m']"
Alex  Poursanidis,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['6', '9', '9', '7']","['69.28m', '68.10m', '68.83m', '71.44m']"
Renaldo Frechou,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['7', '5', '16']","['67.64m', '68.64m', '65.66m']"
Kyle Strawn,[2014],['JR-3'],['8'],['64.87m']
Casey Strong,[2014],['JR-3'],['9'],['64.33m']
Jon Lehman,[2014],['SR-4'],['10'],['64.27m']
Chukwuebuka Enekwechi,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['11', '6', '6']","['64.26m', '68.42m', '69.74m']"
Alex Larsson,"[2014, 2015]","['FR-1', 'SO-2']","['12', '13']","['64.15m', '65.05m']"
Charodd Richardson,[2014],['JR-3'],['13'],['63.88m']
Jordan Young,"[2014, 2015, 2017]","['FR-1', 'SO-2', 'SR-4']","['14', '7', '9']","['63.73m', '68.16m', '69.71m']"
Connor Neu,[2014],['SO-2'],['15'],['63.61m']
Jeremy Tuttle,[2014],['JR-3'],['16'],['62.91m']
Alex Young,[2014],['SO-2'],['17'],['61.90m']
Will Lohman,"[2014, 2015]","['SO-2', 'SR-4']","['18', '15']","['61.80m', '64.75m']"
Curtis Wideman,[2014],['JR-3'],['19'],['61.16m']
Chris Nicasio,[2014],['SR-4'],['20'],['60.65m']
Nathaniel Marshall,[2014],['SR-4'],['21'],['59.04m']
Lucas Rowley,[2014],['JR-3'],['22'],['58.74m']
Jordan  Arakawa,[2014],['JR-3'],['23'],['55.36m']
Conor McCullough,[2015],['SR-4'],['1'],['76.91m']
Rudy Winkler,"[2015, 2016, 2017, 2018]","['FR-1', 'JR-3', 'SR-4', 'SR-4']","['8', '2', '1', '4']","['68.10m', '72.84m', '74.12m', '72.74m']"
Alexander Young,"[2015, 2017]","['JR-3', 'SR-4']","['10', '2']","['66.50m', '73.66m']"
Davis Fraker,[2015],['SR-4'],['11'],['65.30m']
Gian Ferretti,[2015],['SO-2'],['12'],['65.28m']
Jonathan Kinchen,[2015],['SR-4'],['14'],['64.78m']
Scott Erickson,[2015],['SR-4'],['17'],['64.14m']
Vinny Gjokaj,[2015],['SO-2'],['18'],['63.83m']
Cole Walderzak,[2015],['JR-3'],['19'],['63.70m']
Albert  Hughes,[2015],['SR-4'],['20'],['62.80m']
Weston Cottrell,[2015],['JR-3'],['21'],['62.34m']
Alec Faldermeyer,[2015],['SR-4'],['22'],['62.21m']
Kyle Lillie,[2015],['SR-4'],['23'],['61.13m']
Sean Ferriter,[2015],['SR-4'],['24'],['56.95m']
Sean Donnelly,[2016],['SR-4'],['4'],['71.28m']
Anders Eriksson,"[2016, 2018, 2019]","['FR-1', 'JR-3', 'SR-4']","['5', '2', '11']","['70.48m', '73.76m', '68.14m']"
Adam Keenan,"[2016, 2017]","['JR-3', 'SR-4']","['7', '11']","['69.45m', '68.98m']"
Dempsey  McGuigan,"[2016, 2017]","['SO-2', 'SR-4']","['8', '10']","['69.23m', '69.14m']"
Denzel Comenentia,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['11', '5', '1', '5']","['68.21m', '71.75m', '76.41m', '72.93m']"
Elias Hakansson,[2016],['JR-3'],['12'],['67.11m']
Conner Neu,[2016],['SR-4'],['13'],['66.33m']
Adam Kelly,"[2016, 2018]","['FR-1', 'JR-3']","['14', '9']","['65.82m', '70.27m']"
Justin  Baker,[2016],['SR-4'],['15'],['65.76m']
Joseph Ellis,"[2016, 2017]","['FR-1', 'SO-2']","['17', '8']","['65.43m', '70.33m']"
Bradley Sauer,[2016],['SR-4'],['18'],['64.24m']
Austin Riddle,"[2016, 2017]","['SO-2', 'JR-3']","['19', '18']","['63.09m', '64.94m']"
Skylar Arneson,[2016],['SR-4'],['20'],['62.89m']
Tyler Merkley,"[2016, 2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['21', '9', '2', '7']","['62.09m', '70.28m', '72.70m', '72.40m']"
Brady Grunder,"[2016, 2017]","['JR-3', 'SR-4']","['22', '21']","['61.68m', '62.71m']"
Fellan McGuigan,[2016],['FR-1'],['23'],['60.25m']
Robert Marlow,[2016],['JR-3'],['24'],['60.21m']
Gleb Dudarev,"[2017, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['3', '12', '2', '2']","['73.44m', '69.18m', '73.88m', '74.53m']"
Hilmar Orn Jonsson,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['4', '11', '3']","['72.38m', '69.94m', '73.31m']"
Johnnie  Jackson,[2017],['SR-4'],['6'],['71.72m']
Cameron  Brown,[2017],['SR-4'],['12'],['68.55m']
Joshua Hernandez,"[2017, 2018]","['FR-1', 'SO-2']","['13', '19']","['66.95m', '63.46m']"
Brock Eager,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['14', '14', '12']","['66.16m', '67.97m', '67.69m']"
Seth Whitener,[2017],['SO-2'],['15'],['66.14m']
Cristian Ravar Ladislau,"[2017, 2018]","['JR-3', 'SR-4']","['16', '15']","['65.33m', '67.75m']"
Trevor Troutman,[2017],['SR-4'],['17'],['65.09m']
Riley Budde,[2017],['JR-3'],['19'],['63.15m']
Mitch Dixon,"[2017, 2018]","['JR-3', 'SR-4']","['20', '18']","['62.91m', '64.17m']"
Kyle Smith,[2017],['SR-4'],['22'],['61.54m']
Austin Cook,[2017],['JR-3'],['23'],['60.00m']
Cullen Prena,[2017],['JR-3'],['24'],['59.75m']
Jake Norris,"[2018, 2021, 2022]","['FR-1', 'JR-3', 'SR-4']","['3', '22', '10']","['73.24m', '67.12m', '69.65m']"
Daniel Haugh,[2018],['JR-3'],['5'],['72.72m']
Morgan Shigo,"[2018, 2019]","['JR-3', 'SR-4']","['6', '7']","['72.47m', '70.75m']"
Thomas Mardal,"[2018, 2019, 2021]","['FR-1', 'SO-2', 'SR-4']","['7', '4', '1']","['72.20m', '73.10m', '76.74m']"
AJ McFarland,"[2018, 2019]","['JR-3', 'SR-4']","['8', '6']","['71.29m', '71.68m']"
Kevin Arreaga,"[2018, 2019, 2021]","['FR-1', 'JR-3', 'SR-4']","['10', '10', '14']","['70.07m', '68.32m', '69.60m']"
Michael Shanahan,[2018],['SR-4'],['13'],['69.16m']
