,years_competed,classes_competed,finish_placements,finish_marks
Bryan McBride,"[2014, 2015]","['JR-3', 'SR-4']","['1', '6']","['2.28m', '2.19m']"
Wally Ellenson,"[2014, 2015]","['SO-2', 'JR-3']","['2', '5']","['2.25m', '2.19m']"
Kyle Landon,"[2014, 2016, 2017]","['FR-1', 'JR-3', 'SR-4']","['3', '8', '15']","['2.20m', '2.19m', '2.08m']"
Nick Ross,[2014],['SR-4'],['3'],['2.20m']
Justin Fondren,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['5', '14', '22']","['2.20m', '2.12m', '2.09m']"
DJ Smith,[2014],['SR-4'],['6'],['2.20m']
Montez Blair,[2014],['SR-4'],['7'],['2.15m']
Maalik Reynolds,[2014],['SR-4'],['7'],['2.15m']
Avion  Jones,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['9', '3', '4']","['2.15m', '2.25m', '2.19m']"
Jacorian Duffield,"[2014, 2015]","['JR-3', 'SR-4']","['10', '1']","['2.15m', '2.28m']"
Torian Ware,"[2014, 2015]","['JR-3', 'SR-4']","['11', '10']","['2.15m', '2.16m']"
Jamario Taylor,[2014],['SR-4'],['12'],['2.15m']
Bradley Adkins,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['13', '2', '6']","['2.10m', '2.25m', '2.19m']"
Trey McRae,"[2014, 2016]","['JR-3', 'SR-4']","['13', '3']","['2.10m', '2.19m']"
Devion Harris,[2014],['SR-4'],['15'],['2.10m']
David Fajoyomi,[2014],['SR-4'],['15'],['2.10m']
Ken LeGassey,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['15', '13', '18']","['2.10m', '2.16m', '2.09m']"
Zack Riley,[2014],['JR-3'],['18'],['2.10m']
Isaiah Harris,[2014],['SR-4'],['19'],['2.10m']
Reggie Nelson,"[2014, 2015]","['JR-3', 'SR-4']","['19', '20']","['2.10m', '2.08m']"
Noah Kittelson,[2014],['SR-4'],['21'],['2.05m']
Marcus Jackson,[2015],['SR-4'],['4'],['2.22m']
James White,[2015],['SR-4'],['7'],['2.19m']
Randall Cunningham,"[2015, 2016]","['FR-1', 'SO-2']","['8', '1']","['2.16m', '2.25m']"
Shawn Johnson,[2015],['JR-3'],['8'],['2.16m']
Trey Culver,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['11', '5', '2', '4']","['2.16m', '2.19m', '2.21m', '2.21m']"
Gemikal Prude,[2015],['JR-3'],['12'],['2.16m']
Branden Greene,"[2015, 2016]","['JR-3', 'SR-4']","['14', '11']","['2.12m', '2.14m']"
Ed'Ricus Williams,[2015],['SO-2'],['16'],['2.12m']
Roland  Sales,[2015],['JR-3'],['17'],['2.12m']
NaTron Gipson,[2015],['FR-1'],['18'],['2.12m']
Keyth Fightmaster,[2015],['FR-1'],['19'],['2.12m']
Landon Bartel,"[2015, 2017, 2018]","['FR-1', 'JR-3', 'SR-4']","['20', '15', '9']","['2.08m', '2.08m', '2.18m']"
Michael  Monroe,[2015],['FR-1'],['20'],['2.08m']
Christoff Bryan,"[2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3']","['23', '2', '1']","['2.08m', '2.22m', '2.21m']"
Adam Aguirre,[2015],['JR-3'],['24'],['2.08m']
Matthew Campbell,[2016],['JR-3'],['7'],['2.19m']
Keenon Laine,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['8', '4', '3', '4']","['2.19m', '2.13m', '2.21m', '2.24m']"
Brett Pozolinski,[2016],['SR-4'],['10'],['2.14m']
Ty Anderson,"[2016, 2018]","['SO-2', 'SR-4']","['12', '13']","['2.14m', '2.08m']"
Eric Moore,[2016],['SO-2'],['13'],['2.09m']
Grant Anderson,[2016],['SO-2'],['13'],['2.09m']
Cody Stine,"[2016, 2019]","['FR-1', 'JR-3']","['13', '9']","['2.09m', '2.18m']"
Curtis Richardson,"[2016, 2019]","['FR-1', 'SR-4']","['13', '20']","['2.09m', '2.10m']"
Zachary Blackham,[2016],['SR-4'],['13'],['2.09m']
Jordan Wesner,"[2016, 2021]","['FR-1', 'SR-4']","['18', '8']","['2.09m', '2.20m']"
Thilina Karunaratne,[2016],['FR-1'],['18'],['2.09m']
Seth Peace,[2016],['SR-4'],['18'],['2.09m']
Andre Dorsey,[2016],['SR-4'],['22'],['2.09m']
Justice  Summerset,"[2017, 2019, 2021]","['FR-1', 'JR-3', 'SR-4']","['3', '12', '11']","['2.18m', '2.18m', '2.20m']"
Tye Williams,[2017],['JR-3'],['4'],['2.13m']
