,years_competed,classes_competed,finish_placements,finish_marks
Sam Crouser,"[2014, 2015]","['JR-3', 'SR-4']","['1', '1']","['76.98m', '79.19m']"
Raymond  Dykstra,"[2014, 2015]","['JR-3', 'SR-4']","['2', '4']","['76.72m', '74.90m']"
Jay Stell,"[2014, 2016]","['SO-2', 'SR-4']","['3', '6']","['71.30m', '73.81m']"
Chris Carper,[2014],['SR-4'],['4'],['71.19m']
Quinn Hale,"[2014, 2016]","['JR-3', 'SR-4']","['5', '18']","['70.82m', '69.55m']"
Tomas Guerra,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['6', '10', '11']","['69.31m', '69.66m', '70.34m']"
Evan Karakolis,"[2014, 2016]","['SO-2', 'SR-4']","['7', '5']","['68.91m', '73.95m']"
MaCauley Garton,"[2014, 2015]","['JR-3', 'SR-4']","['8', '11']","['68.78m', '68.64m']"
McLean Lipschutz,"[2014, 2017]","['SO-2', 'SR-4']","['9', '10']","['68.77m', '69.41m']"
Garrett Snow,[2014],['SO-2'],['10'],['66.56m']
Thomas Lang,"[2014, 2015]","['SO-2', 'JR-3']","['11', '6']","['66.53m', '72.50m']"
Devin Bogert,"[2014, 2015]","['JR-3', 'SR-4']","['12', '14']","['66.14m', '67.94m']"
Justin Carter,[2014],['FR-1'],['13'],['65.75m']
Cody Danielson,"[2014, 2016, 2017]","['FR-1', 'JR-3', 'SR-4']","['14', '7', '12']","['65.10m', '72.92m', '69.31m']"
Joshua Cox,[2014],['JR-3'],['15'],['65.03m']
Ivan Hartung,[2014],['JR-3'],['16'],['64.56m']
Kyle  Smith,[2014],['SR-4'],['17'],['64.47m']
Fabian Dohmann,"[2014, 2018]","['FR-1', 'SR-4']","['18', '7']","['64.41m', '70.58m']"
Stefano Nardini,[2014],['JR-3'],['19'],['63.14m']
Carson Fuller,"[2014, 2016]","['SO-2', 'SR-4']","['20', '15']","['62.51m', '70.22m']"
Kaleb Zuidema,"[2014, 2016]","['FR-1', 'JR-3']","['21', '20']","['62.47m', '69.32m']"
Vincent DuVernois,[2014],['SR-4'],['22'],['60.47m']
Kyle Baker,[2014],['SR-4'],['23'],['59.89m']
Richard York,[2014],['SR-4'],['24'],['57.67m']
John Ampomah,"[2015, 2016]","['JR-3', 'SR-4']","['2', '3']","['77.13m', '76.44m']"
Curtis Thompson,"[2015, 2016, 2017, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['3', '1', '7', '2']","['75.42m', '77.64m', '72.47m', '78.43m']"
Ioannis Kyriazis,"[2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3']","['5', '2', '1']","['73.13m', '77.25m', '82.58m']"
Matti  Mortimore,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'JR-3']","['7', '12', '5']","['72.44m', '70.30m', '74.33m']"
Kyle Bynum,[2015],['JR-3'],['8'],['70.07m']
Curtis Clauson,[2015],['SR-4'],['9'],['70.04m']
Derek Eager,[2015],['SR-4'],['12'],['68.27m']
Michael Criticos,"[2015, 2017, 2018]","['FR-1', 'JR-3', 'SR-4']","['13', '13', '5']","['68.09m', '69.18m', '71.25m']"
Robert Smutsky,[2015],['SO-2'],['15'],['67.93m']
Austin  Schmidt,[2015],['FR-1'],['16'],['67.75m']
Thomas Carr,[2015],['JR-3'],['17'],['67.17m']
Thomas Gore-Schreck,[2015],['SR-4'],['18'],['66.12m']
Chris Mirabelli,"[2015, 2016, 2017, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['19', '17', '8', '9']","['65.80m', '69.90m', '71.68m', '69.71m']"
Rasmus Maukonen,[2015],['SO-2'],['20'],['65.52m']
Vincent Rentzsch,"[2015, 2016]","['JR-3', 'SR-4']","['21', '21']","['64.71m', '69.27m']"
Kyle Stevens,[2015],['SR-4'],['22'],['64.62m']
Kyle Smith,[2015],['SR-4'],['23'],['64.33m']
Alex Pascal,"[2015, 2017]","['FR-1', 'JR-3']","['24', '4']","['62.69m', '75.38m']"
Emron Gibbs,"[2016, 2017]","['SR-4', 'SR-4']","['4', '20']","['74.62m', '66.76m']"
Rob  Robbins,[2016],['SR-4'],['8'],['72.52m']
Damien Odle,"[2016, 2018]","['JR-3', 'SR-4']","['9', '20']","['71.90m', '63.47m']"
John Nizich,"[2016, 2018, 2019]","['FR-1', 'JR-3', 'SR-4']","['10', '18', '10']","['70.35m', '64.30m', '69.43m']"
Reinhard Van Zyl,"[2016, 2017]","['JR-3', 'SR-4']","['13', '19']","['70.25m', '66.86m']"
Hudson Keffer,[2016],['FR-1'],['14'],['70.23m']
Tyler Renton,[2016],['SR-4'],['16'],['70.17m']
Matija Muhar,[2016],['FR-1'],['19'],['69.53m']
Sam Hardin,"[2016, 2017, 2019]","['SO-2', 'JR-3', 'SR-4']","['22', '11', '6']","['67.86m', '69.34m', '73.05m']"
Bill Stanley,[2016],['JR-3'],['23'],['65.93m']
Christian Spaulding,[2016],['SR-4'],['24'],['62.92m']
