,years_competed,classes_competed,finish_placements,finish_marks
Marquis Dendy,"[2014, 2015]","['JR-3', 'SR-4']","['1', '1']","['8.00m', '8.43m']"
Willie Alexander,[2014],['SO-2'],['2'],['7.73m']
Raymond Higgs,[2014],['SR-4'],['3'],['7.68m']
Laderrick Ward,"[2014, 2015]","['JR-3', 'SR-4']","['4', '6']","['7.56m', '7.82m']"
Braxton Drummond,[2014],['JR-3'],['5'],['7.55m']
Devin Field,[2014],['SO-2'],['6'],['7.48m']
Corey Crawford,"[2014, 2016]","['JR-3', 'SR-4']","['7', '4']","['7.47m', '7.69m']"
Patrick Raedler,[2014],['SR-4'],['8'],['7.42m']
Roelf Pienaar,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['9', '3', '2']","['7.41m', '8.01m', '7.93m']"
Hammed Suleman,[2014],['SR-4'],['10'],['7.35m']
Paul Madzivire,"[2014, 2015]","['JR-3', 'SR-4']","['11', '21']","['7.35m', '7.39m']"
Tyler  Stepp,[2014],['SR-4'],['12'],['7.35m']
Ryan Billian,[2014],['SO-2'],['13'],['7.32m']
Ted  Hooper,[2014],['SR-4'],['14'],['7.30m']
Anthony May,[2014],['SR-4'],['15'],['7.27m']
Cameron Hudson,[2014],['SO-2'],['16'],['7.26m']
Olabanji Asekun,[2014],['JR-3'],['17'],['7.20m']
Josh McCullan,[2014],['SO-2'],['18'],['7.17m']
Kenneth Fisher,"[2014, 2015, 2018]","['FR-1', 'SO-2', 'SR-4']","['19', '16', '16']","['7.15m', '7.51m', '7.65m']"
Jonathan Addison,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['20', '4', '6']","['7.07m', '7.99m', '7.62m']"
Elbert Maxwell,[2014],['JR-3'],['21'],['6.99m']
Jarvis  Gotch,[2014],['JR-3'],['22'],['6.98m']
Jamal Peden,[2014],['SR-4'],['23'],['6.67m']
Jarrion Lawson,"[2015, 2016]","['JR-3', 'SR-4']","['2', '1']","['8.34m', '8.15m']"
Adoree Jackson,"[2015, 2016]","['FR-1', 'SO-2']","['5', '5']","['7.91m', '7.66m']"
Walter Jones,[2015],['FR-1'],['7'],['7.79m']
Ventavius  Sears,"[2015, 2017]","['SO-2', 'SR-4']","['8', '20']","['7.76m', '7.26m']"
Cameron Echols- Luper,[2015],['SO-2'],['9'],['7.73m']
Nate Moore,[2015],['FR-1'],['10'],['7.69m']
Ifeanyichukwu Otuonye,[2015],['JR-3'],['10'],['7.69m']
Stefan Brits,[2015],['JR-3'],['12'],['7.66m']
Trevor Ferguson,[2015],['SR-4'],['13'],['7.61m']
Jalen Ramsey,[2015],['SO-2'],['14'],['7.60m']
Blake Smith,[2015],['SR-4'],['15'],['7.56m']
