,years_competed,classes_competed,finish_placements,finish_marks
Sam Kendricks,[2014],['JR-3'],['1'],['5.70m']
Shawn Barber,"[2014, 2015]","['SO-2', 'JR-3']","['2', '1']","['5.65m', '5.60m']"
Jake  Blankenship,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['3', '6', '1']","['5.55m', '5.40m', '5.60m']"
Peter Geraghty,[2014],['SR-4'],['4'],['5.50m']
Chase Wolfle,"[2014, 2015]","['SO-2', 'JR-3']","['5', '9']","['5.50m', '5.40m']"
Zach Siegmeier,[2014],['SR-4'],['5'],['5.50m']
Chris Pillow,[2014],['JR-3'],['7'],['5.50m']
Reese Watson,"[2014, 2016]","['SO-2', 'SR-4']","['7', '17']","['5.50m', '5.15m']"
Michael Viken,[2014],['SR-4'],['9'],['5.50m']
Colton Ross,[2014],['SR-4'],['10'],['5.40m']
Pauls Pujats,"[2014, 2015]","['JR-3', 'SR-4']","['10', '2']","['5.40m', '5.55m']"
Adam  Bragg,"[2014, 2016]","['SO-2', 'SR-4']","['12', '7']","['5.40m', '5.30m']"
Nikita Kirillov,[2014],['JR-3'],['13'],['5.40m']
Torben Laidig,"[2014, 2016, 2018]","['FR-1', 'SO-2', 'SR-4']","['14', '2', '3']","['5.40m', '5.55m', '5.55m']"
Jax Thoirs,"[2014, 2016]","['SO-2', 'SR-4']","['14', '5']","['5.40m', '5.45m']"
Stephan Munz,[2014],['SR-4'],['16'],['5.40m']
Dylan Duvio,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['17', '3', '12']","['5.25m', '5.50m', '5.15m']"
Austin Crenshaw,[2014],['SR-4'],['18'],['5.25m']
Chase  Brannon,[2014],['SR-4'],['19'],['5.10m']
Max Babits,[2014],['SR-4'],['19'],['5.10m']
Michael Vani,[2014],['SR-4'],['21'],['5.10m']
Matt Sullivan,[2014],['JR-3'],['22'],['5.10m']
Audie Wyatt,"[2015, 2017, 2018]","['FR-1', 'JR-3', 'SR-4']","['4', '7', '14']","['5.50m', '5.45m', '5.30m']"
Adrian Valles,"[2015, 2017]","['FR-1', 'JR-3']","['5', '2']","['5.50m', '5.55m']"
Logan Pflibsen,[2015],['SR-4'],['6'],['5.40m']
Craig Hunter,"[2015, 2016, 2018]","['SO-2', 'JR-3', 'SR-4']","['8', '4', '16']","['5.40m', '5.45m', '5.30m']"
Jake Albright,"[2015, 2017]","['JR-3', 'SR-4']","['10', '12']","['5.30m', '5.30m']"
Tyler Porter,[2015],['SR-4'],['11'],['5.30m']
Kyle Thompson,[2015],['SR-4'],['12'],['5.30m']
Nick Meyer,[2015],['SO-2'],['13'],['5.30m']
Nate Richartz,"[2015, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['14', '9', '11']","['5.15m', '5.45m', '5.30m']"
Cory Duggan,[2015],['SR-4'],['14'],['5.15m']
Steven Cahoy,[2015],['SO-2'],['16'],['5.15m']
Ethan  Sandusky,[2015],['SR-4'],['16'],['5.15m']
David Shepherd,[2015],['SR-4'],['16'],['5.15m']
Dylan Bell,"[2015, 2016]","['JR-3', 'SR-4']","['16', '6']","['5.15m', '5.45m']"
Terry Batemon,[2015],['SO-2'],['20'],['5.15m']
Devin King,"[2016, 2017]","['SO-2', 'JR-3']","['3', '10']","['5.45m', '5.30m']"
Tray Oates,"[2016, 2018]","['SO-2', 'SR-4']","['7', '5']","['5.30m', '5.45m']"
Cole Walsh,"[2016, 2017]","['SO-2', 'JR-3']","['7', '5']","['5.30m', '5.45m']"
Matthew Ludwig,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['10', '1', '2', '13']","['5.30m', '5.60m', '5.55m', '5.35m']"
Kyle Pater,[2016],['JR-3'],['11'],['5.30m']
Jacob Wooten,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['12', '5', '4', '15']","['5.15m', '5.45m', '5.55m', '5.35m']"
Brandon Bray,"[2016, 2019]","['FR-1', 'JR-3']","['12', '7']","['5.15m', '5.70m']"
Jesse Oxley,[2016],['SR-4'],['12'],['5.15m']
Brad Johnson,"[2016, 2017]","['JR-3', 'SR-4']","['12', '16']","['5.15m', '5.15m']"
Barrett Poth,"[2016, 2017]","['FR-1', 'JR-3']","['17', '11']","['5.15m', '5.30m']"
Chris Uhle,[2016],['SR-4'],['17'],['5.15m']
Matthew Rowland,[2016],['JR-3'],['20'],['5.15m']
Chris Nilsen,"[2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3']","['3', '1', '1']","['5.45m', '5.83m', '5.95m']"
Hussain Alhizam,[2017],['SO-2'],['3'],['5.45m']
Sean  Collins,"[2017, 2018]","['SO-2', 'JR-3']","['8', '11']","['5.45m', '5.30m']"
Will Herrscher,[2017],['SO-2'],['12'],['5.30m']
Noah Gary,[2017],['JR-3'],['14'],['5.30m']
Sean Clarke,"[2017, 2019]","['FR-1', 'JR-3']","['15', '13']","['5.30m', '5.35m']"
Garrett Starkey,[2017],['SR-4'],['16'],['5.15m']
Carl Johansson,"[2017, 2019]","['JR-3', 'SR-4']","['18', '19']","['5.15m', '5.20m']"
Everette Favor,[2017],['SR-4'],['18'],['5.15m']
Rashid Coulibaly,[2017],['FR-1'],['20'],['5.15m']
Connor Hall,[2017],['SR-4'],['20'],['5.15m']
Hussain Al Hizam,"[2018, 2021]","['JR-3', 'SR-4']","['5', '7']","['5.45m', '5.30m']"
Deakin Volz,"[2018, 2019]","['JR-3', 'SR-4']","['7', '11']","['5.45m', '5.50m']"
Joel Benitez,[2018],['FR-1'],['8'],['5.45m']
Adam Coulon,"[2018, 2019]","['SO-2', 'JR-3']","['9', '10']","['5.45m', '5.50m']"
Marc Toney,[2018],['SR-4'],['10'],['5.45m']
Drew McMichael,"[2018, 2019]","['JR-3', 'SR-4']","['13', '8']","['5.30m', '5.60m']"
Blake Scott,[2018],['JR-3'],['15'],['5.30m']
Sander Moldau,[2018],['FR-1'],['17'],['5.15m']
Elijah Cole,[2018],['SO-2'],['17'],['5.15m']
Clayton Fritsch,"[2018, 2019, 2021, 2022]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['19', '3', '4', '2']","['5.15m', '5.75m', '5.55m', '5.70m']"
Scott Marshall,[2018],['SR-4'],['20'],['5.15m']
Mondo Duplantis,[2019],['FR-1'],['2'],['5.80m']
KC Lightfoot,[2019],['FR-1'],['4'],['5.70m']
Michael Carr,[2019],['SR-4'],['5'],['5.70m']
Zach Bradford,"[2019, 2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['6', '5', '9', '3']","['5.70m', '5.45m', '5.50m', '5.60m']"
Sondre Guttormsen,"[2019, 2022, 2023]","['FR-1', 'JR-3', 'SR-4']","['9', '1', '6']","['5.60m', '5.75m', '5.60m']"
Branson Ellis,"[2019, 2021, 2022]","['FR-1', 'SO-2', 'JR-3']","['11', '1', '5']","['5.50m', '5.70m', '5.65m']"
Chase Smith,[2019],['JR-3'],['15'],['5.35m']
Christian Champen,[2019],['JR-3'],['15'],['5.35m']
Cole Courtois,[2019],['SO-2'],['18'],['5.35m']
Erick Duffy,"[2019, 2022]","['SO-2', 'SR-4']","['19', '18']","['5.20m', '5.30m']"
Matthew Peare,[2019],['SO-2'],['21'],['5.20m']
Brock Mammoser,[2019],['SO-2'],['21'],['5.20m']
Keaton Daniel,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['2', '3', '8']","['5.55m', '5.65m', '5.45m']"
Ethan Bray,[2021],['SR-4'],['3'],['5.55m']
Ryan Lipe,[2021],['JR-3'],['6'],['5.45m']
Paulo Benavides,[2021],['SR-4'],['7'],['5.30m']
Zach McWhorter,"[2021, 2022]","['FR-1', 'SO-2']","['9', '6']","['5.30m', '5.60m']"
Jack Rhea,[2021],['SR-4'],['10'],['5.30m']
Christyan Sampy,"[2021, 2023]","['FR-1', 'JR-3']","['11', '8']","['5.30m', '5.45m']"
Kyle Rademeyer,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['11', '8', '1']","['5.30m', '5.50m', '5.70m']"
Nathan Stone,"[2021, 2023]","['FR-1', 'JR-3']","['13', '13']","['5.15m', '5.45m']"
Trevor Stephenson,"[2021, 2022, 2023]","['JR-3', 'JR-3', 'SR-4']","['13', '10', '15']","['5.15m', '5.45m', '5.30m']"
Simen Guttormsen,[2022],['JR-3'],['4'],['5.65m']
Clayton Simms,"[2022, 2023]","['FR-1', 'SO-2']","['7', '5']","['5.50m', '5.60m']"
Caleb Witsken,"[2022, 2023]","['JR-3', 'SR-4']","['11', '6']","['5.45m', '5.60m']"
Antonio Ruiz,[2022],['SR-4'],['12'],['5.40m']
