,years_competed,classes_competed,finish_placements,finish_marks
Ryan Crouser,"[2014, 2015]","['JR-3', 'SR-4']","['1', '5']","['21.12m', '19.99m']"
Stephen Mozia,"[2014, 2015]","['JR-3', 'SR-4']","['2', '18']","['20.46m', '18.77m']"
Nick Vena,"[2014, 2015]","['JR-3', 'SR-4']","['3', '6']","['20.16m', '19.80m']"
Richard Garrett,[2014],['SR-4'],['4'],['20.14m']
Stephen Saenz,[2014],['SR-4'],['5'],['19.78m']
Stipe Zunic,"[2014, 2015]","['JR-3', 'SR-4']","['6', '3']","['19.67m', '20.30m']"
Filip Mihaljevic,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['7', '9', '1', '1']","['19.56m', '19.51m', '20.71m', '21.30m']"
Curtis Jensen,[2014],['SR-4'],['8'],['19.49m']
Ryan Hershberger,[2014],['SR-4'],['9'],['19.29m']
Nicholas Scarvelis,"[2014, 2015, 2016]","['SO-2', 'SO-2', 'SR-4']","['10', '15', '4']","['19.27m', '18.91m', '20.17m']"
Jonathan Jones,"[2014, 2015]","['JR-3', 'SR-4']","['11', '1']","['19.26m', '20.78m']"
Kyle Felpel,"[2014, 2016]","['FR-1', 'JR-3']","['12', '21']","['19.18m', '18.51m']"
Chad Wright,[2014],['SR-4'],['13'],['19.15m']
Bobby Grace,[2014],['SR-4'],['14'],['19.14m']
Darrell Hill,"[2014, 2015]","['JR-3', 'SR-4']","['15', '2']","['19.14m', '20.78m']"
Derek  Sievers,[2014],['SO-2'],['16'],['18.77m']
Jan Jeuschede,"[2014, 2015]","['SO-2', 'JR-3']","['17', '12']","['18.75m', '18.92m']"
Kole Weldon,[2014],['JR-3'],['18'],['18.68m']
Albert  Fournette,[2014],['SR-4'],['19'],['18.32m']
Matt Babicz,"[2014, 2015]","['JR-3', 'SR-4']","['20', '19']","['18.29m', '18.74m']"
Josh Freeman,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['21', '4', '6']","['18.11m', '20.15m', '19.46m']"
Aaron Castle,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['22', '16', '14', '15']","['17.49m', '18.81m', '18.74m', '18.67m']"
Andrew Akens,[2014],['JR-3'],['23'],['17.04m']
JC Murasky,"[2015, 2016]","['JR-3', 'SR-4']","['7', '22']","['19.61m', '18.32m']"
Nicholas Ponzio,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['8', '12', '6', '15']","['19.53m', '18.80m', '19.53m', '19.01m']"
Jordan Young,[2015],['SO-2'],['10'],['18.97m']
Chase Sammons,[2015],['JR-3'],['11'],['18.93m']
Richard Chavez,[2015],['SR-4'],['13'],['18.92m']
Brad  Szypka,[2015],['SR-4'],['14'],['18.91m']
Will Lohman,[2015],['SR-4'],['17'],['18.81m']
Justin  Baker,[2015],['JR-3'],['20'],['18.59m']
Luke Johnson,[2015],['JR-3'],['21'],['18.45m']
Chukwuebuka Enekwechi,"[2015, 2016]","['JR-3', 'SR-4']","['22', '2']","['18.43m', '20.37m']"
Cody Riffle,[2015],['SR-4'],['23'],['18.25m']
Mostafa Hassan,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['3', '2', '3']","['20.19m', '20.38m', '20.44m']"
Braheme Days,[2016],['SO-2'],['5'],['20.03m']
Josh Awotunde,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['7', '19', '2']","['19.43m', '18.52m', '20.57m']"
Brett Neelly,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['8', '18', '21']","['19.16m', '18.58m', '18.04m']"
Ashinia Miller,[2016],['SR-4'],['9'],['19.04m']
Kevin Farley,[2016],['SR-4'],['10'],['18.83m']
Oghenakpobo Efekoro,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['11', '4', '6', '12']","['18.82m', '19.70m', '20.28m', '19.16m']"
Gian Ragonesi,[2016],['JR-3'],['13'],['18.76m']
Alex Renner,"[2016, 2017]","['JR-3', 'SR-4']","['14', '8']","['18.74m', '19.26m']"
Willie Morrison,"[2016, 2017]","['FR-1', 'SO-2']","['16', '9']","['18.69m', '18.97m']"
Denzel Comenentia,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['17', '5', '1', '2']","['18.66m', '19.63m', '20.61m', '20.77m']"
Ahmed Hassan,[2016],['SR-4'],['18'],['18.64m']
Peter Simon,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['19', '7', '16']","['18.55m', '19.49m', '18.95m']"
Dotun Ogundeji,"[2016, 2019]","['FR-1', 'SR-4']","['19', '5']","['18.55m', '19.73m']"
Isaiah Simmons,[2016],['JR-3'],['23'],['18.23m']
Kord Ferguson,"[2016, 2018, 2019]","['FR-1', 'JR-3', 'SR-4']","['24', '13', '17']","['18.14m', '19.39m', '18.81m']"
Nicholas Demaline,"[2017, 2018]","['JR-3', 'SR-4']","['3', '8']","['20.08m', '20.18m']"
Lucas Warning,[2017],['SR-4'],['10'],['18.94m']
Jon Yohman,[2017],['JR-3'],['11'],['18.91m']
Austin Droogsma,"[2017, 2018]","['JR-3', 'SR-4']","['12', '7']","['18.89m', '20.23m']"
Nikolas Huffman,"[2017, 2018]","['JR-3', 'SR-4']","['13', '20']","['18.81m', '18.54m']"
Riley Budde,[2017],['JR-3'],['14'],['18.73m']
Matthew Katnik,"[2017, 2019, 2021]","['SO-2', 'SR-4', 'SR-4']","['16', '6', '9']","['18.63m', '19.65m', '19.55m']"
Nicolai Ceban,[2017],['JR-3'],['17'],['18.60m']
Zachary Stetler,[2017],['SR-4'],['20'],['18.49m']
T'Mond Johnson,"[2017, 2018]","['SO-2', 'JR-3']","['21', '18']","['18.31m', '18.91m']"
Grant Cartwright,"[2017, 2018]","['JR-3', 'SR-4']","['22', '11']","['18.21m', '19.61m']"
Andrew Liskowitz,"[2017, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['23', '14', '8', '4']","['17.57m', '19.19m', '19.52m', '20.07m']"
Josh McDonald,[2017],['JR-3'],['24'],['17.09m']
Adrian Piperi,"[2018, 2019, 2021, 2022]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['4', '1', '2', '1']","['20.41m', '21.11m', '20.71m', '21.52m']"
Jordan Geist,"[2018, 2019, 2021, 2023]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['5', '3', '3', '1']","['20.32m', '20.31m', '20.40m', '21.06m']"
Jared Kern,[2018],['SR-4'],['9'],['19.95m']
Payton  Otterdahl,"[2018, 2019]","['JR-3', 'SR-4']","['10', '4']","['19.62m', '19.89m']"
Jordan West,"[2018, 2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['12', '13', '4', '7']","['19.43m', '18.72m', '20.28m', '20.02m']"
McKay Johnson,"[2018, 2021]","['SO-2', 'SR-4']","['17', '11']","['18.92m', '19.09m']"
Noah Castle,[2018],['JR-3'],['19'],['18.91m']
Itamar Levi,[2018],['SR-4'],['22'],['17.92m']
Reno Tuufuli,[2018],['JR-3'],['23'],['17.89m']
Nate Esparza,[2019],['SO-2'],['7'],['19.65m']
Joseph Maxwell,[2019],['SO-2'],['9'],['19.50m']
Otito Ogbonnia,[2019],['FR-1'],['10'],['19.44m']
Connor Bandel,"[2019, 2021]","['SO-2', 'SR-4']","['11', '10']","['19.30m', '19.13m']"
Corey Murphy,[2019],['SR-4'],['13'],['19.14m']
Burger Lambrechts Jr.,"[2019, 2022]","['SO-2', 'SR-4']","['14', '15']","['18.91m', '19.10m']"
Kristoffer Thomsen,"[2019, 2021]","['FR-1', 'SO-2']","['15', '20']","['18.90m', '18.03m']"
Jonah Wilson,"[2019, 2021, 2023]","['SO-2', 'SR-4', 'SR-4']","['16', '8', '10']","['18.82m', '19.67m', '19.75m']"
Eric  Favors,[2019],['JR-3'],['18'],['18.57m']
Alex  Talley,[2019],['SO-2'],['19'],['18.49m']
Isaiah Rogers,"[2019, 2023]","['JR-3', 'SR-4']","['20', '22']","['18.28m', '17.76m']"
Santiago Basso,"[2019, 2021]","['FR-1', 'JR-3']","['21', '15']","['18.11m', '18.59m']"
Chance Ehrnsberger,[2019],['SO-2'],['22'],['17.98m']
Darius King,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['23', '7', '5']","['16.90m', '19.69m', '20.04m']"
Turner Washington,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['1', '2', '2']","['21.10m', '21.05m', '21.04m']"
Josh Sobota,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['5', '9', '12']","['19.82m', '19.73m', '19.71m']"
Zack Short,[2021],['SR-4'],['6'],['19.71m']
Isaac Odugbesan,"[2021, 2022]","['JR-3', 'SR-4']","['12', '3']","['18.96m', '20.48m']"
Kyle Mitchell,[2021],['JR-3'],['14'],['18.63m']
John Meyer,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'SR-4']","['16', '11', '5']","['18.37m', '19.35m', '20.44m']"
Adam Kessler,[2021],['SR-4'],['17'],['18.34m']
Daniel McArthur,[2021],['SR-4'],['18'],['18.06m']
Charles Lenford Jr.,[2021],['SR-4'],['19'],['18.05m']
