,years_competed,classes_competed,finish_placements,finish_marks
Marquis Dendy,"[2014, 2015]","['JR-3', 'SR-4']","['1', '1']","['17.05m', '17.71m']"
Devin Field,[2014],['SO-2'],['2'],['16.46m']
Cordairo Golden,[2014],['SR-4'],['3'],['16.32m']
Matthew Oneal,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['4', '9', '3']","['16.22m', '16.12m', '16.59m']"
Steve Waithe,"[2014, 2015]","['JR-3', 'SR-4']","['5', '8']","['16.14m', '16.26m']"
Donald Scott,"[2014, 2015]","['JR-3', 'SR-4']","['6', '3']","['15.99m', '16.83m']"
Ryan Satchell,"[2014, 2015]","['JR-3', 'SR-4']","['7', '23']","['15.98m', '15.37m']"
John Horton,[2014],['JR-3'],['8'],['15.97m']
Anthony May,[2014],['SR-4'],['9'],['15.96m']
Phillip Young,[2014],['JR-3'],['10'],['15.86m']
Preston Woodard,[2014],['SR-4'],['11'],['15.85m']
Damon McLean,[2014],['SR-4'],['12'],['15.85m']
Babatunde Amosu,"[2014, 2015]","['JR-3', 'SR-4']","['13', '22']","['15.84m', '15.45m']"
Jonte Grant,[2014],['SO-2'],['14'],['15.84m']
Jonathan Gardner,[2014],['SR-4'],['15'],['15.83m']
Brian Leap,"[2014, 2016]","['JR-3', 'SR-4']","['16', '6']","['15.71m', '16.13m']"
Reginald Miller Jr.,[2014],['JR-3'],['17'],['15.66m']
Josh  Dixon,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['18', '16', '17']","['15.59m', '15.81m', '15.45m']"
Jonathan Ilori,[2014],['JR-3'],['19'],['15.58m']
Imani Brown,[2014],['SO-2'],['20'],['15.56m']
Darian Brooks,[2014],['SO-2'],['21'],['15.55m']
Olabanji Asekun,"[2014, 2015]","['JR-3', 'SR-4']","['22', '12']","['15.43m', '15.97m']"
Raymond Higgs,[2014],['SR-4'],['23'],['15.37m']
Efe Uwaifo,"[2014, 2017]","['FR-1', 'SR-4']","['24', '15']","['15.24m', '15.65m']"
Latario Collie,"[2015, 2016]","['JR-3', 'SR-4']","['2', '1']","['17.01m', '16.97m']"
Ben Williams,"[2015, 2016]","['SO-2', 'JR-3']","['4', '16']","['16.74m', '15.48m']"
Jonathan Reid,[2015],['SR-4'],['5'],['16.52m']
Jeremiah Green,"[2015, 2018]","['SO-2', 'SR-4']","['6', '17']","['16.50m', '15.71m']"
Clive Pullen,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['7', '23', '2']","['16.27m', '15.01m', '16.60m']"
Felix Obi,"[2015, 2016, 2017]","['SO-2', 'SR-4', 'SR-4']","['10', '10', '14']","['16.07m', '15.86m', '15.66m']"
John Warren,"[2015, 2016, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['11', '12', '15', '4']","['15.99m', '15.74m', '15.86m', '16.78m']"
Nate Moore,[2015],['FR-1'],['13'],['15.96m']
Shawn Johnson,"[2015, 2016]","['JR-3', 'SR-4']","['14', '5']","['15.92m', '16.28m']"
Anthony Campbell,[2015],['JR-3'],['15'],['15.83m']
Scotty Newton,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['17', '20', '10', '4']","['15.75m', '15.19m', '15.86m', '16.47m']"
Shai Carpenter,[2015],['SR-4'],['18'],['15.75m']
John-Patrick Friday,"[2015, 2016]","['JR-3', 'SR-4']","['19', '11']","['15.69m', '15.77m']"
Luke James,[2015],['SR-4'],['20'],['15.52m']
Chris Martin,[2015],['SO-2'],['21'],['15.47m']
KeAndre Bates,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['2', '1', '3']","['16.73m', '16.76m', '16.63m']"
Tim White,[2016],['JR-3'],['4'],['16.57m']
Lathone Collie,[2016],['SR-4'],['7'],['16.02m']
Kaiwan Culmer,"[2016, 2018]","['SO-2', 'SR-4']","['8', '9']","['15.93m', '16.09m']"
Marcus Ghent,[2016],['SR-4'],['9'],['15.87m']
Tony Carodine,[2016],['SR-4'],['12'],['15.74m']
Shane Green,[2016],['SR-4'],['14'],['15.69m']
Jeffrey Prothro,"[2016, 2017]","['JR-3', 'SR-4']","['15', '13']","['15.66m', '15.70m']"
Charles Brown,"[2016, 2019]","['FR-1', 'SR-4']","['18', '16']","['15.22m', '15.87m']"
Phillip Smith,[2016],['JR-3'],['18'],['15.22m']
Bobby Plummer,[2016],['JR-3'],['21'],['15.17m']
EJ Reddick,[2016],['SR-4'],['22'],['15.05m']
Donovan Tolbert,[2016],['SR-4'],['24'],['14.92m']
Scott  Carter,[2017],['SR-4'],['3'],['16.24m']
Hayden McClain,[2017],['SR-4'],['4'],['16.17m']
Barden Adams,"[2017, 2018]","['JR-3', 'SR-4']","['5', '11']","['16.08m', '15.90m']"
Montel Nevers,[2017],['SO-2'],['6'],['16.05m']
Craig Stevens Jr,"[2017, 2018]","['SO-2', 'JR-3']","['7', '19']","['16.00m', '15.36m']"
Samuel Trigg,[2017],['SR-4'],['8'],['15.97m']
Armani Wallace,"[2017, 2019]","['SO-2', 'SR-4']","['9', '3']","['15.97m', '16.99m']"
Clayton Brown,"[2017, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['11', '8', '13', '5']","['15.82m', '16.10m', '15.99m', '16.56m']"
Michael Tiller,[2017],['SR-4'],['12'],['15.73m']
Eric Sloan,[2017],['JR-3'],['16'],['15.62m']
Bryce Williams,[2017],['SO-2'],['17'],['15.59m']
Jordan Scott,"[2017, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['18', '10', '2', '12']","['15.50m', '15.96m', '17.01m', '15.95m']"
Jaden Purnell,"[2017, 2019]","['SO-2', 'SR-4']","['19', '20']","['15.50m', '15.63m']"
Antwon James,[2017],['SR-4'],['20'],['15.38m']
Isaiah Griffith,"[2017, 2021]","['FR-1', 'SR-4']","['21', '6']","['15.13m', '16.54m']"
Eric Bethea,"[2017, 2019]","['SO-2', 'SR-4']","['22', '7']","['15.03m', '16.65m']"
Klyvens Delaunay,[2017],['SR-4'],['23'],['14.58m']
Tahar Triki,[2018],['SO-2'],['1'],['16.79m']
Odaine Lewis,"[2018, 2019]","['JR-3', 'SR-4']","['2', '6']","['16.73m', '16.70m']"
Chengetayi Mapaya,"[2018, 2019, 2021, 2022]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['5', '1', '3', '1']","['16.42m', '17.13m', '16.74m', '17.26m']"
Christian Edwards,"[2018, 2021]","['FR-1', 'JR-3']","['6', '11']","['16.37m', '16.15m']"
Darius Armstead,[2018],['SR-4'],['7'],['16.17m']
Brian Mada,[2018],['JR-3'],['12'],['15.89m']
