,years_competed,classes_competed,finish_placements,finish_marks
Sharika Nelvis,[2014],['SR-4'],['1'],['12.52']
Jasmin Stowers,[2014],['SR-4'],['2'],['12.54']
Bridgette Owens,"[2014, 2015]","['JR-3', 'SR-4']","['3', '5']","['12.62', '12.86']"
Tiffani McReynolds,[2014],['JR-3'],['4'],['12.78']
Kendra Harrison,"[2014, 2015]","['JR-3', 'SR-4']","['5', '1']","['12.79', '12.55']"
Anne Zagre,[2014],['JR-3'],['6'],['12.80']
Morgan Snow,[2014],['JR-3'],['7'],['12.81']
Le'Tristan Pledger,[2014],['SO-2'],['8'],['12.94']
Cindy Ofili,"[2015, 2016]","['JR-3', 'SR-4']","['2', '4']","['12.60', '12.81']"
Dior Hall,"[2015, 2017]","['FR-1', 'SO-2']","['3', '7']","['12.74', '12.82']"
Jade Barber,[2015],['SR-4'],['4'],['12.85']
Chanice Chase,"[2015, 2016]","['JR-3', 'SR-4']","['6', '6']","['12.95', '12.90']"
Devynne Charlton,"[2015, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['7', '5', '2']","['13.00', '12.74', '12.77']"
Daeshon Gordon,[2015],['FR-1'],['8'],['13.29']
Jasmine Camacho-Quinn,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['1', '2', '1']","['12.54', '12.58', '12.70']"
Tobi Amusan,"[2016, 2017]","['FR-1', 'SO-2']","['2', '1']","['12.79', '12.57']"
Sasha Wallace,"[2016, 2017]","['JR-3', 'SR-4']","['3', '6']","['12.81', '12.81']"
Alexis Perry,[2016],['SR-4'],['5'],['12.87']
Danielle Demas,[2016],['SR-4'],['7'],['17.10']
Rushelle Burton,"[2017, 2018]","['FR-1', 'SO-2']","['3', '8']","['12.65', '13.51']"
Alaysha Johnson,"[2017, 2018]","['SO-2', 'JR-3']","['4', '7']","['12.72', '13.22']"
Anna Cockrell,"[2017, 2019, 2021]","['FR-1', 'JR-3', 'SR-4']","['8', '5', '1']","['12.91', '12.80', '12.58']"
Cortney Jones,"[2018, 2019]","['SO-2', 'JR-3']","['3', '6']","['13.04', '12.81']"
Pedrya Seymour,[2018],['SR-4'],['4'],['13.04']
Janeek Brown,"[2018, 2019]","['FR-1', 'SO-2']","['5', '1']","['13.05', '12.40']"
Tonea Marshall,"[2018, 2019]","['SO-2', 'JR-3']","['6', '3']","['13.09', '12.66']"
Chanel Brissett,[2019],['SO-2'],['2'],['12.52']
Jeanine Williams,[2019],['SR-4'],['4'],['12.74']
Tiara McMinn,[2019],['SO-2'],['7'],['12.97']
Payton Chadwick,[2019],['SR-4'],['8'],['13.05']
Rayniah  Jones,"[2021, 2023]","['FR-1', 'JR-3']","['2', '9']","['12.82', '13.00']"
Ackera Nugent,"[2021, 2023]","['FR-1', 'JR-3']","['3', '1']","['12.84', '12.25']"
Grace Stark,"[2021, 2023]","['FR-1', 'JR-3']","['4', '5']","['12.89', '12.72']"
Madeleine Akobundu,[2021],['SR-4'],['5'],['12.90']
Masai Russell,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['6', '3', '2']","['12.97', '12.81', '12.32']"
Cha'Mia Rothwell,[2021],['SR-4'],['7'],['13.14']
TeJyrica Robinson,[2021],['SR-4'],['8'],['29.11']
Alia Armstrong,"[2022, 2023]","['SO-2', 'JR-3']","['1', '3']","['12.57', '12.49']"
Jasmine Jones,[2022],['SO-2'],['2'],['12.66']
Paula  Salmon,"[2022, 2023]","['SR-4', 'SR-4']","['4', '8']","['12.85', '12.92']"
Kaylah Robinson,[2022],['SR-4'],['5'],['12.86']
Destiny Huven,[2022],['SO-2'],['6'],['12.92']
Demisha Roswell,[2022],['JR-3'],['7'],['12.94']
Destinee  Rocker,[2022],['SR-4'],['8'],['13.07']
Talie Bonds,[2023],['SR-4'],['4'],['12.71']
Alexis Glasco,[2023],['SO-2'],['6'],['12.74']
Aasia Laurencin,[2023],['JR-3'],['7'],['12.82']
