,years_competed,classes_competed,finish_placements,finish_marks
Emma Bates,"[2014, 2015]","['JR-3', 'SR-4']","['1', '10']","['32:32.35', '33:50.14']"
Elinor Kirk,[2014],['SR-4'],['2'],['32:32.99']
Juliet Bottorff,[2014],['SR-4'],['3'],['32:37.46']
Elvin Kibet,"[2014, 2015]","['JR-3', 'SR-4']","['4', '13']","['32:43.39', '34:12.57']"
Elaina Balouris,[2014],['SR-4'],['5'],['32:46.57']
Erin Finn,"[2014, 2019]","['FR-1', 'SR-4']","['6', '12']","['32:50.14', '33:40.88']"
Sarah  Pagano,[2014],['SR-4'],['7'],['33:00.46']
Jana Soethout,[2014],['SR-4'],['8'],['33:02.02']
Kaitlyn Fischer,[2014],['FR-1'],['9'],['33:12.37']
Emily Stites,"[2014, 2015]","['SO-2', 'JR-3']","['10', '3']","['33:12.74', '33:26.15']"
Megan  Curham,"[2014, 2015]","['FR-1', 'SO-2']","['11', '12']","['33:29.03', '34:09.08']"
Katy Moen,[2014],['JR-3'],['12'],['33:32.18']
Sheree Shea,[2014],['SR-4'],['13'],['33:32.29']
Lindsay Flanagan,[2014],['SR-4'],['14'],['33:32.33']
Megan Goethals,[2014],['SR-4'],['15'],['33:32.66']
Olivia Mickle,[2014],['SR-4'],['16'],['33:33.30']
Allison Lasnicki,[2014],['JR-3'],['17'],['33:46.22']
Kristen Busch,"[2014, 2016]","['SO-2', 'SR-4']","['18', '20']","['34:01.35', '34:11.49']"
Margo Malone,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['19', '7', '18']","['34:03.08', '33:39.50', '34:06.09']"
Hannah Walker,[2014],['JR-3'],['20'],['34:08.21']
Sarah Rapp,[2014],['JR-3'],['21'],['34:10.96']
Cali Roper,[2014],['FR-1'],['22'],['34:34.33']
Jennifer Flack,[2014],['FR-1'],['23'],['35:22.42']
Molly Seidel,[2015],['JR-3'],['1'],['33:18.37']
Dominique Scott,"[2015, 2016]","['JR-3', 'SR-4']","['2', '1']","['33:25.81', '32:35.69']"
Molly Grabill,[2015],['JR-3'],['4'],['33:26.61']
Waverly Neer,[2015],['SR-4'],['5'],['33:26.98']
Chelsea  Blaase,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['6', '5', '7']","['33:27.73', '32:49.03', '33:06.86']"
Alice Wright,"[2015, 2016, 2017, 2018]","['FR-1', 'JR-3', 'JR-3', 'SR-4']","['8', '2', '2', '4']","['33:41.86', '32:46.99', '32:42.64', '32:17.92']"
Katie Gillespie,[2015],['SR-4'],['9'],['33:44.08']
Mara Olson,[2015],['SR-4'],['11'],['33:55.17']
Erin Osment,[2015],['SR-4'],['14'],['34:14.25']
Diane Robison,[2015],['SR-4'],['15'],['34:24.61']
Laura Nagel,[2015],['SR-4'],['16'],['34:31.08']
Bronte Golick,[2015],['SR-4'],['17'],['34:45.65']
Hillary Montgomery,[2015],['SR-4'],['18'],['34:48.13']
Joanna Thompson,[2015],['SR-4'],['19'],['34:49.29']
Amber Eichkorn,[2015],['JR-3'],['20'],['34:55.53']
Hannah Everson,"[2015, 2016]","['JR-3', 'SR-4']","['21', '3']","['35:16.09', '32:47.25']"
Amanda Behnke,[2015],['SO-2'],['22'],['35:33.56']
Sinead Haughey,[2015],['SR-4'],['23'],['35:51.00']
Lauren LaRocco,"[2016, 2018]","['SO-2', 'JR-3']","['4', '15']","['32:47.30', '33:50.44']"
