,years_competed,classes_competed,finish_placements,finish_marks
Leah O'Connor,"[2014, 2015]","['JR-3', 'SR-4']","['1', '3']","['9:36.43', '9:33.38']"
Marisa  Howard,"[2014, 2015]","['JR-3', 'SR-4']","['2', '4']","['9:43.82', '9:37.84']"
Rachel  Johnson,"[2014, 2015]","['JR-3', 'SR-4']","['3', '6']","['9:44.47', '9:42.93']"
Rachel Sorna,[2014],['SR-4'],['4'],['9:46.96']
Shalaya Kipp,[2014],['SR-4'],['5'],['9:48.90']
Grace  Heymsfield,[2014],['SR-4'],['6'],['9:49.01']
Jessica Kamilos,"[2014, 2016]","['SO-2', 'SR-4']","['7', '2']","['9:49.25', '9:41.28']"
Alexa Aragon,[2014],['SR-4'],['8'],['9:54.27']
Maya Rehberg,[2014],['FR-1'],['9'],['9:55.73']
Liberty Miller,[2014],['JR-3'],['10'],['10:03.34']
Sarah Martinelli,[2014],['SR-4'],['11'],['10:12.73']
Tova Magnusson,[2014],['FR-1'],['12'],['10:33.59']
Colleen Quigley,[2015],['SR-4'],['1'],['9:29.32']
Courtney Frerichs,"[2015, 2016]","['JR-3', 'SR-4']","['2', '1']","['9:31.36', '9:24.41']"
Erin Teschuk,"[2015, 2016]","['JR-3', 'SR-4']","['5', '8']","['9:42.15', '9:56.71']"
Elinor Purrier,"[2015, 2016, 2017]","['SO-2', 'SO-2', 'JR-3']","['7', '3', '4']","['9:53.69', '9:47.71', '9:48.26']"
Maddie Van Beek,[2015],['SR-4'],['8'],['9:54.42']
Emily Ritter,[2015],['SR-4'],['9'],['9:54.72']
Laura Rose Donegan,"[2015, 2016]","['SO-2', 'JR-3']","['10', '6']","['9:59.45', '9:52.57']"
Heather Demorest,[2015],['SR-4'],['11'],['10:01.68']
Victoria Voronko,[2015],['SR-4'],['12'],['10:08.05']
Ingeborg Loevnes,[2016],['JR-3'],['4'],['9:48.57']
Devin Clark,"[2016, 2018, 2019]","['FR-1', 'SO-2', 'JR-3']","['5', '11', '7']","['9:49.25', '10:03.70', '9:55.22']"
Paige Kouba,[2016],['SR-4'],['7'],['9:54.43']
Charlotte Prouse,"[2016, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['9', '2', '2', '5']","['10:00.82', '9:45.45', '9:44.50', '9:34.25']"
Brianna Ilarda,"[2016, 2017, 2019]","['SO-2', 'JR-3', 'SR-4']","['10', '8', '10']","['10:07.80', '10:02.83', '10:11.63']"
Erika Barr,[2016],['SR-4'],['11'],['10:20.87']
Katie Landwehr,[2016],['SR-4'],['12'],['10:25.54']
Allie Ostrander,"[2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3']","['1', '1', '1']","['9:41.31', '9:39.28', '9:37.73']"
Madison Boreman,"[2017, 2022]","['FR-1', 'JR-3']","['2', '4']","['9:46.48', '9:33.02']"
Tori Gerlach,[2017],['SR-4'],['3'],['9:46.76']
Grayson Murphy,"[2017, 2018]","['JR-3', 'SR-4']","['5', '6']","['9:53.66', '9:48.80']"
Hope Schmelzle,[2017],['SR-4'],['6'],['9:55.49']
Ellie Abrahamson,[2017],['SR-4'],['7'],['9:56.18']
Madeline Strandemo,[2017],['JR-3'],['9'],['10:04.62']
Sarah Edwards,[2017],['FR-1'],['10'],['10:12.45']
Katy Kunc,"[2017, 2018]","['JR-3', 'SR-4']","['11', '12']","['10:21.68', '10:09.04']"
Janelle Lincks,[2017],['SR-4'],['12'],['10:31.15']
Paige Stoner,[2018],['JR-3'],['3'],['9:46.98']
Claire Borchers,[2018],['SR-4'],['4'],['9:48.33']
Val Constien,"[2018, 2019]","['JR-3', 'SR-4']","['5', '6']","['9:48.40', '9:51.22']"
Courtney Coppinger,[2018],['SR-4'],['7'],['9:49.04']
Cierra Simmons,[2018],['JR-3'],['8'],['9:49.33']
Sarah Scott,[2018],['JR-3'],['9'],['9:56.17']
Alsu Bogdanova,[2018],['SR-4'],['10'],['9:59.29']
Hannah  Steelman,[2019],['SO-2'],['3'],['9:46.08']
Adva Cohen,"[2019, 2022]","['SO-2', 'SR-4']","['4', '8']","['9:46.36', '9:35.60']"
Erica Birk,[2019],['JR-3'],['5'],['9:46.47']
Rebekah Topham,[2019],['JR-3'],['8'],['9:57.80']
Gabrielle Jennings,"[2019, 2021]","['JR-3', 'SR-4']","['9', '7']","['9:58.83', '9:38.24']"
Alissa Niggemann,"[2019, 2021, 2022]","['SO-2', 'SR-4', 'SR-4']","['11', '12', '11']","['10:25.60', '10:12.13', '9:39.96']"
Nell Crosby,[2019],['SR-4'],['12'],['10:35.47']
Mahala  Norris,[2021],['SR-4'],['1'],['9:31.79']
Joyce Kimeli,"[2021, 2022]","['JR-3', 'SR-4']","['2', '12']","['9:31.84', '9:41.48']"
Katie Rainsberger,[2021],['SR-4'],['3'],['9:32.12']
Courtney Wayment,"[2021, 2022]","['JR-3', 'SR-4']","['4', '1']","['9:32.93', '9:16.00']"
Ceili McCabe,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['6', '3', '3']","['9:37.39', '9:31.14', '9:41.32']"
Summer Allen,[2021],['SR-4'],['8'],['9:40.37']
Aneta Konieczek,[2021],['JR-3'],['9'],['9:44.67']
Olivia Markezich,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['10', '9', '1']","['9:48.73', '9:35.80', '9:25.03']"
Abby Kohut-Jackson,[2021],['SR-4'],['11'],['9:50.89']
Kayley DeLay,"[2022, 2023]","['JR-3', 'SR-4']","['2', '10']","['9:25.08', '9:56.63']"
Elise Thorner,"[2022, 2023]","['SO-2', 'JR-3']","['5', '5']","['9:33.99', '9:42.95']"
Kaylee Mitchell,"[2022, 2023]","['JR-3', 'SR-4']","['6', '7']","['9:34.59', '9:49.66']"
Logan Jolly,[2022],['SR-4'],['7'],['9:34.76']
Grace Fetherstonhaugh,"[2022, 2023]","['JR-3', 'SR-4']","['10', '6']","['9:37.56', '9:49.48']"
Greta Karinauskaite,[2023],['JR-3'],['2'],['9:30.85']
Lexy Halladay-Lowry,[2023],['JR-3'],['4'],['9:41.85']
Pauline Meyer,[2023],['SR-4'],['8'],['9:50.75']
Angelina Ellis,[2023],['SR-4'],['9'],['9:55.53']
Calli Doan,[2023],['JR-3'],['11'],['9:56.83']
Maisie Grice,[2023],['JR-3'],['12'],['10:11.62']
