,years_competed,classes_competed,finish_placements,finish_marks
Shelbi Vaughan,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['1', '1', '6']","['60.02m', '61.39m', '59.32m']"
Danniel Thomas,"[2014, 2017]","['SO-2', 'SR-4']","['2', '4']","['57.11m', '56.61m']"
Laura Bobek,[2014],['SR-4'],['3'],['56.29m']
Alexis Cooks,"[2014, 2015]","['JR-3', 'SR-4']","['4', '6']","['55.54m', '55.51m']"
Kellion Knibb,"[2014, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['5', '2', '3']","['55.06m', '61.44m', '59.19m']"
Jessica Maroszek,[2014],['SR-4'],['6'],['54.78m']
Kiah Hicks,"[2014, 2015]","['JR-3', 'SR-4']","['7', '10']","['53.50m', '53.88m']"
Alexandra Collatz,"[2014, 2015]","['JR-3', 'SR-4']","['8', '8']","['53.07m', '55.37m']"
Jaleesa Williams,[2014],['SR-4'],['9'],['53.04m']
Sequoia Watkins,[2014],['SO-2'],['10'],['53.01m']
Anna Jelmini,[2014],['SR-4'],['11'],['52.72m']
Megan Smith,[2014],['JR-3'],['12'],['52.60m']
Kayla Kovar,[2014],['SR-4'],['13'],['51.83m']
Jessica Sharbono,[2014],['SR-4'],['14'],['51.67m']
Madison Jacobs,"[2014, 2015]","['FR-1', 'SO-2']","['15', '18']","['50.72m', '50.66m']"
Mary Theisen,[2014],['SR-4'],['16'],['49.27m']
Amber Monroe,[2014],['JR-3'],['17'],['48.93m']
Jasmine Burrell,[2014],['JR-3'],['18'],['48.72m']
Beckie Famurewa,"[2014, 2015]","['SO-2', 'JR-3']","['19', '7']","['48.67m', '55.41m']"
Andrea Hiler,[2014],['SR-4'],['20'],['48.45m']
Valarie Allman,"[2014, 2015, 2016, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['21', '5', '3', '3']","['48.40m', '56.37m', '61.42m', '59.20m']"
Ashley Gaston,[2014],['JR-3'],['22'],['46.53m']
Joh'vonnie Mosley,[2014],['SR-4'],['23'],['46.28m']
Jessica Ramsey,[2014],['SR-4'],['24'],['46.24m']
Kelsey Card,"[2015, 2016]","['JR-3', 'SR-4']","['2', '1']","['59.38m', '63.52m']"
Emmonnie  Henderson,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['3', '22', '14']","['58.34m', '49.66m', '53.50m']"
Tera Novy,"[2015, 2016]","['JR-3', 'SR-4']","['4', '7']","['58.31m', '57.70m']"
Devene Brown,[2015],['JR-3'],['9'],['54.45m']
Corina Cox,[2015],['SO-2'],['11'],['52.70m']
Maggie Ewen,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['12', '8', '2', '1']","['52.63m', '54.66m', '60.11m', '60.48m']"
Samantha Hall,"[2015, 2017]","['JR-3', 'SR-4']","['13', '10']","['52.15m', '54.66m']"
Julia Viberg,[2015],['JR-3'],['14'],['52.03m']
Katelyn Daniels,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['15', '5', '6', '8']","['51.81m', '60.54m', '56.12m', '53.84m']"
Josie Natrasevschi,[2015],['FR-1'],['16'],['51.38m']
Jessica Woodard,"[2015, 2017]","['FR-1', 'JR-3']","['17', '17']","['51.02m', '51.26m']"
Daina Levy,"[2015, 2016]","['JR-3', 'SR-4']","['19', '16']","['50.64m', '52.21m']"
Rachel Dincoff,"[2015, 2016]","['JR-3', 'SR-4']","['20', '11']","['50.59m', '53.81m']"
Erica Brand,[2015],['SR-4'],['21'],['50.57m']
Micaela Hazelwood,[2015],['FR-1'],['22'],['48.56m']
Carly Pendleton,[2015],['SR-4'],['23'],['47.41m']
Alison Szykowny,[2015],['SR-4'],['24'],['46.96m']
Shadae Lawrence,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['4', '1', '2', '3']","['61.18m', '61.37m', '59.68m', '60.32m']"
Alexa Evans,[2016],['SR-4'],['9'],['54.36m']
Nikki Okwelogu,"[2016, 2017]","['JR-3', 'SR-4']","['10', '23']","['53.90m', '43.85m']"
Rachel Alesi,[2016],['JR-3'],['12'],['53.62m']
Micaela Hazlewood,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['13', '13', '10']","['53.17m', '53.57m', '52.87m']"
Hannah Carson,[2016],['SR-4'],['14'],['52.71m']
Agnes Esser,"[2016, 2018]","['SO-2', 'SR-4']","['15', '11']","['52.61m', '52.23m']"
Kyesha Neal,[2016],['SR-4'],['17'],['52.11m']
Sasha  Lebert,[2016],['SR-4'],['18'],['52.09m']
Dasha Tsema,[2016],['SR-4'],['19'],['51.47m']
Raqurra Ishmar,[2016],['SR-4'],['20'],['51.45m']
Jontavia Dykes,"[2016, 2017]","['FR-1', 'JR-3']","['21', '18']","['49.86m', '50.97m']"
Chelsie Meeks,[2016],['JR-3'],['23'],['49.00m']
Jaevyn Wortham,[2016],['SO-2'],['24'],['47.90m']
Gabi Jacobs,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['5', '5', '8']","['56.27m', '55.47m', '56.68m']"
Laulauga Tausaga,"[2017, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['7', '4', '1', '2']","['55.71m', '56.07m', '63.26m', '63.53m']"
Gleneve Grange,[2017],['JR-3'],['8'],['54.84m']
Janeah Stewart,[2017],['JR-3'],['9'],['54.81m']
Kayla Hopkins,[2017],['JR-3'],['11'],['54.51m']
Shanice Love,"[2017, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['12', '14', '2', '4']","['54.37m', '50.43m', '62.69m', '58.50m']"
Michelle Wallerstedt,[2017],['SR-4'],['15'],['53.41m']
Monique Griffiths,[2017],['SR-4'],['16'],['53.33m']
Calea Carr,"[2017, 2018]","['JR-3', 'SR-4']","['19', '6']","['49.86m', '54.67m']"
Ieva Zarankaite,"[2017, 2018]","['SR-4', 'SR-4']","['20', '9']","['49.70m', '53.80m']"
Bryanna Hames,[2017],['JR-3'],['21'],['49.32m']
Katelyn Weimerskirch,[2017],['SR-4'],['22'],['48.15m']
Obiageri Amaechi,"[2018, 2021]","['FR-1', 'SR-4']","['7', '13']","['54.16m', '54.83m']"
Alexranda Emilianov,[2018],['FR-1'],['12'],['51.30m']
Serena Brown,[2018],['SO-2'],['13'],['50.48m']
Elena Bruckner,[2018],['SO-2'],['15'],['50.19m']
Debbie Ajagbe,"[2018, 2019, 2022]","['FR-1', 'SO-2', 'SR-4']","['16', '5', '7']","['49.99m', '56.92m', '54.63m']"
Lloydricia Cameron,[2018],['SR-4'],['17'],['47.90m']
Divine Oladipo,"[2018, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['18', '9', '10']","['46.09m', '57.26m', '53.74m']"
Portious Warren,[2018],['JR-3'],['19'],['45.08m']
Abigale Wilson,"[2018, 2019]","['JR-3', 'SR-4']","['20', '12']","['41.13m', '54.56m']"
Ashley  Anumba,"[2018, 2019]","['FR-1', 'SO-2']","['21', '21']","['33.21m', '49.60m']"
Alexandra Emilianov,"[2019, 2021, 2022]","['SO-2', 'SO-2', 'SR-4']","['4', '8', '2']","['58.90m', '57.60m', '58.44m']"
Venique Harris,[2019],['SR-4'],['6'],['56.89m']
Alyssa Wilson,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['7', '19', '12']","['56.70m', '52.74m', '53.54m']"
Seasons Usual,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['9', '3', '5']","['56.14m', '58.58m', '55.36m']"
Zakiya Rashid,[2019],['JR-3'],['10'],['55.01m']
Kelcey Bedard,[2019],['SR-4'],['11'],['54.83m']
Gabrielle Rains,[2019],['JR-3'],['13'],['54.43m']
Sydney Laufenberg,"[2019, 2021]","['JR-3', 'SR-4']","['14', '5']","['54.24m', '58.02m']"
Annina Brandenburg,"[2019, 2021]","['SO-2', 'JR-3']","['15', '22']","['53.79m', '51.84m']"
Erin Reese,[2019],['SR-4'],['16'],['53.51m']
Stamatia Scarvelis,[2019],['SR-4'],['17'],['52.78m']
Kiana Phelps,[2019],['JR-3'],['18'],['52.36m']
Ashley Petr,"[2019, 2021]","['JR-3', 'SR-4']","['19', '15']","['51.80m', '54.34m']"
Chelsea Igberaese,"[2019, 2021]","['SO-2', 'JR-3']","['20', '17']","['49.80m', '54.18m']"
Makenli Forrest,[2019],['SO-2'],['22'],['49.47m']
Jaimi Salone,[2019],['JR-3'],['23'],['46.77m']
Jorinde Van Klinken,"[2021, 2022, 2023]","['JR-3', 'SR-4', 'SR-4']","['1', '1', '1']","['65.01m', '62.16m', '65.55m']"
Gabrielle Bailey,"[2021, 2022]","['SO-2', 'SR-4']","['6', '18']","['57.73m', '50.10m']"
Essence Henderson,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['7', '11', '9']","['57.72m', '53.60m', '56.28m']"
Serena  Brown,[2021],['JR-3'],['10'],['57.06m']
Veronica Fraley,"[2021, 2023]","['SO-2', 'JR-3']","['11', '17']","['56.41m', '52.91m']"
Josie Schaefer,"[2021, 2023]","['SO-2', 'SR-4']","['12', '12']","['56.29m', '54.96m']"
Jalani Davis,[2021],['FR-1'],['14'],['54.64m']
Shelby Frank,"[2021, 2022]","['FR-1', 'FR-1']","['16', '6']","['54.22m', '54.87m']"
Caisa-Marie Lindfors,"[2021, 2023]","['FR-1', 'SO-2']","['18', '4']","['52.86m', '59.32m']"
Khayla Dawson,[2021],['SR-4'],['20'],['52.64m']
Maura Kimmel,[2021],['SR-4'],['21'],['52.43m']
Maria Muzzio,[2021],['SR-4'],['23'],['51.61m']
Adelaide Aquilla,[2021],['JR-3'],['24'],['49.79m']
Malin Smith,[2022],['JR-3'],['3'],['56.78m']
Lauren Jones,[2022],['SR-4'],['4'],['55.45m']
Emily March,"[2022, 2023]","['JR-3', 'SR-4']","['8', '24']","['54.35m', '49.36m']"
Jaida Ross,[2022],['SO-2'],['9'],['53.84m']
Kaia Harris,"[2022, 2023]","['JR-3', 'JR-3']","['13', '16']","['53.34m', '52.93m']"
Corinne Jemison,[2022],['SR-4'],['14'],['53.22m']
Ashley Anumba,"[2022, 2023]","['JR-3', 'SR-4']","['15', '2']","['52.24m', '61.13m']"
Amani Heaven,[2022],['SO-2'],['16'],['52.24m']
Maura Huwalt,[2022],['SO-2'],['17'],['50.10m']
Sable Lohmeier,[2022],['JR-3'],['19'],['50.07m']
Beatrice Asomaning,[2022],['JR-3'],['20'],['47.31m']
Adrienne Adams,[2022],['SO-2'],['21'],['46.06m']
Kristian Jackson,[2022],['SR-4'],['22'],['45.29m']
Alida Van Daalen,[2023],['FR-1'],['3'],['59.96m']
Samantha  Lenton,[2023],['SR-4'],['5'],['58.95m']
Estel Valeanu,[2023],['JR-3'],['6'],['58.25m']
Gabby McDonald,[2023],['SO-2'],['7'],['57.76m']
Jade Whitfield,[2023],['SO-2'],['8'],['57.63m']
Michaelle Valentin,[2023],['SO-2'],['10'],['56.12m']
Lyvante Su'emai,[2023],['SO-2'],['11'],['55.69m']
Faith  Bender,[2023],['SO-2'],['13'],['54.11m']
Chrystal Herpin,[2023],['SO-2'],['14'],['53.57m']
Zaresha Neal,[2023],['SR-4'],['15'],['53.23m']
Jordyn Bryant,[2023],['JR-3'],['18'],['52.25m']
Tapenisa Havea,[2023],['FR-1'],['19'],['52.05m']
Kristina Rakocevic,[2023],['SR-4'],['20'],['51.94m']
Klaire Kovatch,[2023],['FR-1'],['21'],['51.81m']
Jamora Alves,[2023],['FR-1'],['22'],['50.08m']
Taylor Kesner,[2023],['SO-2'],['23'],['49.75m']
