,years_competed,classes_competed,finish_placements,finish_marks
Julia Ratcliffe,"[2014, 2015, 2017]","['SO-2', 'JR-3', 'SR-4']","['1', '2', '6']","['66.88m', '67.30m', '65.25m']"
Emily Hunsucker,[2014],['SR-4'],['2'],['64.83m']
Brooke Pleger,"[2014, 2015]","['JR-3', 'SR-4']","['3', '3']","['64.48m', '67.03m']"
Brittany Funk,[2014],['SR-4'],['4'],['64.29m']
Denise Hinton,[2014],['SR-4'],['5'],['64.25m']
Jillian Weir,"[2014, 2015]","['JR-3', 'SR-4']","['6', '4']","['63.88m', '66.74m']"
Sara Savatovic,"[2014, 2016]","['SO-2', 'SR-4']","['7', '2']","['63.80m', '65.61m']"
Erin Atkinson,[2014],['SR-4'],['8'],['63.01m']
Melissa Kurzdorfer,[2014],['SR-4'],['9'],['62.65m']
Kayla Kovar,"[2014, 2015]","['SR-4', 'SR-4']","['10', '13']","['62.30m', '59.80m']"
Veronica Grizzle,[2014],['SR-4'],['11'],['62.13m']
Lauren Stuart,[2014],['SR-4'],['12'],['61.74m']
Elizabeth Tepe,[2014],['SR-4'],['13'],['61.60m']
Jessica Ramsey,[2014],['SR-4'],['14'],['60.56m']
Devin Stanford,"[2014, 2015]","['JR-3', 'SR-4']","['15', '20']","['60.44m', '57.46m']"
Lea Johnson,[2014],['SO-2'],['16'],['59.90m']
Alexis Cooks,"[2014, 2015]","['JR-3', 'SR-4']","['17', '12']","['59.23m', '59.93m']"
Meagan McKee,[2014],['SR-4'],['18'],['58.22m']
Jianna Williams,"[2014, 2015]","['JR-3', 'SR-4']","['19', '7']","['57.22m', '62.89m']"
Nia Barnes,"[2014, 2015]","['JR-3', 'SR-4']","['20', '18']","['57.11m', '57.88m']"
Beckie Famurewa,"[2014, 2016]","['SO-2', 'SR-4']","['21', '16']","['56.27m', '60.24m']"
Hayli Bozarth,[2014],['SR-4'],['22'],['55.82m']
Brea Garrett,[2014],['JR-3'],['23'],['54.65m']
DeAnna Price,"[2015, 2016]","['JR-3', 'SR-4']","['1', '1']","['71.49m', '71.53m']"
Julia Reedy,"[2015, 2016]","['JR-3', 'SR-4']","['5', '4']","['64.41m', '65.06m']"
Daina Levy,[2015],['JR-3'],['6'],['63.42m']
Kearsten  Peoples,[2015],['SR-4'],['8'],['62.31m']
Ashley Jenkins,"[2015, 2016]","['JR-3', 'SR-4']","['9', '12']","['61.67m', '61.22m']"
Marthaline Cooper,"[2015, 2016]","['SO-2', 'JR-3']","['10', '3']","['60.23m', '65.21m']"
