,years_competed,classes_competed,finish_placements,finish_marks
Kendell Williams,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['1', '2', '1', '1']","['5854', '6223', '6225', '6265']"
Allison Reaser,[2014],['SR-4'],['2'],['5836']
Brittany Harrell,[2014],['JR-3'],['3'],['5835']
Paige  Knodle,"[2014, 2016]","['JR-3', 'SR-4']","['4', '8']","['5681', '5833']"
Sarah Chauchard,"[2014, 2015]","['SR-4', 'SR-4']","['5', '11']","['5638', '5782']"
Quintunya Chapman,"[2014, 2015]","['JR-3', 'SR-4']","['6', '3']","['5610', '6147']"
Lindsey Hall,[2014],['SR-4'],['7'],['5603']
Xenia Rahn,"[2014, 2015]","['JR-3', 'SR-4']","['8', '7']","['5558', '5851']"
Chari Hawkins,"[2014, 2015]","['JR-3', 'SR-4']","['9', '14']","['5552', '5750']"
Brittney Howell,[2014],['SR-4'],['10'],['5530']
Alex Gochenour,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['11', '9', '4']","['5515', '5806', '5962']"
Georgia Ellenwood,"[2014, 2015, 2016, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['12', '10', '5', '1']","['5480', '5786', '5935', '6146']"
Anne Martin,[2014],['SR-4'],['13'],['5465']
Jena Hemann,"[2014, 2015]","['JR-3', 'SR-4']","['14', '6']","['5410', '5913']"
Jallycia Pearson,"[2014, 2015]","['JR-3', 'SR-4']","['15', '22']","['5397', '5320']"
Aaron Howell,"[2014, 2018]","['FR-1', 'SR-4']","['16', '18']","['5294', '5404']"
Lucija Cvitanovic,"[2014, 2016]","['SO-2', 'SR-4']","['17', '15']","['5266', '5482']"
Shanice  Stewart,[2014],['JR-3'],['18'],['5184']
Alexis Walker,[2014],['JR-3'],['19'],['5116']
Carley McCutchen,[2014],['SR-4'],['20'],['5027']
Clairwin Dameus,"[2014, 2016]","['SO-2', 'SR-4']","['21', '23']","['4923', '5030']"
Akela Jones,"[2015, 2016]","['JR-3', 'SR-4']","['1', '3']","['6371', '6063']"
Erica Bougard,"[2015, 2016]","['JR-3', 'SR-4']","['4', '2']","['6050', '6088']"
Jess Herauf,[2015],['JR-3'],['5'],['5965']
Nikki Larch-Miller,[2015],['JR-3'],['8'],['5806']
Deanna Latham,[2015],['SR-4'],['12'],['5778']
Fabia McDonald,[2015],['SR-4'],['13'],['5757']
Grete Sadeiko,"[2015, 2016]","['SO-2', 'JR-3']","['15', '11']","['5730', '5658']"
Taliyah  Brooks,"[2015, 2017]","['FR-1', 'JR-3']","['16', '3']","['5717', '5795']"
Tatum Souza,[2015],['SR-4'],['17'],['5604']
Alissa Brooks-Johnson,"[2015, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['18', '6', '6']","['5572', '5658', '5789']"
Ashlee Moore,[2015],['FR-1'],['19'],['5486']
Abrianna Torres,[2015],['JR-3'],['20'],['5483']
Brittany Kelly,[2015],['FR-1'],['21'],['5394']
