,years_competed,classes_competed,finish_placements,finish_marks
Leontia Kallenou,"[2014, 2015]","['SO-2', 'SO-2']","['1', '3']","['1.89m', '1.87m']"
Tynita Butts,[2014],['SR-4'],['2'],['1.86m']
Alyx Treasure,"[2014, 2015]","['JR-3', 'SR-4']","['2', '12']","['1.86m', '1.77m']"
Shanay Briscoe,[2014],['SR-4'],['4'],['1.86m']
Amina Smith,[2014],['SR-4'],['5'],['1.86m']
Allison  Barwise,[2014],['SR-4'],['6'],['1.83m']
Amber Melville,[2014],['JR-3'],['7'],['1.83m']
Courtney Anderson,[2014],['SR-4'],['8'],['1.83m']
Tatiana Gusin,"[2014, 2015, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['9', '5', '2', '7']","['1.80m', '1.84m', '1.91m', '1.78m']"
Dior Delophont,"[2014, 2015]","['SO-2', 'JR-3']","['10', '17']","['1.80m', '1.77m']"
Kirsten  Hesseltine,[2014],['SR-4'],['11'],['1.80m']
Kate Wolanin,[2014],['JR-3'],['12'],['1.77m']
Mary Wirth,[2014],['JR-3'],['12'],['1.77m']
Lauren Crockett,"[2014, 2015]","['JR-3', 'SR-4']","['14', '12']","['1.77m', '1.77m']"
Thea LaFond,[2014],['JR-3'],['15'],['1.77m']
Morgan Whitson,[2014],['JR-3'],['16'],['1.77m']
Zibby Boyer,"[2014, 2015]","['JR-3', 'JR-3']","['17', '16']","['1.72m', '1.77m']"
Lynnika Pitts,[2014],['SR-4'],['17'],['1.72m']
Kelly McCoy,[2014],['JR-3'],['19'],['1.72m']
Dakota Dailey-Harris,"[2014, 2016]","['SO-2', 'SR-4']","['19', '10']","['1.72m', '1.78m']"
Jeannelle Scheper,[2015],['SR-4'],['1'],['1.90m']
Kimberly Williamson,"[2015, 2016]","['JR-3', 'SR-4']","['2', '1']","['1.90m', '1.88m']"
Akela Jones,[2015],['JR-3'],['4'],['1.87m']
