,years_competed,classes_competed,finish_placements,finish_marks
Fawn Miller,"[2014, 2015]","['JR-3', 'SR-4']","['1', '8']","['58.13m', '52.65m']"
Avione Allgood,"[2014, 2018]","['SO-2', 'SR-4']","['2', '6']","['55.59m', '53.93m']"
Victoria Paterra,[2014],['SR-4'],['3'],['55.54m']
Maggie Malone,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['4', '9', '1']","['55.24m', '51.97m', '62.19m']"
Laura Loht,[2014],['SR-4'],['5'],['54.41m']
Freya Jones,"[2014, 2015]","['SO-2', 'JR-3']","['6', '5']","['53.07m', '54.11m']"
Sabine Kopplin,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['7', '15', '14']","['52.84m', '47.32m', '49.90m']"
Hannah Carson,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['8', '2', '2']","['52.45m', '57.72m', '61.20m']"
Brianna Bain,[2014],['JR-3'],['9'],['52.35m']
Elizabeth Herrs,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['10', '3', '8']","['50.60m', '56.43m', '52.06m']"
Eva Vivod,"[2014, 2017]","['FR-1', 'SR-4']","['11', '23']","['49.06m', '46.08m']"
Jessie Merckle,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['12', '7', '10']","['48.84m', '53.29m', '50.82m']"
Nika Ouellette,[2014],['SR-4'],['13'],['48.82m']
Tiffany Hellstrom,[2014],['SR-4'],['14'],['48.41m']
Hailey Twietmeyer,[2014],['SR-4'],['15'],['47.66m']
Emma Murillo,[2014],['JR-3'],['16'],['47.63m']
Liz Brenner,"[2014, 2015]","['SO-2', 'JR-3']","['17', '12']","['47.31m', '48.25m']"
Kelsey Hay,"[2014, 2015]","['SO-2', 'JR-3']","['18', '13']","['47.28m', '47.85m']"
Rebekah  Wales,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['19', '4', '6', '5']","['46.99m', '54.26m', '53.96m', '54.92m']"
Amethyst Boyd,"[2014, 2015]","['JR-3', 'SR-4']","['20', '14']","['46.07m', '47.62m']"
Danielle Plank,[2014],['FR-1'],['21'],['45.56m']
Ashley Kowalewski,[2014],['SR-4'],['22'],['44.59m']
Marija  Vucenovic,"[2014, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['23', '5', '2']","['43.45m', '55.29m', '58.58m']"
Irena Sediva,"[2015, 2017]","['SO-2', 'SR-4']","['1', '1']","['58.76m', '58.76m']"
Nicolle Murphy,"[2015, 2016, 2018]","['SO-2', 'JR-3', 'SR-4']","['6', '4', '14']","['53.56m', '55.84m', '49.89m']"
Annie  Simoneaux,[2015],['SR-4'],['10'],['49.85m']
Kristen Clark,"[2015, 2018]","['FR-1', 'SR-4']","['11', '8']","['49.25m', '52.83m']"
Victoria Smith,[2015],['SO-2'],['16'],['47.27m']
Sarah Firestone,"[2015, 2016]","['SO-2', 'JR-3']","['17', '16']","['47.27m', '49.26m']"
Sierra Rosenau,[2015],['JR-3'],['18'],['47.22m']
Ashley Aldredge,"[2015, 2016]","['JR-3', 'SR-4']","['19', '19']","['46.83m', '48.06m']"
Jenna Wargo,[2015],['SR-4'],['20'],['46.18m']
Hannah Mayer,[2015],['SR-4'],['21'],['45.41m']
Lucija Cvitanovic,[2015],['JR-3'],['22'],['45.04m']
Maria Jimenez,"[2015, 2016]","['SO-2', 'SR-4']","['23', '22']","['44.94m', '46.88m']"
Stephanie Wells,[2015],['JR-3'],['24'],['43.89m']
Audrey Malone,"[2016, 2017]","['SO-2', 'JR-3']","['3', '7']","['57.06m', '53.44m']"
Mackenzie Little,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['7', '4', '1', '1']","['53.65m', '55.32m', '60.36m', '59.44m']"
Kelly Yanucil,[2016],['JR-3'],['9'],['51.07m']
Brittni Wolczyk,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['11', '14', '17', '14']","['50.77m', '50.86m', '48.38m', '49.30m']"
Christine Rickert,[2016],['SR-4'],['12'],['50.16m']
Shelby Freedman,[2016],['SO-2'],['13'],['50.02m']
Lauren Kenney,[2016],['SR-4'],['15'],['49.79m']
Sarah Blake,"[2016, 2017, 2019]","['FR-1', 'SO-2', 'JR-3']","['17', '20', '11']","['48.60m', '48.97m', '51.00m']"
Kaylie Van Loo,[2016],['JR-3'],['18'],['48.14m']
Natalie Baker,[2016],['SR-4'],['20'],['48.01m']
Madalaine Stulce,"[2016, 2017, 2019]","['FR-1', 'SO-2', 'SR-4']","['21', '21', '18']","['47.79m', '48.87m', '45.56m']"
Elizabeth Lyssy,[2016],['SR-4'],['23'],['44.67m']
Alyssa Kopp,[2016],['JR-3'],['24'],['44.59m']
Ashley Pryke,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['3', '7', '13']","['56.93m', '53.85m', '49.39m']"
Katelyn Gochenour,[2017],['FR-1'],['6'],['54.26m']
Haley Crouser,"[2017, 2018]","['JR-3', 'SR-4']","['8', '18']","['53.09m', '47.26m']"
Kayli Farmer,[2017],['JR-3'],['9'],['52.70m']
Zaybree Haury,[2017],['SR-4'],['10'],['51.90m']
Vanja Spaic,"[2017, 2018, 2021]","['SO-2', 'JR-3', 'SR-4']","['11', '12', '4']","['51.55m', '50.19m', '55.06m']"
Alyssa  Olin,"[2017, 2018]","['SO-2', 'SR-4']","['12', '5']","['51.34m', '55.02m']"
Samantha Zelden,"[2017, 2019, 2022]","['FR-1', 'SO-2', 'SR-4']","['13', '8', '20']","['51.31m', '52.91m', '50.53m']"
Shaylyn Stallbaumer,[2017],['SO-2'],['15'],['50.53m']
Jenna Gray,"[2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3']","['16', '2', '4']","['50.29m', '57.29m', '54.79m']"
Daliadiz Ortiz,[2017],['SR-4'],['17'],['49.73m']
Christine Streisel,[2017],['JR-3'],['18'],['49.23m']
Jade Madison,[2017],['JR-3'],['19'],['49.20m']
Danielle Collier,"[2017, 2019]","['SO-2', 'JR-3']","['22', '10']","['48.59m', '51.21m']"
Sydney Otto,"[2017, 2019]","['FR-1', 'SO-2']","['24', '15']","['43.59m', '49.05m']"
Laura Paredes,"[2018, 2019]","['FR-1', 'SO-2']","['3', '7']","['55.17m', '53.13m']"
Kelechi Nwanaga,"[2018, 2021, 2022]","['FR-1', 'JR-3', 'SR-4']","['4', '8', '11']","['55.02m', '54.19m', '53.37m']"
Destiny  Dawson,[2018],['JR-3'],['9'],['52.14m']
Kylee Carter,"[2018, 2019, 2021]","['JR-3', 'JR-3', 'SR-4']","['10', '2', '6']","['51.20m', '56.40m', '55.00m']"
Ashton Riner,"[2018, 2022, 2023]","['FR-1', 'SR-4', 'SR-4']","['11', '1', '16']","['50.25m', '58.24m', '51.00m']"
Maura Fiamoncini,"[2018, 2019, 2021]","['FR-1', 'SO-2', 'SR-4']","['13', '9', '3']","['49.90m', '52.66m', '56.48m']"
Peyton Montgomery,[2018],['JR-3'],['15'],['48.54m']
Marie-Therese Obst,"[2018, 2021]","['FR-1', 'SR-4']","['15', '1']","['48.54m', '59.69m']"
Callie Jones,[2018],['FR-1'],['19'],['47.01m']
Tairyn Montgomery,[2018],['SO-2'],['20'],['46.76m']
Morgan Woods,[2018],['JR-3'],['21'],['45.57m']
Stephanie Sievers,[2018],['JR-3'],['22'],['43.99m']
Keira McCarrell,"[2018, 2019]","['FR-1', 'SO-2']","['23', '17']","['43.07m', '48.82m']"
Madison Wiltrout,"[2019, 2021, 2022, 2023]","['FR-1', 'JR-3', 'JR-3', 'SR-4']","['3', '16', '3', '8']","['55.21m', '51.56m', '56.46m', '55.04m']"
Chase Wolinski,[2019],['SR-4'],['5'],['53.75m']
Sophia Rivera,"[2019, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['6', '9', '6']","['53.34m', '53.87m', '55.92m']"
Mona Jaidi,"[2019, 2021]","['JR-3', 'JR-3']","['12', '22']","['50.95m', '49.27m']"
Seri Geisler,[2019],['JR-3'],['16'],['48.87m']
Danielle Konopelski,[2019],['SR-4'],['19'],['45.21m']
Akealy  Moton,"[2019, 2021]","['FR-1', 'SO-2']","['20', '13']","['44.02m', '53.37m']"
Sara Phelan,[2019],['JR-3'],['21'],['42.82m']
Virginia Miller,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['22', '7', '7']","['39.24m', '54.49m', '54.12m']"
Danielle Steff,[2019],['SO-2'],['23'],['38.41m']
Alizee Minard,[2021],['SR-4'],['2'],['57.91m']
Kari Wolfe,"[2021, 2022]","['JR-3', 'SR-4']","['5', '10']","['55.02m', '53.55m']"
Skylar Ciccolini,"[2021, 2023]","['FR-1', 'SO-2']","['9', '5']","['53.71m', '56.03m']"
Sara Zabarino,"[2021, 2022]","['FR-1', 'SR-4']","['10', '5']","['53.51m', '55.61m']"
Casey Bogues,[2021],['SO-2'],['11'],['53.39m']
Maria Bienvenu,"[2021, 2023]","['FR-1', 'SO-2']","['12', '13']","['53.38m', '51.58m']"
Ashley Carter,"[2021, 2022]","['JR-3', 'SR-4']","['14', '12']","['53.04m', '53.26m']"
Ilaria Casarotto,[2021],['JR-3'],['15'],['52.80m']
Lauri Paredes,[2021],['SR-4'],['17'],['51.46m']
Roosa Yloenen,"[2021, 2023]","['SO-2', 'SR-4']","['18', '23']","['50.28m', '47.90m']"
Maddie Harris,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['19', '2', '4']","['49.97m', '57.69m', '57.26m']"
Mirta Kulisic,"[2021, 2022]","['FR-1', 'SO-2']","['20', '14']","['49.70m', '52.35m']"
Rhema Otabor,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['21', '4', '1']","['49.60m', '55.92m', '59.49m']"
Ilhame Tamrouti,"[2021, 2023]","['JR-3', 'SR-4']","['23', '20']","['47.27m', '48.61m']"
Kate Joyce,"[2022, 2023]","['SO-2', 'JR-3']","['6', '22']","['54.68m', '48.30m']"
Valentina  Barrios Bornacelli,[2022],['FR-1'],['8'],['54.03m']
Dana Baker,"[2022, 2023]","['SO-2', 'JR-3']","['13', '15']","['52.47m', '51.29m']"
Katelyn Fairchild,"[2022, 2023]","['FR-1', 'SO-2']","['15', '3']","['52.00m', '57.97m']"
Lianna Davidson,"[2022, 2023]","['FR-1', 'SO-2']","['16', '2']","['51.99m', '58.78m']"
Madison  Smith,[2022],['SR-4'],['17'],['51.18m']
Alexis  McAllister,[2022],['SR-4'],['18'],['50.71m']
Ava Curry,[2022],['JR-3'],['19'],['50.60m']
Leonie Troeger,"[2022, 2023]","['SO-2', 'SO-2']","['21', '17']","['50.34m', '50.02m']"
