,years_competed,classes_competed,finish_placements,finish_marks
Jenna Prandini,"[2014, 2015]","['SO-2', 'JR-3']","['1', '2']","['6.55m', '6.80m']"
Sha'Keela Saunders,"[2014, 2015, 2017]","['FR-1', 'SO-2', 'SR-4']","['2', '3', '5']","['6.43m', '6.75m', '6.48m']"
Kylie Price,"[2014, 2016]","['JR-3', 'SR-4']","['3', '18']","['6.43m', '6.05m']"
Lorraine Ugen,[2014],['SR-4'],['4'],['6.40m']
Chanice Porter,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['5', '8', '1']","['6.32m', '6.50m', '6.67m']"
Jazmin McCoy,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['6', '17', '22']","['6.31m', '6.08m', '5.91m']"
Sydney Conley,"[2014, 2015, 2017]","['SO-2', 'JR-3', 'SR-4']","['7', '5', '3']","['6.30m', '6.60m', '6.56m']"
Zinnia Miller,[2014],['SR-4'],['8'],['6.25m']
Je'Nia Sears,[2014],['JR-3'],['9'],['6.20m']
Brittany Owens,[2014],['SO-2'],['10'],['6.18m']
Roseanne Erickson,[2014],['JR-3'],['11'],['6.17m']
Whitney Fountain,[2014],['JR-3'],['12'],['6.17m']
Nataliyah Friar,"[2014, 2017]","['FR-1', 'SR-4']","['13', '14']","['6.15m', '6.12m']"
Tamara Myers,[2014],['JR-3'],['14'],['6.15m']
Jen  Clayton,[2014],['SR-4'],['15'],['6.15m']
Erica Twiss,[2014],['SR-4'],['16'],['6.14m']
Mollie Gribbin,[2014],['SO-2'],['17'],['6.13m']
Quanesha Burks,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['18', '1', '2', '11']","['6.12m', '6.91m', '6.52m', '6.27m']"
Brittney Howell,[2014],['SR-4'],['19'],['6.10m']
Julienne McKee,[2014],['SR-4'],['20'],['6.09m']
Tierra Williams,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['21', '9', '16', '9']","['6.02m', '6.36m', '6.15m', '6.33m']"
Der'Renae Freeman,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['22', '6', '17']","['5.97m', '6.59m', '6.14m']"
Kenyattia Hackworth,"[2014, 2015]","['JR-3', 'SR-4']","['23', '23']","['5.97m', '5.84m']"
Krystal Wharton,[2014],['JR-3'],['24'],['5.42m']
Jasmine Todd,[2015],['SO-2'],['4'],['6.65m']
Keturah Orji,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['7', '6', '2', '1']","['6.57m', '6.29m', '6.71m', '6.67m']"
Allie Saunders,[2015],['SR-4'],['10'],['6.32m']
Clairwin Dameus,[2015],['JR-3'],['11'],['6.24m']
Darrielle McQueen,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['12', '5', '10', '2']","['6.22m', '6.31m', '6.33m', '6.61m']"
Jhoanmy  Luque,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['13', '11', '4', '11']","['6.21m', '6.20m', '6.54m', '6.34m']"
Phillicia Fluellen,[2015],['JR-3'],['14'],['6.21m']
Baileh Simms,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['15', '20', '22']","['6.17m', '6.02m', '5.90m']"
Le'Tristan Pledger,[2015],['JR-3'],['16'],['6.13m']
Aleah Hurst,[2015],['SO-2'],['18'],['6.06m']
Gionna Jackson,[2015],['JR-3'],['19'],['6.05m']
Danielle Littleton,[2015],['SR-4'],['20'],['5.94m']
Filippa Fotopoulou,"[2015, 2017]","['FR-1', 'JR-3']","['21', '19']","['5.91m', '5.93m']"
Jogaile Petrokaite,"[2015, 2016, 2019]","['FR-1', 'SO-2', 'SR-4']","['22', '13', '9']","['5.88m', '6.18m', '6.39m']"
Keishorea Armstrong,"[2015, 2018]","['SO-2', 'SR-4']","['24', '21']","['5.80m', '6.02m']"
Taliyah  Brooks,[2016],['SO-2'],['3'],['6.35m']
Alexis Perry,[2016],['SR-4'],['4'],['6.31m']
Gabrielle Farquharson,[2016],['SR-4'],['7'],['6.29m']
