,years_competed,classes_competed,finish_placements,finish_marks
Annika Roloff,[2014],['SO-2'],['1'],['4.40m']
Kelsie Ahbe,[2014],['SR-4'],['2'],['4.40m']
Martina Schultze,[2014],['JR-3'],['3'],['4.35m']
Sandi  Morris,"[2014, 2015]","['JR-3', 'SR-4']","['4', '2']","['4.35m', '4.65m']"
Ariel Voskamp,"[2014, 2015]","['SO-2', 'JR-3']","['5', '7']","['4.20m', '4.30m']"
Katrine Haarklau,"[2014, 2015]","['JR-3', 'SR-4']","['6', '10']","['4.20m', '4.20m']"
Alysha Newman,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['7', '9', '2']","['4.15m', '4.20m', '4.30m']"
Danielle Nowell,[2014],['SR-4'],['8'],['4.15m']
Sydney Clute,"[2014, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['8', '4', '4']","['4.15m', '4.30m', '4.40m']"
Carolina Carmichael,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['10', '10', '10']","['4.15m', '4.20m', '4.20m']"
Diamara Planell Cruz,[2014],['JR-3'],['10'],['4.15m']
Petra Olsen,[2014],['SR-4'],['12'],['4.05m']
Natasha Kolbo,[2014],['SR-4'],['13'],['4.05m']
Sydney White,[2014],['SO-2'],['13'],['4.05m']
Lakan Taylor,"[2014, 2017]","['FR-1', 'SR-4']","['15', '8']","['4.05m', '4.15m']"
Kristen Brown,"[2014, 2015]","['SR-4', 'SR-4']","['16', '17']","['4.05m', '4.05m']"
Megan Zimlich,[2014],['SO-2'],['17'],['4.05m']
Claire Lucas,[2014],['JR-3'],['18'],['4.05m']
Sammie Clark,[2014],['SR-4'],['19'],['3.90m']
Neal Tisher,[2014],['SR-4'],['20'],['3.90m']
Demi Payne,[2015],['JR-3'],['1'],['4.70m']
Stephanie Richartz,[2015],['SR-4'],['3'],['4.45m']
Kristina Owsinski,"[2015, 2017]","['JR-3', 'SR-4']","['4', '5']","['4.40m', '4.40m']"
Desiree  Freier,"[2015, 2017, 2019]","['FR-1', 'SO-2', 'SR-4']","['5', '8', '9']","['4.35m', '4.15m', '4.20m']"
Anginae Monteverde,[2015],['SO-2'],['6'],['4.30m']
Kimyanna Rudolph,[2015],['JR-3'],['8'],['4.20m']
Annie Rhodes,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['10', '11', '3']","['4.20m', '4.05m', '4.40m']"
Caroline Hasse,"[2015, 2016]","['JR-3', 'SR-4']","['13', '7']","['4.20m', '4.20m']"
