,years_competed,classes_competed,finish_placements,finish_marks
Christina Hillman,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['1', '6', '6']","['17.73m', '17.14m', '17.48m']"
Tori Bliss,"[2014, 2015]","['JR-3', 'SR-4']","['2', '3']","['17.48m', '17.83m']"
Kearsten  Peoples,[2014],['JR-3'],['3'],['17.47m']
Julie Labonte,[2014],['SR-4'],['4'],['17.27m']
Dani Bunch,[2014],['SR-4'],['5'],['17.26m']
Mary Theisen,[2014],['SR-4'],['6'],['17.20m']
Brittany Mann,"[2014, 2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['7', '5', '5', '3']","['17.07m', '17.22m', '17.49m', '17.49m']"
Jessica Ramsey,[2014],['SR-4'],['8'],['16.79m']
Danniel Thomas,"[2014, 2015, 2017]","['SO-2', 'JR-3', 'SR-4']","['9', '11', '1']","['16.79m', '16.53m', '19.15m']"
Valentina Muzaric,"[2014, 2016]","['JR-3', 'SR-4']","['10', '11']","['16.60m', '16.55m']"
Kyla Buckley,[2014],['SR-4'],['11'],['16.52m']
Jill Rushin,"[2014, 2015]","['JR-3', 'SR-4']","['12', '7']","['16.38m', '17.07m']"
Annie Jackson,[2014],['SR-4'],['13'],['16.33m']
Rachel Dincoff,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['14', '9', '20']","['16.08m', '16.76m', '15.77m']"
Cassie  Wertman,"[2014, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['15', '16', '18']","['16.02m', '16.28m', '16.22m']"
Claire Uke,"[2014, 2016]","['JR-3', 'SR-4']","['16', '21']","['16.01m', '15.30m']"
Aaliyah Pete,"[2014, 2015]","['FR-1', 'SO-2']","['17', '18']","['15.72m', '15.66m']"
Sarah Howard,"[2014, 2015, 2017]","['SO-2', 'JR-3', 'SR-4']","['18', '14', '12']","['15.65m', '16.20m', '16.58m']"
Carlie Pinkelman,[2014],['JR-3'],['19'],['15.63m']
Kayla Kovar,[2014],['SR-4'],['20'],['15.50m']
Ashley Gaston,[2014],['JR-3'],['21'],['15.29m']
Emily  Morris,"[2014, 2015]","['JR-3', 'SR-4']","['22', '21']","['15.15m', '15.26m']"
Alexus Scott,[2014],['SO-2'],['23'],['14.86m']
Raven Saunders,"[2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3']","['1', '1', '4']","['18.35m', '19.33m', '17.47m']"
Kelsey Card,"[2015, 2016]","['JR-3', 'SR-4']","['2', '4']","['17.96m', '17.65m']"
Dani Winters,"[2015, 2016]","['JR-3', 'SR-4']","['4', '12']","['17.64m', '16.45m']"
Alexis Cooks,[2015],['SR-4'],['8'],['16.79m']
Rachel Fatherly,[2015],['JR-3'],['10'],['16.67m']
Amelia Strickler,[2015],['JR-3'],['12'],['16.46m']
Cion Hicks,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['13', '22', '20']","['16.36m', '15.29m', '16.00m']"
Jianna Williams,[2015],['SR-4'],['15'],['15.93m']
Emmonnie  Henderson,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['16', '13', '2']","['15.93m', '16.37m', '17.92m']"
Nikki Okwelogu,"[2015, 2016]","['SO-2', 'JR-3']","['17', '8']","['15.89m', '16.91m']"
Alex Porlier-Langlois,[2015],['JR-3'],['19'],['15.60m']
Tremanisha Taylor,[2015],['SR-4'],['20'],['15.43m']
Maggie Ewen,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['22', '19', '6', '1']","['14.97m', '16.05m', '17.40m', '19.17m']"
Christine Bohan,"[2015, 2017]","['SO-2', 'SR-4']","['23', '11']","['14.23m', '16.59m']"
Chase Ealey,[2016],['SR-4'],['2'],['17.99m']
Jessica Woodard,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['3', '8', '2']","['17.88m', '17.22m', '18.68m']"
Lloydricia Cameron,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['7', '7', '8']","['17.01m', '17.28m', '17.07m']"
Tochi Nlemchi,"[2016, 2018]","['JR-3', 'FR-1']","['9', '16']","['16.77m', '16.18m']"
Erin Farmer,"[2016, 2017]","['JR-3', 'SR-4']","['10', '9']","['16.61m', '16.82m']"
Megan Smith,[2016],['SR-4'],['14'],['16.31m']
Amber Monroe,[2016],['SR-4'],['15'],['16.30m']
Chioma Onyekwere,[2016],['SR-4'],['17'],['16.27m']
