,years_competed,classes_competed,finish_placements,finish_marks
Shanieka Thomas,[2014],['SR-4'],['1'],['14.00m']
LaQue Moen-Davis,[2014],['SO-2'],['2'],['13.56m']
Ciarra Brewer,[2014],['JR-3'],['3'],['13.49m']
Lynnika Pitts,[2014],['SR-4'],['4'],['13.44m']
Ellie Ewere,"[2014, 2015]","['JR-3', 'SR-4']","['5', '11']","['13.29m', '13.02m']"
Brianna Richardson,"[2014, 2015, 2017]","['SO-2', 'JR-3', 'SR-4']","['6', '10', '11']","['13.20m', '13.05m', '13.15m']"
Dallas Rose,[2014],['SR-4'],['7'],['13.18m']
Stormy Nesbit,[2014],['SR-4'],['8'],['13.03m']
Simone Charley,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['9', '3', '2']","['12.98m', '13.49m', '13.77m']"
Nickevea Wilson,[2014],['JR-3'],['10'],['12.84m']
Melia Cox,[2014],['JR-3'],['11'],['12.80m']
Tamara Myers,[2014],['JR-3'],['12'],['12.79m']
Tori Franklin,"[2014, 2015]","['JR-3', 'SR-4']","['13', '5']","['12.76m', '13.38m']"
Zinnia Miller,[2014],['SR-4'],['14'],['12.74m']
Christina Epps,[2014],['SR-4'],['14'],['12.74m']
Jasia Richardson,[2014],['SR-4'],['16'],['12.69m']
Kaitlyn Beans,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['17', '17', '13']","['12.67m', '12.58m', '12.98m']"
Jatavia Wright,[2014],['JR-3'],['18'],['12.63m']
France  Makabu,[2014],['SR-4'],['19'],['12.57m']
Thea LaFond,[2014],['JR-3'],['20'],['12.55m']
Allie Saunders,"[2014, 2015]","['JR-3', 'SR-4']","['21', '7']","['12.52m', '13.25m']"
Robiann Broomfield,[2014],['SO-2'],['22'],['12.51m']
Julienne McKee,[2014],['SR-4'],['23'],['12.42m']
Kemi Olonade,[2014],['SR-4'],['24'],['12.06m']
Keturah Orji,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['1', '1', '1', '1']","['14.15m', '14.53m', '14.29m', '14.04m']"
Marshay Ryan,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['2', '8', '15']","['13.53m', '13.22m', '13.11m']"
Nadia Eke,[2015],['SR-4'],['4'],['13.46m']
Nataliyah Friar,"[2015, 2017]","['SO-2', 'SR-4']","['6', '20']","['13.32m', '12.93m']"
Daisy Ding,"[2015, 2016]","['SO-2', 'SO-2']","['8', '22']","['13.18m', '12.46m']"
Iana Amsterdam,[2015],['SO-2'],['9'],['13.13m']
Mollie Gribbin,[2015],['JR-3'],['12'],['12.81m']
Rebecka Abrahamsson,[2015],['FR-1'],['13'],['12.77m']
Isabella  Marten,[2015],['FR-1'],['14'],['12.74m']
Jasmine Brown,[2015],['SO-2'],['15'],['12.70m']
Dace' Dreimane,[2015],['SO-2'],['16'],['12.62m']
Danielle Jones,[2015],['SO-2'],['18'],['12.57m']
Paetyn Revell,[2015],['SO-2'],['19'],['12.54m']
Cybil Obiozor,[2015],['SO-2'],['20'],['12.51m']
Brittany Kinney,[2015],['SR-4'],['21'],['12.51m']
Alyssa Kelly,[2015],['JR-3'],['22'],['12.29m']
Ebony Brinker,[2015],['SR-4'],['23'],['12.11m']
Yanis David,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['3', '3', '2', '2']","['13.64m', '13.64m', '13.95m', '13.93m']"
Jhoanmy  Luque,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['4', '4', '13']","['13.37m', '13.47m', '13.10m']"
Tierra Williams,[2016],['JR-3'],['5'],['13.37m']
Natasha  Dicks,"[2016, 2017]","['JR-3', 'SR-4']","['6', '10']","['13.35m', '13.17m']"
Isabella Marten,[2016],['SO-2'],['7'],['13.35m']
Sha'Keela Saunders,[2016],['JR-3'],['9'],['13.21m']
Aliyah Johnson,"[2016, 2017]","['FR-1', 'SO-2']","['10', '14']","['13.06m', '13.11m']"
Dannielle Gibson,"[2016, 2017]","['JR-3', 'SR-4']","['11', '6']","['13.05m', '13.36m']"
Shanique Wright,[2016],['FR-1'],['12'],['12.99m']
Keyasia Tibbs,"[2016, 2017]","['JR-3', 'SR-4']","['14', '13']","['12.93m', '13.12m']"
Mylana Hearn,"[2016, 2017]","['SO-2', 'JR-3']","['15', '21']","['12.89m', '12.71m']"
Jazzelena Black,[2016],['SR-4'],['16'],['12.88m']
Jannell Hadnot,[2016],['JR-3'],['17'],['12.88m']
Amber Hughes,"[2016, 2017]","['JR-3', 'SR-4']","['18', '7']","['12.76m', '13.32m']"
O'Sha Williams,[2016],['SR-4'],['19'],['12.73m']
Aasha Marler,[2016],['SR-4'],['20'],['12.70m']
Anasterasia Terrell,[2016],['JR-3'],['21'],['12.51m']
Marie-Josee Ebwea-Bile,"[2017, 2018]","['SO-2', 'JR-3']","['2', '3']","['13.69m', '13.66m']"
Viershanie Latham,[2017],['SR-4'],['5'],['13.45m']
Tiffany Flynn,"[2017, 2019]","['JR-3', 'SR-4']","['8', '8']","['13.31m', '13.32m']"
Chaquinn Cook,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['9', '10', '4']","['13.26m', '13.21m', '13.72m']"
Angela Mercurio,[2017],['JR-3'],['12'],['13.14m']
Darrielle McQueen,"[2017, 2018]","['JR-3', 'SR-4']","['16', '8']","['13.08m', '13.31m']"
Rachel Toliver,[2017],['SR-4'],['17'],['13.06m']
Viktoriia Sadokhina,[2017],['SR-4'],['18'],['12.97m']
Ashley Anderson,"[2017, 2018]","['JR-3', 'SR-4']","['19', '21']","['12.96m', '12.86m']"
Shamoya McNeil,[2017],['JR-3'],['22'],['12.70m']
Shardia Lawrence,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['23', '18', '1']","['12.34m', '12.93m', '13.99m']"
Jessie Maduka,[2018],['SR-4'],['4'],['13.65m']
Eszter  Bajnok,"[2018, 2021]","['SO-2', 'SR-4']","['5', '12']","['13.42m', '13.35m']"
Jahisha Thomas,[2018],['SR-4'],['6'],['13.39m']
Jehvania Whyte,"[2018, 2019]","['JR-3', 'SR-4']","['7', '20']","['13.36m', '12.84m']"
Kelly  McKee,"[2018, 2019]","['JR-3', 'SR-4']","['9', '5']","['13.23m', '13.51m']"
Lajarvia Brown,[2018],['SO-2'],['11'],['13.19m']
Cidaea'  Woods,[2018],['SR-4'],['12'],['13.15m']
Ciynamon Stevenson,"[2018, 2019]","['SO-2', 'JR-3']","['14', '7']","['13.02m', '13.36m']"
Ja'la  Henderson,"[2018, 2019]","['JR-3', 'SR-4']","['15', '10']","['13.01m', '13.20m']"
Sabina Allen,[2018],['SR-4'],['16'],['12.99m']
Michelle Fokam,"[2018, 2019, 2021]","['SO-2', 'JR-3', 'SR-4']","['17', '14', '3']","['12.97m', '13.13m', '14.04m']"
Konstantina Romaiou,[2018],['SO-2'],['19'],['12.91m']
Jaimie Robinson,[2018],['FR-1'],['20'],['12.87m']
Simi Fajemisin,[2018],['SO-2'],['22'],['12.52m']
Tamara Moncrieffe,[2018],['JR-3'],['23'],['12.49m']
Marie-Josee Ebwea-Excel,[2019],['SR-4'],['3'],['13.87m']
Mirieli Santos,[2019],['FR-1'],['6'],['13.46m']
Alonie Sutton,"[2019, 2021]","['FR-1', 'SR-4']","['9', '13']","['13.29m', '13.26m']"
LaChyna Roe,[2019],['SR-4'],['11'],['13.20m']
Kala Penn,[2019],['JR-3'],['12'],['13.17m']
Leah Moran,"[2019, 2021]","['JR-3', 'SR-4']","['13', '19']","['13.15m', '13.13m']"
