,years_competed,finish_placements,finish_marks,country
Grant HOLLOWAY,"['2023', '2022']","['1', '1']","['12.96', '13.03']",USA
Hansle PARCHMENT,"['2023', '2022']","['2', '']","['13.07', 'DNS']",JAM
Daniel ROBERTS,['2023'],['3'],['13.09'],USA
Freddie CRITTENDEN,['2023'],['4'],['13.16'],USA
Shunsuke IZUMIYA,['2023'],['5'],['13.19'],JPN
Sasha ZHOYA,['2023'],['6'],['13.26'],FRA
Jason JOSEPH,['2023'],['7'],['13.28'],SUI
Wilhem BELOCIAN,['2023'],['8'],['13.32'],FRA
Trey CUNNINGHAM,['2022'],['2'],['13.08'],USA
Asier MARTÍNEZ,['2022'],['3'],['13.17'],ESP
Damian CZYKIER,['2022'],['4'],['13.32'],POL
Joshua ZELLER,['2022'],['5'],['13.33'],GBR
Shane BRATHWAITE,['2022'],[''],['DQ'],BAR
Devon ALLEN,['2022'],[''],['DQ'],USA
Jason Richardson,['2011'],['1'],['13.16'],USA
Xiang Liu,"['2011', '2007', '2005', '2003']","['2', '1', '2', '3']","['13.27', '12.95', '13.08', '13.23']",CHN
Andrew Turner,['2011'],['3'],['13.44'],GBR
David Oliver,['2011'],['4'],['13.44'],USA
Aries Merritt,['2011'],['5'],['13.67'],USA
William Sharman,"['2011', '2009']","['5', '4']","['13.67', '13.30']",GBR
Dayron Robles,"['2011', '2007']","['', '4']","['DQ', '13.15']",CUB
Dwight Thomas,"['2011', '2009']","['', '7']","['DNF', '13.56']",JAM
Ryan Brathwaite,['2009'],['1'],['13.14'],BAR
Terrence Trammell,"['2009', '2007', '2005', '2003']","['2', '2', '5', '2']","['13.15', '12.99', '13.20', '13.20']",USA
David Payne,"['2009', '2007']","['3', '3']","['13.15', '13.02']",USA
Maurice Wignall,"['2009', '2007', '2005']","['5', '8', '7']","['13.31', '13.39', '13.47']",JAM
Petr Svoboda,['2009'],['6'],['13.38'],CZE
Wei Ji,['2009'],['8'],['13.57'],CHN
Dongpeng Shi,"['2007', '2003']","['5', '6']","['13.19', '13.55']",CHN
Serhiy Demydyuk,['2007'],['6'],['13.22'],UKR
Jackson Quiñónez,['2007'],['7'],['13.33'],ESP
Ladji Doucouré,['2005'],['1'],['13.07'],FRA
Allen Johnson,"['2005', '2003', '2001', '1997', '1995']","['3', '1', '1', '1', '1']","['13.10', '13.12', '13.04', '12.93', '13.00']",USA
Dominique Arnold,['2005'],['4'],['13.13'],USA
Joel Brown,['2005'],['6'],['13.47'],USA
Mateus Facho Inocêncio,['2005'],['8'],['13.48'],BRA
Larry Wade,['2003'],['4'],['13.34'],USA
Márcio Simão de Souza,['2003'],['5'],['13.48'],BRA
Yoel Hernández,"['2003', '2001', '1999']","['7', '4', '6']","['13.57', '13.30', '13.30']",CUB
Chris Phillips,['2003'],[''],['DQ'],USA
Anier García,"['2001', '1999']","['2', '2']","['13.07', '13.07']",CUB
Dudley Dorival,['2001'],['3'],['13.25'],HAI
Robert Kronberg,['2001'],['5'],['13.51'],SWE
Yevgeniy Pechonkin,['2001'],['6'],['13.52'],RUS
Dawane Wallace,['2001'],['7'],['13.76'],USA
Shaun Bownes,['2001'],['8'],['13.84'],RSA
Colin Jackson,"['1999', '1997', '1993']","['1', '2', '1']","['13.04', '13.05', '12.91']",GBR
Duane Ross,['1999'],['3'],['13.12'],USA
Tony Dees,"['1999', '1993']","['4', '8']","['13.22', '14.13']",USA
Falk Balzer,['1999'],['5'],['13.26'],GER
Florian Schwarthoff,"['1999', '1997', '1993', '1991']","['7', '4', '5', '7']","['13.39', '13.20', '13.27', '13.41']",GER
Jonathan Nsenga,['1999'],['8'],['13.54'],BEL
Igor Kovác,['1997'],['3'],['13.18'],SVK
Dan Philibert,"['1997', '1995', '1991']","['5', '6', '5']","['13.26', '13.34', '13.33']",FRA
Terry Reese,['1997'],['6'],['13.30'],USA
Mark Crear,['1997'],['7'],['13.55'],USA
Artur Kohutek,['1997'],[''],['DNS'],POL
Tony Jarrett,"['1995', '1993', '1991']","['2', '2', '3']","['13.04', '13.00', '13.25']",GBR
Roger Kingdom,['1995'],['3'],['13.19'],USA
Jack Pierce,"['1995', '1993', '1991']","['4', '3', '2']","['13.27', '13.06', '13.06']",USA
Kyle Vander Kuyp,['1995'],['5'],['13.30'],AUS
Erik Batte,['1995'],['7'],['13.38'],CUB
Emilio Valle,"['1995', '1993']","['8', '4']","['13.43', '13.20']",CUB
Igors Kazanovs,['1993'],['6'],['13.38'],LAT
Dietmar Koszewski,['1993'],['7'],['13.60'],GER
Greg Foster,['1991'],['1'],['13.06'],USA
Mark McKoy,['1991'],['4'],['13.30'],CAN
Vladimir Shishkin,['1991'],['6'],['13.39'],URS
Tong Li,['1991'],['8'],['13.46'],CHN
