,years_competed,finish_placements,finish_marks,country
Soufiane EL BAKKALI,"['2023', '2022']","['1', '1']","['8:03.53', '8:25.13']",MAR
Lamecha GIRMA,"['2023', '2022']","['2', '2']","['8:05.44', '8:26.01']",ETH
Abraham KIBIWOT,"['2023', '2022']","['3', '5']","['8:11.98', '8:28.95']",KEN
Leonard Kipkemoi BETT,"['2023', '2022']","['4', '15']","['8:12.26', '8:36.74']",KEN
George BEAMISH,['2023'],['5'],['8:13.46'],NZL
Ryuji MIURA,['2023'],['6'],['8:13.70'],JPN
Simon Kiprop KOECH,['2023'],['7'],['8:14.37'],KEN
Jean-Simon DESGAGNÉS,['2023'],['8'],['8:15.58'],CAN
Daniel ARCE,"['2023', '2022']","['9', '9']","['8:18.31', '8:30.05']",ESP
Kenneth ROOKS,['2023'],['10'],['8:20.02'],USA
Getnet WALE,"['2023', '2022']","['11', '4']","['8:21.03', '8:28.68']",ETH
Leonard CHEMUTAI,['2023'],['12'],['8:21.61'],UGA
Mohamed Amin JHINAOUI,['2023'],['13'],['8:23.08'],TUN
Ryoma AOKI,['2023'],['14'],['8:24.77'],JPN
Simon SUNDSTRÖM,['2023'],['15'],['8:27.68'],SWE
Isaac UPDIKE,['2023'],['16'],['8:30.67'],USA
Conseslus KIPRUTO,['2022'],['3'],['8:27.92'],KEN
Evan JAGER,['2022'],['6'],['8:29.08'],USA
Yemane HAILESELASSIE,['2022'],['7'],['8:29.40'],ERI
Hillary BOR,['2022'],['8'],['8:29.77'],USA
Hailemariyam AMARE,['2022'],['10'],['8:31.54'],ETH
Avinash Mukund SABLE,['2022'],['11'],['8:31.75'],IND
Ahmed ABDELWAHED,['2022'],['12'],['8:33.43'],ITA
Mehdi BELHADJ,['2022'],['13'],['8:34.49'],FRA
Sebastián MARTOS,['2022'],['14'],['8:36.66'],ESP
Ezekiel Kemboi,"['2011', '2009', '2007', '2005', '2003']","['1', '1', '2', '2', '2']","['8:14.85', '8:00.43', '8:16.94', '8:14.95', '8:05.11']",KEN
Brimin Kiprop Kipruto,"['2011', '2009', '2007', '2005']","['2', '7', '1', '3']","['8:16.05', '8:12.61', '8:13.82', '8:15.30']",KEN
Mahiedine Mekhissi,['2011'],['3'],['8:16.09'],FRA
Bouabdellah Tahri,"['2011', '2009', '2007', '2005', '2003', '2001', '1999']","['4', '3', '5', '8', '4', '5', '12']","['8:17.56', '8:01.18', '8:20.27', '8:19.96', '8:10.65', '8:19.56', '8:25.59']",FRA
Roba Gari,"['2011', '2009', '2007']","['5', '6', '10']","['8:18.37', '8:12.40', '8:25.93']",ETH
Jacob Araptany,['2011'],['6'],['8:18.67'],UGA
Richard Kipkemboi Mateelong,"['2011', '2009', '2007']","['7', '2', '3']","['8:19.31', '8:00.89', '8:17.59']",KEN
Ivan Lukyanov,['2011'],['8'],['8:19.69'],MDA
Hamid Ezzine,['2011'],['9'],['8:21.97'],MAR
Benjamin Kiplagat,"['2011', '2009']","['10', '11']","['8:22.21', '8:17.82']",UGA
Nahom Mesfin,"['2011', '2007']","['11', '12']","['8:25.39', '8:28.86']",ETH
Vincent Zouaoui-Dandrieux,['2011'],['12'],['8:30.39'],FRA
Ruben Ramolefi,"['2011', '2009']","['13', '13']","['8:30.47', '8:32.54']",RSA
Abraham Kipkirong Chirchir,['2011'],['14'],['8:33.56'],KEN
Alberto Paulo,['2011'],['15'],['8:33.84'],POR
Paul Kipsiele Koech,"['2009', '2005']","['4', '7']","['8:01.26', '8:19.14']",KEN
Yacob Jarso,['2009'],['5'],['8:12.13'],ETH
Jukka Keskisalo,"['2009', '2003']","['8', '9']","['8:14.47', '8:17.72']",FIN
Eliseo Martín,"['2009', '2007', '2003', '2001', '1999']","['9', '7', '3', '12', '6']","['8:16.51', '8:22.91', '8:09.09', '8:27.78', '8:16.09']",ESP
Tareq Mubarak Taher,"['2009', '2007', '2005']","['10', '8', '15']","['8:17.08', '8:22.95', '8:37.62']",BRN
Abubaker Ali Kamal,"['2009', '2007']","['12', '11']","['8:19.72', '8:26.90']",QAT
Mustafa Mohamed,"['2009', '2007', '2005']","['14', '4', '10']","['8:35.77', '8:19.82', '8:20.26']",SWE
Jamel Chatbi,['2009'],[''],['DQ'],MAR
Halil Akkas,['2007'],['6'],['8:22.51'],TUR
Abdelkader Hachlaf,"['2007', '2003']","['9', '13']","['8:24.18', '8:35.17']",MAR
Brahim Taleb,['2007'],[''],['DQ'],MAR
José Luis Blanco,"['2007', '2005', '2003']","['', '14', '8']","['DQ', '8:24.62', '8:17.16']",ESP
Ali Ahmed Al-Amri,['2007'],[''],['DNF'],KSA
Saif Saaeed Shaheen,"['2005', '2003']","['1', '1']","['8:13.31', '8:04.39']",QAT
Brahim Boulami,"['2005', '2001', '1997']","['4', '10', '10']","['8:15.32', '8:21.95', '8:23.34']",MAR
Simon Vroemen,"['2005', '2003']","['5', '7']","['8:16.76', '8:13.71']",NED
Antonio David Jiménez,"['2005', '2001']","['6', '6']","['8:17.69', '8:19.82']",ESP
Musa Amer Obaid,['2005'],['9'],['8:20.22'],QAT
Luis Miguel Martín,"['2005', '2003', '2001']","['11', '6', '4']","['8:22.13', '8:13.52', '8:18.87']",ESP
Günther Weidlinger,"['2005', '1999']","['12', '9']","['8:22.84', '8:19.02']",AUT
Daniel Lincoln,['2005'],['13'],['8:23.89'],USA
Abraham Cherono,['2003'],['5'],['8:13.37'],KEN
Ali Ezzine,"['2003', '2001', '1999']","['10', '2', '3']","['8:19.15', '8:16.21', '8:12.73']",MAR
Yoshitaka Iwamizu,['2003'],['11'],['8:19.29'],JPN
Khamis Abdullah Saifeldin,"['2003', '2001']","['12', '7']","['8:28.37', '8:20.01']",QAT
Reuben Kosgei,"['2003', '2001']","['', '1']","['DNF', '8:15.16']",KEN
Luleseged Wale,['2003'],[''],['DNS'],ETH
