,years_competed,finish_placements,finish_marks,country
Antonio WATSON,['2023'],['1'],['44.22'],JAM
Matthew HUDSON-SMITH,"['2023', '2022']","['2', '3']","['44.31', '44.66']",GBR
Quincy HALL,['2023'],['3'],['44.37'],USA
Vernon NORWOOD,['2023'],['4'],['44.39'],USA
Sean BAILEY,['2023'],['5'],['44.96'],JAM
Håvard Bentdal INGVALDSEN,['2023'],['6'],['45.08'],NOR
Wayde VAN NIEKERK,"['2023', '2022']","['7', '5']","['45.11', '44.97']",RSA
Kirani JAMES,"['2023', '2022']","['', '2']","['DQ', '44.48']",GRN
Michael NORMAN,['2022'],['1'],['44.29'],USA
Champion ALLISON,['2022'],['4'],['44.77'],USA
Bayapo NDORI,['2022'],['6'],['45.29'],BOT
Christopher TAYLOR,['2022'],['7'],['45.30'],JAM
Jonathan JONES,['2022'],['8'],['46.13'],BAR
Kirani James,['2011'],['1'],['44.60'],GRN
LaShawn Merritt,"['2011', '2009', '2007']","['2', '1', '2']","['44.63', '44.06', '43.96']",USA
Kevin Borlée,['2011'],['3'],['44.90'],BEL
Jermaine Gonzales,['2011'],['4'],['44.99'],JAM
Jonathan Borlée,['2011'],['5'],['45.07'],BEL
Rondell Bartholomew,['2011'],['6'],['45.45'],GRN
Tabarie Henry,"['2011', '2009']","['7', '4']","['45.55', '45.42']",ISV
Femi Ogunode,['2011'],['8'],['45.55'],QAT
Jeremy Wariner,"['2009', '2007', '2005']","['2', '1', '1']","['44.60', '43.45', '43.93']",USA
Renny Quow,['2009'],['3'],['45.02'],TTO
Chris Brown,"['2009', '2007', '2005']","['5', '4', '4']","['45.47', '44.45', '44.48']",BAH
David Gillick,['2009'],['6'],['45.53'],IRL
Michael Bingham,['2009'],['7'],['45.56'],GBR
Leslie Djhone,"['2009', '2007', '2003']","['8', '5', '4']","['45.90', '44.59', '44.83']",FRA
Angelo Taylor,['2007'],['3'],['44.32'],USA
Tyler Christopher,"['2007', '2005']","['6', '3']","['44.71', '44.44']",CAN
Johan Wissman,['2007'],['7'],['44.72'],SWE
Avard Moncur,"['2007', '2001']","['8', '1']","['45.40', '44.64']",BAH
Andrew Rock,['2005'],['2'],['44.35'],USA
Timothy Benjamin,['2005'],['5'],['44.93'],GBR
Brandon Simpson,['2005'],['6'],['45.01'],JAM
Darold Williamson,['2005'],['7'],['45.12'],USA
John Steffensen,['2005'],['8'],['45.46'],AUS
Tyree Washington,"['2003', '1997']","['1', '3']","['44.77', '44.39']",USA
Marc Raquil,['2003'],['2'],['44.79'],FRA
Michael Blackwood,['2003'],['3'],['44.80'],JAM
Eric Milazar,"['2003', '2001']","['5', '4']","['45.17', '45.13']",MRI
Alleyne Francique,"['2003', '2001']","['6', '6']","['45.48', '46.23']",GRN
Calvin Harrison,['2003'],[''],['DQ'],USA
Jerome Young,"['2003', '1999', '1997']","['', '', '5']","['DQ', 'DQ', '44.51']",USA
Ingo Schultz,['2001'],['2'],['44.87'],GER
Gregory Haughton,"['2001', '1999', '1995', '1993']","['3', '5', '3', '6']","['44.98', '45.07', '44.56', '45.63']",JAM
Hamdan Odha Al-Bishi,['2001'],['5'],['45.23'],KSA
Antonio Pettigrew,"['2001', '1999', '1997', '1991']","['', '', '', '1']","['DQ', 'DQ', 'DQ', '44.57']",USA
Robert Mackowiak,['2001'],[''],['DNF'],POL
Michael Johnson,"['1999', '1997', '1995', '1993']","['1', '1', '1', '1']","['43.18', '44.12', '43.39', '43.65']",USA
Sanderlei Parrela,['1999'],['2'],['44.29'],BRA
Alejandro Manuel Cárdenas,['1999'],['3'],['44.31'],MEX
Mark Richardson,"['1999', '1997', '1995']","['4', '4', '5']","['44.65', '44.47', '44.81']",GBR
Jamie Baulch,"['1999', '1997']","['6', '7']","['45.18', '45.22']",GBR
Davis Kamoga,['1997'],['2'],['44.37'],UGA
Iwan Thomas,['1997'],['6'],['44.52'],GBR
Harry Reynolds,"['1995', '1993']","['2', '2']","['44.22', '44.13']",USA
Samson Kitur,"['1995', '1993']","['4', '3']","['44.71', '44.54']",KEN
Darnell Hall,['1995'],['6'],['44.83'],USA
Roger Black,"['1995', '1991']","['7', '2']","['45.28', '44.62']",GBR
Sunday Bada,"['1995', '1993']","['8', '5']","['45.50', '45.11']",NGR
Quincy Watts,['1993'],['4'],['45.05'],USA
Simon Kemboi,['1993'],['7'],['45.65'],KEN
Kennedy Ochieng,['1993'],['8'],['45.68'],KEN
Danny Everett,['1991'],['3'],['44.63'],USA
Roberto Hernández,['1991'],['4'],['44.86'],CUB
Andrew Valmon,['1991'],['5'],['45.09'],USA
Ian Morris,['1991'],['6'],['45.12'],TTO
Susumu Takano,['1991'],['7'],['45.39'],JPN
Mark Garner,['1991'],['8'],['45.47'],AUS
