,years_competed,finish_placements,finish_marks,country
Pierce LEPAGE,"['2023', '2022']","['1', '2']","['8909', '8701']",CAN
Damian WARNER,"['2023', '2022']","['2', '']","['8804', 'DNF']",CAN
Lindon VICTOR,"['2023', '2022']","['3', '5']","['8756', '8474']",GRN
Karel TILGA,['2023'],['4'],['8681'],EST
Leo NEUGEBAUER,"['2023', '2022']","['5', '10']","['8645', '8182']",GER
Janek ÕIGLANE,"['2023', '2022']","['6', '']","['8524', 'DNF']",EST
Harrison WILLIAMS,['2023'],['7'],['8500'],USA
Markus ROOTH,['2023'],['8'],['8491'],NOR
Johannes ERM,"['2023', '2022']","['9', '9']","['8484', '8227']",EST
Sander SKOTHEIM,"['2023', '2022']","['10', '15']","['8263', '8062']",NOR
Manuel EITEL,['2023'],['11'],['8191'],GER
Daniel GOLUBOVIC,"['2023', '2022']","['12', '14']","['8141', '8071']",AUS
Rik TAAM,['2023'],['13'],['8098'],NED
Jose Fernando FERREIRA SANTANA,['2023'],['14'],['7935'],BRA
Yuma MARUYAMA,['2023'],['15'],['7844'],JPN
Ayden OWENS-DELERME,"['2023', '2022']","['', '4']","['DNF', '8532']",PUR
Kyle GARLAND,"['2023', '2022']","['', '11']","['DNF', '8133']",USA
Marcus NILSSON,"['2023', '2022']","['', '']","['DNF', 'DNF']",SWE
Zachery ZIEMEK,"['2023', '2022']","['', '3']","['DNF', '8676']",USA
Niklas KAUL,"['2023', '2022']","['', '6']","['DNF', '8434']",GER
Cedric DUBLER,"['2023', '2022']","['', '8']","['DNF', '8246']",AUS
Ashley MOLONEY,"['2023', '2022']","['', '']","['DNF', 'DNF']",AUS
Larbi BOURRADA,['2023'],[''],['DNF'],ALG
Kevin MAYER,"['2023', '2022']","['', '1']","['DNF', '8816']",FRA
Maicel UIBO,['2022'],['7'],['8425'],EST
Kai KAZMIREK,['2022'],['12'],['8113'],GER
Jiří SÝKORA,['2022'],['13'],['8107'],CZE
Steven BASTIEN,['2022'],['16'],['7939'],USA
Ken MULLINGS,['2022'],['17'],['7866'],BAH
Tim NOWAK,['2022'],['18'],['7008'],GER
Andy PRECIADO,['2022'],[''],['DNF'],ECU
Niklas Kaul,['2019'],['1'],['8691'],GER
Maicel Uibo,"['2019', '2017', '2015', '2013']","['2', '', '10', '19']","['8604', 'DNF', '8245', '7850']",EST
Damian Warner,"['2019', '2017', '2015', '2013', '2011']","['3', '5', '2', '3', '18']","['8529', '8309', '8695', '8512', '7832']",CAN
Ilya Shkurenyov,"['2019', '2017', '2015', '2013']","['4', '', '4', '8']","['8494', 'DNF', '8538', '8370']",ANA
Pierce LePage,['2019'],['5'],['8445'],CAN
Janek Õiglane,"['2019', '2017', '2015']","['6', '4', '19']","['8297', '8371', '7581']",EST
Pieter Braun,"['2019', '2017', '2015']","['7', '16', '12']","['8222', '7890', '8114']",NED
Solomon Simmons,['2019'],['8'],['8151'],USA
Thomas van der Plaetsen,"['2019', '2017', '2015', '2013', '2011']","['9', '', '14', '15', '13']","['8125', 'DNF', '8035', '8255', '8069']",BEL
Tim Nowak,['2019'],['10'],['8122'],GER
Cedric Dubler,"['2019', '2017']","['11', '18']","['8101', '7728']",AUS
Paweł Wiesiołek,"['2019', '2015']","['12', '17']","['8064', '7705']",POL
Vitaliy Zhuk,['2019'],['13'],['8058'],BLR
Harrison Williams,['2019'],['14'],['7892'],USA
Fredrik Samuelsson,"['2019', '2017']","['15', '']","['7860', 'DNF']",SWE
Keisuke Ushiro,"['2019', '2017', '2015', '2013', '2011']","['16', '20', '20', '22', '20']","['7545', '7498', '7532', '7751', '7639']",JPN
Kai Kazmirek,"['2019', '2017', '2015']","['17', '3', '6']","['7414', '8488', '8448']",GER
Martin Roe,"['2019', '2017']","['18', '12']","['6845', '8040']",NOR
Georni Jaramillo,['2019'],['19'],['6645'],VEN
Kevin Mayer,"['2019', '2017', '2013']","['', '1', '4']","['DNF', '8768', '8446']",FRA
Devon Williams,"['2019', '2017']","['', '10']","['DNF', '8088']",USA
Lindon Victor,"['2019', '2017']","['', '']","['DNF', 'DNF']",GRN
Basile Rolnin,['2019'],[''],['DNF'],FRA
Timothy Duckworth,['2019'],[''],['DNF'],GBR
Rico Freimuth,"['2017', '2015', '2013', '2011']","['2', '3', '7', '']","['8564', '8561', '8382', 'DNF']",GER
Oleksiy Kasyanov,"['2017', '2015', '2013', '2011', '2009']","['6', '9', '', '12', '3']","['8234', '8262', 'DNF', '8132', '8479']",UKR
Kurt Felix,"['2017', '2015', '2013']","['7', '8', '']","['8227', '8302', 'DNF']",GRN
Adam Sebastian Helcelet,"['2017', '2015']","['8', '11']","['8222', '8234']",CZE
Jorge Ureña,"['2017', '2015']","['9', '21']","['8125', '6858']",ESP
Ashley Bryant,"['2017', '2013']","['11', '']","['8049', 'DNS']",GBR
Karl-Robert Saluri,['2017'],['13'],['8025'],EST
Pau Tonnesen,"['2017', '2015']","['14', '18']","['8006', '7606']",ESP
Bastien Auzeil,"['2017', '2015']","['15', '13']","['7922', '8093']",FRA
Dominik Distelberger,['2017'],['17'],['7857'],AUT
Akihiko Nakamura,"['2017', '2015']","['19', '16']","['7646', '7745']",JPN
Larbi Bourrada,"['2017', '2015', '2011', '2009']","['', '5', '10', '12']","['DNF', '8461', '8158', '8171']",ALG
