,years_competed,finish_placements,finish_marks,country
Daniel STÅHL,"['2023', '2022']","['1', '4']","['71.46', '67.10']",SWE
Kristjan ČEH,"['2023', '2022']","['2', '1']","['70.02', '71.13']",SLO
Mykolas ALEKNA,"['2023', '2022']","['3', '2']","['68.85', '69.27']",LTU
Matthew DENNY,"['2023', '2022']","['4', '6']","['68.24', '66.47']",AUS
Fedrick DACRES,"['2023', '2022']","['5', '9']","['66.72', '64.85']",JAM
Andrius GUDŽIUS,"['2023', '2022']","['6', '3']","['66.16', '67.55']",LTU
Lukas WEIßHAIDINGER,"['2023', '2022']","['7', '10']","['65.54', '63.98']",AUT
Henrik JANSSEN,['2023'],['8'],['63.80'],GER
Brian WILLIAMS,['2023'],['9'],['63.62'],USA
Connor BELL,['2023'],['10'],['63.23'],NZL
Traves SMIKLE,"['2023', '2022']","['11', '12']","['61.90', '62.23']",JAM
Alex ROSE,"['2023', '2022']","['12', '8']","['61.69', '65.57']",SAM
Simon PETTERSSON,['2022'],['5'],['67.00'],SWE
Alin Alexandru FIRFIRICA,['2022'],['7'],['65.57'],ROU
Sam MATTIS,['2022'],['11'],['63.19'],USA
Robert Harting,"['2011', '2009', '2007']","['1', '1', '2']","['68.97', '69.43', '66.68']",GER
Gerd Kanter,"['2011', '2009', '2007', '2005']","['2', '3', '1', '2']","['66.95', '66.88', '68.94', '68.57']",EST
Ehsan Hadadi,"['2011', '2007']","['3', '7']","['66.08', '64.53']",IRI
Märt Israel,['2011'],['4'],['65.20'],EST
Benn Harradine,['2011'],['5'],['64.77'],AUS
Virgilijus Alekna,"['2011', '2009', '2007', '2005', '2003', '2001', '1999', '1997']","['6', '4', '4', '1', '1', '2', '4', '2']","['64.09', '66.36', '65.24', '70.17', '69.69', '69.40', '67.53', '66.70']",LTU
Vikas Gowda,['2011'],['7'],['64.05'],IND
Jorge Fernández,['2011'],['8'],['63.54'],CUB
Piotr Małachowski,"['2011', '2009', '2007']","['9', '2', '12']","['63.37', '69.15', '60.77']",POL
Jason Young,['2011'],['10'],['63.20'],USA
Mario Pestano,"['2011', '2009', '2007', '2005', '2003']","['11', '10', '10', '11', '8']","['63.00', '62.76', '62.70', '62.75', '64.39']",ESP
Brett Morse,['2011'],['12'],['62.69'],GBR
Casey Malone,['2009'],['5'],['66.06'],USA
Zoltán Kövágó,"['2009', '2007', '2005']","['6', '9', '10']","['65.17', '63.04', '62.94']",HUN
Bogdan Pishchalnikov,['2009'],['7'],['65.02'],RUS
Gerhard Mayer,['2009'],['8'],['63.17'],AUT
Omar Ahmed El Ghazaly,"['2009', '2007']","['9', '6']","['62.83', '64.58']",EGY
Jarred Rome,"['2009', '2005']","['11', '7']","['62.47', '64.22']",USA
Frantz Kruger,['2009'],['12'],['59.77'],FIN
Rutger Smith,['2007'],['3'],['66.42'],NED
Gábor Máté,['2007'],['5'],['64.71'],HUN
Aleksander Tammert,"['2007', '2005', '2003', '1999', '1997']","['8', '4', '7', '10', '12']","['64.33', '64.84', '64.50', '62.29', '59.44']",EST
Rashid Shafi Al-Dosari,['2007'],['11'],['62.60'],QAT
Michael Möllenbeck,"['2005', '2003', '2001', '1999']","['3', '5', '3', '6']","['65.95', '66.23', '67.61', '64.90']",GER
Ian Waltz,['2005'],['5'],['64.27'],USA
Frantz KRUGER,"['2005', '2003', '2001']","['6', '6', '8']","['64.23', '65.26', '65.27']",RSA
Jason Tunks,"['2005', '2003', '2001', '1997']","['8', '11', '9', '9']","['63.77', '62.21', '63.79', '62.30']",CAN
Lars Riedel,"['2005', '2003', '2001', '1999', '1997', '1995', '1993', '1991']","['9', '4', '1', '3', '1', '1', '1', '1']","['63.05', '66.28', '69.72', '68.09', '68.54', '68.76', '67.72', '66.20']",GER
Andrzej Krawczyk,['2005'],['12'],['62.71'],POL
Róbert Fazekas,"['2003', '1999']","['2', '11']","['69.01', '61.71']",HUN
Vasili Kaptyukh,"['2003', '2001', '1997', '1995', '1993', '1991']","['3', '6', '11', '3', '7', '']","['66.51', '66.25', '60.12', '65.88', '61.64', 'DNS']",BLR
Carl Brown,['2003'],['9'],['62.66'],USA
Dmitriy Shevchenko,"['2003', '2001', '1995', '1993', '1991']","['10', '4', '8', '2', '7']","['62.28', '67.57', '63.18', '66.90', '62.90']",RUS
Leonid Cherevko,['2003'],['12'],['61.90'],BLR
Adam Setliff,"['2001', '1997']","['5', '7']","['66.55', '63.44']",USA
Roland Varga,['2001'],['7'],['65.86'],HUN
Timo Tompuri,['2001'],['10'],['62.82'],FIN
Igor Primc,['2001'],['11'],['62.36'],SLO
Einar Kristian Tveitå,['2001'],['12'],['59.11'],NOR
Anthony Washington,"['1999', '1993']","['1', '10']","['69.08', '60.72']",USA
Jürgen Schult,"['1999', '1997', '1995', '1993', '1991']","['2', '3', '5', '3', '6']","['68.18', '66.14', '64.44', '66.12', '63.12']",GER
Vaclovas Kidykas,"['1999', '1993']","['5', '11']","['65.05', '58.62']",LTU
Vladimir Dubrovshchik,"['1999', '1997', '1995']","['7', '4', '2']","['64.00', '66.12', '65.98']",BLR
Aleksandr Borichevskiy,['1999'],['8'],['63.59'],RUS
Shaojie Li,['1999'],['9'],['63.22'],CHN
Andy Bloom,['1999'],[''],['NM'],USA
John Godina,"['1997', '1995']","['5', '10']","['65.40', '60.84']",USA
Andreas Seelig,['1997'],['6'],['64.48'],GER
Robert Weir,"['1997', '1995']","['8', '9']","['63.06', '63.14']",GBR
Vitaliy Sidorov,['1997'],['10'],['60.32'],UKR
Attila Horváth,"['1995', '1991']","['4', '3']","['65.72', '65.32']",HUN
Adewale Olukoju,"['1995', '1991']","['6', '11']","['63.66', '59.44']",NGR
Alexis Elizalde,['1995'],['7'],['63.28'],CUB
Mike Buncic,"['1995', '1993', '1991']","['11', '8', '5']","['60.24', '61.06', '64.20']",USA
Stefan Fernholm,['1995'],['12'],['59.52'],SWE
Costel Grasu,['1993'],['4'],['65.24'],ROU
Vladimir Zinchenko,['1993'],['5'],['62.02'],UKR
Nick Sweeney,['1993'],['6'],['61.66'],IRL
Luis Delís,['1993'],['9'],['60.76'],CUB
Romas Ubartas,['1993'],[''],['DQ'],LTU
Erik de Bruin,['1991'],['2'],['65.82'],NED
Wolfgang Schmidt,['1991'],['4'],['64.76'],GER
Roberto Moya,['1991'],['8'],['61.44'],CUB
Sergey Lyakhov,['1991'],['9'],['61.00'],URS
Nikolay Kolev,['1991'],['10'],['60.44'],BUL
