,years_competed,finish_placements,finish_marks,country
Ethan KATZBERG,['2023'],['1'],['81.25'],CAN
Wojciech NOWICKI,"['2023', '2022']","['2', '2']","['81.02', '81.03']",POL
Bence HALÁSZ,"['2023', '2022']","['3', '5']","['80.82', '80.15']",HUN
Paweł FAJDEK,"['2023', '2022', '2011']","['4', '1', '10']","['80.00', '81.98', '75.20']",POL
Mykhaylo KOKHAN,"['2023', '2022']","['5', '7']","['79.59', '78.83']",UKR
Daniel HAUGH,"['2023', '2022']","['6', '8']","['78.64', '78.10']",USA
Eivind HENRIKSEN,"['2023', '2022']","['7', '3']","['77.06', '80.87']",NOR
Rudy WINKLER,"['2023', '2022']","['8', '6']","['76.04', '78.99']",USA
Gabriel KEHR,['2023'],['9'],['75.99'],CHI
Michail ANASTASAKIS,['2023'],['10'],['75.49'],GRE
Adam KEENAN,['2023'],['11'],['74.49'],CAN
Diego DEL REAL,['2023'],['12'],['72.56'],MEX
Quentin BIGOT,['2022'],['4'],['80.24'],FRA
Christos FRANTZESKAKIS,['2022'],['9'],['77.04'],GRE
Humberto MANSILLA,['2022'],['10'],['73.91'],CHI
Nick MILLER,['2022'],['11'],['73.74'],GBR
Alex YOUNG,['2022'],['12'],['73.60'],USA
Koji Murofushi,"['2011', '2007', '2003', '2001', '1997']","['1', '6', '3', '2', '10']","['81.24', '80.46', '80.12', '82.92', '74.82']",JPN
Krisztián PARS,"['2011', '2009']","['2', '4']","['81.18', '77.45']",HUN
Primož Kozmus,"['2011', '2009', '2007', '2003']","['3', '1', '2', '5']","['79.39', '80.84', '82.29', '79.68']",SLO
Markus Esser,"['2011', '2009', '2007', '2005']","['4', '6', '8', '3']","['79.12', '76.27', '79.66', '79.16']",GER
Pavel Kryvitski,"['2011', '2009']","['5', '8']","['78.53', '76.00']",BLR
Kirill Ikonnikov,['2011'],['6'],['78.37'],RUS
Szymon Ziólkowski,"['2011', '2009', '2007', '2005', '2001']","['7', '2', '7', '2', '1']","['77.64', '79.30', '80.09', '79.35', '83.38']",POL
Nicola Vizzoni,"['2011', '2009', '2001', '1999']","['8', '9', '4', '7']","['77.04', '73.70', '80.13', '78.31']",ITA
Olli-Pekka Karjalainen,"['2011', '2007', '2005', '2001', '1999']","['9', '9', '4', '10', '11']","['76.60', '78.35', '78.77', '76.76', '75.59']",FIN
Dilshod NAZAROV,"['2011', '2009']","['', '11']","['DQ', '71.69']",TJK
Yury Shayunou,['2011'],[''],['NM'],BLR
Aleksey Zagornyi,['2009'],['3'],['78.09'],RUS
Sergey Litvinov,"['2009', '1993']","['5', '7']","['76.58', '78.56']",GER
András Haklits,['2009'],['7'],['76.26'],CRO
Libor Charfreitag,"['2009', '2007', '2005']","['10', '3', '8']","['72.63', '81.60', '76.05']",SVK
Igor Vinichenko,['2009'],[''],['NM'],RUS
Ivan Tikhon,"['2007', '2005', '2003', '1997']","['1', '', '1', '']","['83.63', 'DQ', '83.05', 'NM']",BLR
