,years_competed,finish_placements,finish_marks,country
Gianmarco TAMBERI,"['2023', '2022']","['1', '4']","['2.36', '2.33']",ITA
JuVaughn HARRISON,"['2023', '2022']","['2', '9']","['2.36', '2.27']",USA
Mutaz Essa BARSHIM,"['2023', '2022', '2011']","['3', '1', '7']","['2.33', '2.37', '2.32']",QAT
Luis Enrique ZAYAS,"['2023', '2022']","['4', '6']","['2.33', '2.27']",CUB
Tobias POTYE,['2023'],['5'],['2.33'],GER
Sanghyeok WOO,"['2023', '2022']","['6', '2']","['2.29', '2.35']",KOR
Shelby MCEWEN,"['2023', '2022']","['7', '5']","['2.29', '2.30']",USA
Ryoichi AKAMATSU,['2023'],['8'],['2.25'],JPN
Brandon STARC,['2023'],['8'],['2.25'],AUS
Norbert KOBIELSKI,['2023'],['10'],['2.25'],POL
Andrii PROTSENKO,['2023'],['11'],['2.25'],UKR
Marco FASSINOTTI,['2023'],['12'],['2.20'],ITA
Oleh DOROSHCHUK,['2023'],['13'],['2.20'],UKR
Andriy PROTSENKO,['2022'],['3'],['2.33'],UKR
Django LOVETT,['2022'],['6'],['2.27'],CAN
Tomohiro SHINNO,['2022'],['8'],['2.27'],JPN
Joel BADEN,['2022'],['10'],['2.27'],AUS
Yonathan KAPITOLNIK,['2022'],['11'],['2.24'],ISR
Mateusz PRZYBYLKO,['2022'],['12'],['2.24'],GER
Edgar RIVERA,['2022'],['13'],['2.19'],MEX
Jesse Williams,['2011'],['1'],['2.35'],USA
Aleksey Dmitrik,['2011'],['2'],['2.35'],RUS
Trevor Barry,['2011'],['3'],['2.32'],BAH
Jaroslav Bába,"['2011', '2009', '2007', '2005', '2003']","['4', '5', '8', '5', '11']","['2.32', '2.23', '2.26', '2.29', '2.25']",CZE
Ivan Ukhov,"['2011', '2009']","['5', '10']","['2.32', '2.23']",RUS
Dimitrios Chondrokoukis,['2011'],['5'],['2.32'],GRE
Aleksandr Shustov,['2011'],['8'],['2.29'],RUS
Raul Spank,"['2011', '2009']","['9', '3']","['2.29', '2.32']",GER
Guowei Zhang,['2011'],['10'],['2.25'],CHN
Donald THOMAS,['2011'],['11'],['2.20'],BAH
Dmytro Dem'yanyuk,['2011'],['12'],['2.20'],UKR
Darvin Edwards,['2011'],['12'],['2.20'],LCA
Yaroslav Rybakov,"['2009', '2007', '2005', '2003', '2001']","['1', '2', '2', '9', '2']","['2.32', '2.35', '2.29', '2.25', '2.33']",RUS
Kyriakos Ioannou,"['2009', '2007', '2005']","['2', '3', '10']","['2.32', '2.35', '2.25']",CYP
