,years_competed,finish_placements,finish_marks,country
Neeraj CHOPRA,"['2023', '2022']","['1', '2']","['88.17', '88.13']",IND
Arshad NADEEM,"['2023', '2022']","['2', '5']","['87.82', '86.16']",PAK
Jakub VADLEJCH,"['2023', '2022']","['3', '3']","['86.67', '88.09']",CZE
Julian WEBER,"['2023', '2022']","['4', '4']","['85.79', '86.86']",GER
Kishore JENA,['2023'],['5'],['84.77'],IND
D.P MANU,['2023'],['6'],['84.14'],IND
Oliver HELANDER,"['2023', '2022']","['7', '8']","['83.38', '82.24']",FIN
Edis MATUSEVIČIUS,['2023'],['8'],['82.29'],LTU
Dawid WEGNER,['2023'],['9'],['80.75'],POL
Ihab ABDELRAHMAN,"['2023', '2022']","['10', '12']","['80.64', '75.99']",EGY
Andrian MARDARE,"['2023', '2022']","['11', '7']","['79.66', '82.26']",MDA
Timothy HERMAN,['2023'],['12'],['74.56'],BEL
Anderson PETERS,['2022'],['1'],['90.54'],GRN
Lassi ETELÄTALO,['2022'],['6'],['82.70'],FIN
Roderick Genki DEAN,['2022'],['9'],['80.69'],JPN
Rohit YADAV,['2022'],['10'],['78.72'],IND
Curtis THOMPSON,['2022'],['11'],['78.39'],USA
Matthias de Zordo,['2011'],['1'],['86.27'],GER
Andreas Thorkildsen,"['2011', '2009', '2007', '2005', '2003']","['2', '1', '2', '2', '11']","['84.78', '89.59', '88.61', '86.18', '77.75']",NOR
Guillermo Martínez,"['2011', '2009', '2007', '2005']","['3', '2', '9', '10']","['84.30', '86.41', '82.03', '72.68']",CUB
Vítězslav Veselý,['2011'],['4'],['84.11'],CZE
Fatih Avan,['2011'],['5'],['83.34'],TUR
Roman Avramenko,['2011'],['6'],['82.51'],UKR
Jarrod Bannister,['2011'],['7'],['82.25'],AUS
Mark Frank,"['2011', '2009', '2005']","['8', '8', '8']","['81.81', '81.32', '77.56']",GER
Antti Ruuskanen,"['2011', '2009']","['9', '6']","['79.46', '81.87']",FIN
Dmitri Tarabin,['2011'],['10'],['79.06'],RUS
Stuart Farquhar,['2011'],['11'],['78.99'],NZL
Sergey Makarov,"['2011', '2005', '2003', '2001', '1999', '1997']","['12', '3', '1', '7', '9', '5']","['78.76', '83.54', '85.44', '83.64', '83.20', '86.32']",RUS
Yukifumi Murakami,['2009'],['3'],['82.97'],JPN
Vadims Vasilevskis,"['2009', '2007']","['4', '4']","['82.37', '85.19']",LAT
