,years_competed,finish_placements,finish_marks,country
Miltiadis TENTOGLOU,"['2023', '2022']","['1', '2']","['8.52', '8.32']",GRE
Wayne PINNOCK,"['2023', '2022']","['2', '9']","['8.50', '7.88']",JAM
Tajay GAYLE,['2023'],['3'],['8.27'],JAM
Carey MCLEOD,['2023'],['4'],['8.27'],JAM
Jianan WANG,"['2023', '2022']","['5', '1']","['8.05', '8.36']",CHN
Thobias MONTLER,"['2023', '2022']","['6', '11']","['8.00', '7.81']",SWE
Radek JUŠKA,['2023'],['7'],['7.98'],CZE
William WILLIAMS,['2023'],['8'],['7.94'],USA
Simon EHAMMER,"['2023', '2022']","['9', '3']","['7.87', '8.16']",SUI
Alejandro A. PARADA,['2023'],['10'],['7.86'],CUB
Jeswin ALDRIN,['2023'],['11'],['7.77'],IND
Marquis DENDY,"['2023', '2022']","['12', '6']","['7.62', '8.02']",USA
Maykel MASSÓ,['2022'],['4'],['8.15'],CUB
Steffin MCCARTER,['2022'],['5'],['8.04'],USA
. SREESHANKAR,['2022'],['7'],['7.96'],IND
Eusebio CÁCERES,['2022'],['8'],['7.93'],ESP
Yuki HASHIOKA,['2022'],['10'],['7.86'],JPN
Henry FRAYNE,['2022'],['12'],['7.80'],AUS
Dwight Phillips,"['2011', '2009', '2007', '2005', '2003', '2001']","['1', '1', '3', '1', '1', '8']","['8.45', '8.54', '8.30', '8.60', '8.32', '7.92']",USA
Mitchell Watt,"['2011', '2009']","['2', '3']","['8.33', '8.37']",AUS
Ngonidzashe Makusha,['2011'],['3'],['8.29'],ZIM
Yahya Berrabah,"['2011', '2009']","['4', '10']","['8.23', '7.83']",MAR
Luvo Manyonga,['2011'],['5'],['8.21'],RSA
Aleksandr Menkov,['2011'],['6'],['8.19'],RUS
Christian Reif,"['2011', '2007']","['7', '9']","['8.19', '7.95']",GER
Sebastian Bayer,['2011'],['8'],['8.17'],GER
Will Claye,['2011'],['9'],['8.10'],USA
Marcos Chuva,['2011'],['10'],['8.05'],POR
Christopher Tomlinson,"['2011', '2009', '2003']","['11', '8', '9']","['7.87', '8.06', '7.93']",GBR
Deokhyeon Kim,['2011'],[''],['DNS'],KOR
Godfrey Khotso Mokoena,"['2009', '2007', '2005']","['2', '5', '7']","['8.47', '8.19', '8.11']",RSA
Fabrice Lapierre,['2009'],['4'],['8.21'],AUS
Greg Rutherford,['2009'],['5'],['8.17'],GBR
Salim Sdiri,"['2009', '2005']","['6', '5']","['8.07', '8.21']",FRA
Gable Garenamotse,['2009'],['7'],['8.06'],BOT
Brian Johnson,['2009'],['9'],['7.86'],USA
Loúis Tsátoumas,"['2009', '2003']","['11', '12']","['7.59', '7.72']",GRE
Irving Saladino,"['2009', '2007', '2005']","['', '1', '6']","['NM', '8.57', '8.20']",PAN
Andrew Howe,['2007'],['2'],['8.47'],ITA
Olexiy Lukashevych,"['2007', '2001']","['4', '6']","['8.25', '8.10']",UKR
James Beckford,"['2007', '2005', '2003', '2001', '1997', '1995']","['6', '9', '2', '7', '4', '2']","['8.17', '8.02', '8.28', '8.08', '8.14', '8.30']",JAM
Ndiss Kaba Badji,['2007'],['7'],['8.01'],SEN
Ahmed Faiz Bin Marzouq,['2007'],['8'],['7.98'],KSA
Miguel Pate,"['2007', '2001']","['10', '4']","['7.94', '8.21']",USA
Hussein Taher Al-Sabee,"['2007', '2003', '2001', '1999']","['11', '5', '10', '12']","['7.84', '8.10', '7.90', '7.62']",KSA
Trevell Quinley,['2007'],[''],['NM'],USA
Ignisious Gaisah,"['2005', '2003']","['2', '4']","['8.34', '8.13']",GHA
Tommi Evilä,['2005'],['3'],['8.25'],FIN
Joan Lino Martínez,['2005'],['4'],['8.24'],ESP
Volodymyr Zyuskov,"['2005', '2003']","['8', '6']","['8.06', '8.08']",UKR
Vitaliy Shkurlatov,"['2005', '2001']","['10', '12']","['7.88', '7.61']",RUS
Issam Nima,['2005'],['11'],['7.73'],ALG
Nils Winter,['2005'],['12'],['7.72'],GER
Yago Lamela,"['2003', '1999']","['3', '2']","['8.22', '8.40']",ESP
Walter Davis,['2003'],['7'],['8.02'],USA
Osbourne Moxey,['2003'],['8'],['7.93'],BAH
Bogdan Tarus,['2003'],['10'],['7.84'],ROU
Luis Felipe Méliz,['2003'],['11'],['7.73'],CUB
Iván Pedroso,"['2001', '1999', '1997', '1995', '1993']","['1', '1', '1', '1', '']","['8.40', '8.56', '8.42', '8.70', 'NM']",CUB
Savanté Stringfellow,['2001'],['2'],['8.24'],USA
Carlos Calado,['2001'],['3'],['8.21'],POR
Kareem Streete-Thompson,"['2001', '1995']","['5', '14']","['8.10', '7.43']",CAY
Grzegorz Marciniszyn,['2001'],['9'],['7.92'],POL
Abdulrahman Faraj Al-Nubi,['2001'],['11'],['7.63'],QAT
Gregor Cankar,['1999'],['3'],['8.36'],SLO
Jai Taurima,['1999'],['4'],['8.35'],AUS
Shane Hair,['1999'],['5'],['8.24'],AUS
Le Huang,['1999'],['6'],['8.01'],CHN
Kevin Dilworth,"['1999', '1997']","['7', '8']","['8.00', '7.88']",USA
Younés Moudrik,['1999'],['8'],['7.99'],MAR
Emmanuel Bangué,['1999'],['9'],['7.94'],FRA
Ciaran McDonagh,['1999'],['10'],['7.90'],IRL
Erik Nijs,['1999'],['11'],['7.83'],BEL
Erick Walder,"['1997', '1993']","['2', '4']","['8.38', '8.05']",USA
Kirill Sosunov,['1997'],['3'],['8.18'],RUS
Nélson Carlos Ferreira,['1997'],['5'],['8.04'],BRA
Aleksandr Glavatskiy,"['1997', '1993']","['6', '7']","['8.03', '7.95']",BLR
Cheikh Tidiane Touré,['1997'],['7'],['7.98'],SEN
