,years_competed,finish_placements,finish_marks,country
Armand DUPLANTIS,"['2023', '2022']","['1', '1']","['6.10', '6.21']",SWE
Ernest John OBIENA,"['2023', '2022']","['2', '3']","['6.00', '5.94']",PHI
Kurtis MARSCHALL,['2023'],['3'],['5.95'],AUS
Christopher NILSEN,"['2023', '2022']","['3', '2']","['5.95', '5.94']",USA
Thibaut COLLET,['2023'],['5'],['5.90'],FRA
Bokai HUANG,['2023'],['6'],['5.75'],CHN
Ben BROEDERS,"['2023', '2022']","['7', '11']","['5.75', '5.70']",BEL
Zach MCWHORTER,['2023'],['8'],['5.75'],USA
Jie YAO,['2023'],['9'],['5.75'],CHN
Claudio Michel STECCHI,['2023'],['9'],['5.75'],ITA
Piotr LISEK,['2023'],['9'],['5.75'],POL
Robert SOBERA,['2023'],['12'],['5.55'],POL
Ersu ŞAŞMA,"['2023', '2022']","['12', '8']","['5.55', '5.80']",TUR
Thiago BRAZ,['2022'],['4'],['5.87'],BRA
Oleg ZERNIKEL,['2022'],['5'],['5.87'],GER
Renaud LAVILLENIE,['2022'],['5'],['5.87'],FRA
Bo Kanda LITA BAEHRE,['2022'],['7'],['5.87'],GER
Pål Haugen LILLEFOSSE,['2022'],['9'],['5.80'],NOR
Sondre GUTTORMSEN,['2022'],['10'],['5.70'],NOR
Menno VLOON,['2022'],[''],['NM'],NED
Paweł Wojciechowski,['2011'],['1'],['5.90'],POL
Lázaro Borges,['2011'],['2'],['5.90'],CUB
Renaud Lavillenie,"['2011', '2009']","['3', '3']","['5.85', '5.80']",FRA
Lukasz Michalski,['2011'],['4'],['5.85'],POL
Malte Mohr,"['2011', '2009']","['5', '13']","['5.85', '5.50']",GER
Konstantinos Filippidis,['2011'],['6'],['5.75'],GRE
Mateusz Didenkow,['2011'],['7'],['5.75'],POL
Fábio da Silva,"['2011', '2007']","['8', '10']","['5.65', '5.76']",BRA
Jan Kudlicka,['2011'],['9'],['5.65'],CZE
Steven Lewis,"['2011', '2009']","['9', '7']","['5.65', '5.65']",GBR
Jeremy Scott,['2011'],['9'],['5.65'],USA
Dmitry Starodubtsev,['2011'],['12'],['5.65'],RUS
Derek Miles,"['2011', '2009', '2003']","['13', '', '6']","['5.65', 'NM', '5.70']",USA
Daichi Sawano,"['2011', '2009', '2005']","['14', '10', '8']","['5.65', '5.50', '5.50']",JPN
Romain Mesnil,"['2011', '2009', '2007', '2001', '1999']","['', '2', '2', '5', '']","['NM', '5.85', '5.86', '5.85', 'NM']",FRA
Igor Bychkov,['2011'],[''],['NM'],ESP
Steven Hooker,"['2009', '2007']","['1', '9']","['5.90', '5.76']",AUS
Maksym Mazuryk,"['2009', '2007']","['4', '11']","['5.75', '5.76']",UKR
Aleksandr Gripich,['2009'],['5'],['5.75'],RUS
Damiel Dossévi,['2009'],['6'],['5.75'],FRA
Alexander Straub,['2009'],['7'],['5.65'],GER
Giuseppe Gibilisco,"['2009', '2005', '2003']","['7', '5', '1']","['5.65', '5.50', '5.90']",ITA
Viktor Chistiakov,"['2009', '2003', '2001']","['10', '11', '10']","['5.50', '5.60', '5.75']",RUS
Alhaji Jeng,['2009'],['12'],['5.50'],SWE
Kevin Rans,"['2009', '2005']","['', '10']","['DQ', '5.35']",BEL
Brad Walker,"['2007', '2005']","['1', '2']","['5.86', '5.75']",USA
Danny Ecker,"['2007', '2005', '2001', '1999']","['3', '', '11', '4']","['5.81', 'NM', '5.65', '5.70']",GER
Igor Pavlov,"['2007', '2005']","['4', '4']","['5.81', '5.65']",RUS
Björn Otto,['2007'],['5'],['5.81'],GER
Evgeniy Lukyanenko,['2007'],['6'],['5.81'],RUS
Aleksandr Averbukh,"['2007', '2001', '1999']","['7', '2', '3']","['5.81', '5.85', '5.80']",ISR
Tim Lobinger,"['2007', '2005', '2003', '1999', '1997', '1995']","['8', '5', '5', '6', '4', '11']","['5.81', '5.50', '5.80', '5.70', '5.80', '5.40']",GER
Denys Yurchenko,"['2007', '2003']","['12', '6']","['5.66', '5.70']",UKR
Rens Blom,"['2005', '2001']","['1', '']","['5.80', 'NM']",NED
Pavel Gerasimov,['2005'],['3'],['5.65'],RUS
Nick Hysong,"['2005', '2001', '1999']","['5', '3', '4']","['5.50', '5.85', '5.70']",USA
Patrik Kristiansson,"['2005', '2003']","['9', '3']","['5.50', '5.85']",SWE
Dmitri Markov,"['2005', '2003', '2001', '1999']","['', '4', '1', '2']","['NM', '5.85', '6.05', '5.90']",AUS
Okkert Brits,"['2003', '1999', '1995']","['2', '10', '4']","['5.85', '5.50', '5.80']",RSA
Timothy Mack,"['2003', '2001']","['6', '9']","['5.70', '5.75']",USA
Adam Kolasa,"['2003', '2001']","['9', '8']","['5.70', '5.75']",POL
Vadim Strogalev,"['2003', '1997']","['9', '7']","['5.70', '5.70']",RUS
Daichi SAWANO,['2003'],[''],['DNS'],JPN
Michael Stolle,"['2001', '1999']","['4', '7']","['5.85', '5.70']",GER
Christian Tamminga,['2001'],['6'],['5.75'],NED
Richard Spiegelburg,['2001'],['6'],['5.75'],GER
Martin Eriksson,"['2001', '1997']","['12', '9']","['5.50', '5.50']",SWE
Maksim Tarasov,"['1999', '1997', '1995', '1993', '1991']","['1', '2', '2', '3', '3']","['6.02', '5.96', '5.86', '5.80', '5.85']",RUS
Igor Potapovich,"['1999', '1995']","['7', '9']","['5.70', '5.60']",KAZ
Danny Krasnov,"['1999', '1997']","['9', '9']","['5.50', '5.50']",ISR
Jean Galfione,"['1999', '1997', '1995', '1993', '1991']","['', '', '3', '8', '10']","['NM', 'NM', '5.86', '5.70', '5.40']",FRA
Montxu Miranda,['1999'],[''],['DNS'],ESP
Sergey Bubka,"['1997', '1995', '1993', '1991']","['1', '1', '1', '1']","['6.01', '5.92', '6.00', '5.95']",UKR
