,years_competed,finish_placements,finish_marks,country
Ryan CROUSER,"['2023', '2022']","['1', '1']","['23.51', '22.94']",USA
Leonardo FABBRI,['2023'],['2'],['22.34'],ITA
Joe KOVACS,"['2023', '2022']","['3', '2']","['22.12', '22.89']",USA
Tom WALSH,"['2023', '2022']","['4', '4']","['22.05', '22.08']",NZL
Payton OTTERDAHL,['2023'],['5'],['21.86'],USA
Jacko GILL,"['2023', '2022']","['6', '7']","['21.76', '21.40']",NZL
Filip MIHALJEVIĆ,"['2023', '2022']","['7', '6']","['21.57', '21.82']",CRO
Darlan ROMANI,"['2023', '2022']","['8', '5']","['21.41', '21.92']",BRA
Armin SINANČEVIĆ,['2023'],['9'],['20.78'],SRB
Mostafa Amr HASSAN,['2023'],['10'],['20.17'],EGY
Zane WEIR,['2023'],['11'],['19.99'],ITA
Rajindra CAMPBELL,['2023'],[''],['NM'],JAM
Josh AWOTUNDE,['2022'],['3'],['22.29'],USA
Adrian PIPERI,['2022'],['8'],['20.93'],USA
Nick PONZIO,['2022'],['9'],['20.81'],ITA
Marcus THOMSEN,['2022'],['10'],['20.66'],NOR
Chukwuebuka Cornnell ENEKWECHI,['2022'],['11'],['20.65'],NGR
Uziel MUÑOZ,['2022'],['12'],['20.01'],MEX
David Storl,['2011'],['1'],['21.78'],GER
Dylan Armstrong,"['2011', '2007']","['2', '8']","['21.64', '20.23']",CAN
Christian Cantwell,"['2011', '2009', '2005']","['3', '1', '4']","['21.36', '22.03', '20.87']",USA
Reese Hoffa,"['2011', '2009', '2007']","['4', '4', '1']","['20.99', '21.28', '22.04']",USA
Marco Fortes,['2011'],['5'],['20.83'],POR
Ryan Whiting,['2011'],['6'],['20.75'],USA
Adam Nelson,"['2011', '2009', '2007', '2005', '2003', '2001']","['7', '5', '2', '1', '2', '2']","['20.29', '21.11', '21.61', '21.73', '21.26', '21.24']",USA
Tomasz Majewski,"['2011', '2009', '2007', '2005']","['8', '2', '4', '7']","['20.18', '21.91', '20.87', '20.23']",POL
Ralf Bartels,"['2011', '2009', '2007', '2005', '2003']","['9', '3', '6', '3', '5']","['20.14', '21.37', '20.45', '20.99', '20.50']",GER
Asmir Kolašinac,['2011'],['10'],['19.84'],SRB
Carlos Véliz,['2011'],['11'],['19.70'],CUB
Andrei Mikhnevich,"['2011', '2009', '2007', '2005', '2003', '2001']","['', '', '', '', '1', '']","['DQ', 'DQ', 'DQ', 'DQ', '21.69', 'DQ']",BLR
Miroslav Vodovnik,"['2009', '2007']","['6', '5']","['20.50', '20.67']",SLO
Hamza Alic,['2009'],['7'],['20.00'],BIH
Pavel Sofin,"['2009', '2007']","['8', '9']","['19.89', '19.62']",RUS
Carl Myerscough,"['2009', '2005']","['9', '10']","['18.42', '19.67']",GBR
Peter Sack,['2009'],[''],['NM'],GER
Pavel Lyzhyn,['2009'],[''],['DQ'],BLR
Rutger Smith,"['2007', '2005']","['3', '2']","['21.13', '21.29']",NED
Yury Bialou,['2007'],['7'],['20.34'],BLR
Dorian Scott,['2007'],[''],['NM'],JAM
Joachim Olsen,"['2007', '2005', '2003', '2001']","['', '5', '', '10']","['NM', '20.73', 'DNS', '20.38']",DEN
Ville Tiisanoja,"['2005', '2003', '2001', '1999']","['6', '7', '9', '8']","['20.57', '20.09', '20.45', '19.93']",FIN
Tepa Reinikainen,"['2005', '2003']","['8', '6']","['20.09', '20.45']",FIN
Mikuláš Konopka,['2005'],['9'],['19.72'],SVK
Yuriy Bilonoh,"['2005', '2003', '2001', '1999', '1997']","['', '3', '6', '5', '4']","['DQ', '21.10', '20.83', '20.60', '20.26']",UKR
Justin Anlezark,['2003'],['4'],['20.61'],AUS
John Godina,"['2003', '2001', '1999', '1997', '1995']","['8', '1', '7', '1', '1']","['19.84', '21.87', '20.35', '21.44', '21.47']",USA
Roman Virastyuk,"['2003', '1997', '1995']","['9', '6', '7']","['19.61', '20.12', '19.66']",UKR
Bradley Snyder,"['2003', '2001']","['10', '8']","['19.38', '20.63']",CAN
Kevin Toth,"['2003', '1999', '1997', '1993']","['', '', '7', '9']","['DQ', 'NM', '20.02', '19.52']",USA
Arsi Harju,"['2001', '1999']","['3', '']","['20.93', 'NM']",FIN
Manuel Martínez,"['2001', '1993']","['4', '11']","['20.91', '19.03']",ESP
Dragan Peric,"['2001', '1999', '1993', '1991']","['5', '6', '5', '7']","['20.91', '20.35', '19.95', '19.83']",SCG
Conny Karlsson,['2001'],['7'],['20.78'],FIN
Janus Robberts,['2001'],['11'],['20.18'],RSA
Cottrell J. Hunter,"['1999', '1997']","['1', '3']","['21.79', '20.33']",USA
Oliver-Sven Buder,"['1999', '1997', '1995', '1993', '1991']","['2', '2', '6', '7', '4']","['21.42', '21.24', '20.11', '19.74', '20.10']",GER
Oleksandr Bagach,"['1999', '1997', '1995', '1993']","['3', '', '4', '3']","['21.26', 'DQ', '20.38', '20.40']",UKR
Andy Bloom,['1999'],['4'],['20.95'],USA
Burger Lambrechts,"['1999', '1997']","['9', '10']","['19.29', '19.39']",RSA
Saulius Kleiza,"['1999', '1997']","['10', '11']","['19.01', '18.25']",LTU
Mika Halvari,"['1997', '1995']","['5', '2']","['20.13', '20.93']",FIN
Michael Mertens,['1997'],['8'],['19.91'],GER
Paolo Dal Soglio,"['1997', '1995']","['9', '9']","['19.77', '19.38']",ITA
Randy Barnes,"['1995', '1993']","['3', '2']","['20.41', '21.80']",USA
Brent Noon,['1995'],['5'],['20.13'],USA
Dzmitry Hancharuk,['1995'],['8'],['19.38'],BLR
Markus Koistinen,['1995'],['10'],['19.34'],FIN
Bilal Saad Mubarak,['1995'],['11'],['18.56'],QAT
Oleksandr Klymenko,"['1995', '1991']","['12', '3']","['18.26', '20.34']",UKR
Werner Günthör,"['1993', '1991']","['1', '1']","['21.97', '21.67']",SUI
Yevgeniy Palchikov,['1993'],['4'],['20.05'],RUS
Gert Weil,"['1993', '1991']","['6', '9']","['19.95', '19.30']",CHI
Jonny Reinhardt,['1993'],['8'],['19.53'],GER
Kent Larsson,"['1993', '1991']","['10', '6']","['19.12', '19.92']",SWE
Mike Stulce,['1993'],[''],['DQ'],USA
Lars Arvid Nilsen,['1991'],['2'],['20.75'],NOR
Sergey Nikolayev,['1991'],['5'],['19.98'],URS
Ron Backes,['1991'],['8'],['19.34'],USA
Paul Edwards,['1991'],['10'],['18.91'],GBR
Alessandro Andrei,['1991'],['11'],['18.73'],ITA
Georg Andersen,['1991'],[''],['DQ'],NOR
