,years_competed,finish_placements,finish_marks,country
Hugues Fabrice ZANGO,"['2023', '2022']","['1', '2']","['17.64', '17.55']",BUR
Lázaro MARTÍNEZ,"['2023', '2022']","['2', '']","['17.41', 'NM']",CUB
Cristian NÁPOLES,['2023'],['3'],['17.40'],CUB
Yaming ZHU,"['2023', '2022']","['4', '3']","['17.15', '17.31']",CHN
Yasser Mohammed TRIKI,['2023'],['5'],['17.01'],ALG
Yaoqing FANG,['2023'],['6'],['17.01'],CHN
Will CLAYE,"['2023', '2022', '2011']","['7', '11', '3']","['16.99', '16.54', '17.50']",USA
Emmanuel IHEMEJE,['2023'],['8'],['16.91'],ITA
Chris BENARD,['2023'],['9'],['16.62'],USA
Leodan TORREALBA,['2023'],['10'],['16.58'],VEN
Tiago PEREIRA,"['2023', '2022']","['11', '10']","['16.26', '16.69']",POR
Jaydon HIBBERT,['2023'],[''],['NM'],JAM
Pedro PICHARDO,['2022'],['1'],['17.95'],POR
Andrea DALLAVALLE,['2022'],['4'],['17.25'],ITA
Emanuel IHEMEJE,['2022'],['5'],['17.17'],ITA
Donald SCOTT,['2022'],['6'],['17.14'],USA
Almir DOS SANTOS,['2022'],['7'],['16.87'],BRA
Jean-Marc PONTVIANNE,['2022'],['8'],['16.86'],FRA
Eldhose PAUL,['2022'],['9'],['16.79'],IND
Christian TAYLOR,['2011'],['1'],['17.96'],USA
Phillips Idowu,"['2011', '2009', '2007', '2001']","['2', '1', '6', '9']","['17.77', '17.73', '17.09', '16.60']",GBR
Alexis COPELLO,"['2011', '2009']","['4', '3']","['17.47', '17.36']",CUB
Nelson ÉVORA,"['2011', '2009']","['5', '2']","['17.35', '17.55']",POR
Christian Olsson,"['2011', '2003', '2001']","['6', '1', '2']","['17.23', '17.72', '17.47']",SWE
Leevan Sands,"['2011', '2009', '2005', '2003']","['7', '4', '4', '3']","['17.21', '17.32', '17.39', '17.26']",BAH
Benjamin COMPAORÉ,['2011'],['8'],['17.17'],FRA
Henry FRAYNE,['2011'],['9'],['16.78'],AUS
Fabrizio Donato,['2011'],['10'],['16.77'],ITA
Yoandris Betanzos,"['2011', '2005', '2003']","['11', '2', '2']","['16.67', '17.42', '17.28']",CUB
Seref Osmanoglu,['2011'],['12'],['16.38'],UKR
Arnie David Girat,"['2009', '2007', '2005', '2003']","['5', '7', '8', '4']","['17.26', '16.91', '17.09', '17.23']",CUB
Yanxi Li,['2009'],['6'],['17.23'],CHN
Igor Spasovkhodskiy,"['2009', '2001']","['7', '3']","['16.91', '17.44']",RUS
Jadel Gregório,"['2009', '2007', '2005', '2003']","['8', '2', '6', '5']","['16.89', '17.59', '17.20', '17.11']",BRA
Momchil Karailiev,"['2009', '2005']","['9', '11']","['16.82', '16.70']",BUL
Nathan DOUGLAS,['2009'],['10'],['16.79'],GBR
Teddy Tamgho,['2009'],['11'],['16.79'],FRA
Dmitrij Valukevic,"['2009', '2005']","['12', '10']","['16.54', '16.79']",SVK
Nelson Évora,['2007'],['1'],['17.74'],POR
Walter Davis,"['2007', '2005', '2001']","['3', '1', '5']","['17.33', '17.57', '17.20']",USA
Osniel Tosca,['2007'],['4'],['17.32'],CUB
Aarik Wilson,['2007'],['5'],['17.31'],USA
Alexander Martínez,['2007'],['8'],['16.85'],SUI
Deokhyeon Kim,['2007'],['9'],['16.71'],KOR
Aleksandr Petrenko,['2007'],['10'],['16.66'],RUS
Minwei Zhong,['2007'],['11'],['16.66'],CHN
Dimítrios Tsiámis,['2007'],['12'],['16.59'],GRE
Marian Oprea,['2005'],['3'],['17.40'],ROU
Karl Taillepierre,['2005'],['5'],['17.27'],FRA
Kenta Bell,"['2005', '2003']","['7', '6']","['17.11', '17.08']",USA
Viktor Yastrebov,['2005'],['9'],['16.90'],UKR
Anders Møller,['2005'],['12'],['16.16'],DEN
