,years_competed,finish_placements,finish_marks,country
Danielle WILLIAMS,"['2023', '2022']","['1', '6']","['12.43', '12.44']",JAM
Jasmine CAMACHO-QUINN,"['2023', '2022']","['2', '3']","['12.44', '12.23']",PUR
Kendra HARRISON,"['2023', '2022']","['3', '']","['12.46', 'DQ']",USA
Devynne CHARLTON,"['2023', '2022']","['4', '7']","['12.52', '12.53']",BAH
Ackera NUGENT,['2023'],['5'],['12.61'],JAM
Tobi AMUSAN,"['2023', '2022']","['6', '1']","['12.62', '12.06']",NGR
Ditaji KAMBUNDJI,['2023'],['7'],['12.70'],SUI
Nia ALI,['2023'],['8'],['12.78'],USA
Britany ANDERSON,['2022'],['2'],['12.23'],JAM
Alia ARMSTRONG,['2022'],['4'],['12.31'],USA
Cindy SEMBER,['2022'],['5'],['12.38'],GBR
Sally Pearson,"['2011', '2009']","['1', '5']","['12.28', '12.70']",AUS
Danielle Carruthers,['2011'],['2'],['12.47'],USA
Dawn Harper-Nelson,"['2011', '2009']","['3', '7']","['12.47', '12.81']",USA
Tiffany Porter,['2011'],['4'],['12.63'],GBR
Tatyana Dektyareva,['2011'],['5'],['12.82'],RUS
Nikkita Holder,['2011'],['6'],['12.93'],CAN
Phylicia George,['2011'],['7'],['17.97'],CAN
Kellie Wells,['2011'],[''],['DNF'],USA
Brigitte Foster-Hylton,"['2009', '2005', '2003']","['1', '3', '2']","['12.51', '12.76', '12.57']",JAM
Priscilla Lopes-Schliep,['2009'],['2'],['12.54'],CAN
Delloreen Ennis-London,"['2009', '2007', '2005']","['3', '3', '2']","['12.55', '12.50', '12.76']",JAM
Derval O'Rourke,['2009'],['4'],['12.67'],IRL
Ginnie Crawford,"['2009', '2007']","['6', '5']","['12.78', '12.55']",USA
Perdita Felicien,"['2009', '2007', '2003']","['8', '2', '1']","['15.53', '12.49', '12.53']",CAN
Michelle Perry,"['2007', '2005']","['1', '1']","['12.46', '12.66']",USA
Susanna Kallur,['2007'],['4'],['12.51'],SWE
LoLo Jones,['2007'],['6'],['12.62'],USA
Vonette Dixon,"['2007', '2003', '2001']","['7', '9', '8']","['12.64', '12.87', '13.02']",JAM
Angela Whyte,['2007'],['8'],['12.66'],CAN
Kirsten Bolm,['2005'],['4'],['12.82'],GER
Mariya Koroteyeva,['2005'],['5'],['12.93'],RUS
Jenny Kallur,['2005'],['6'],['12.95'],SWE
Irina Shevchenko,['2005'],['7'],['12.97'],RUS
Joanna Hayes,['2005'],[''],['DQ'],USA
Miesha McKelvy-Jones,['2003'],['3'],['12.67'],USA
Glory Alozie,"['2003', '1999']","['4', '2']","['12.75', '12.44']",ESP
Aurelia Trywianska-Kollasch,['2003'],['5'],['12.75'],POL
Jenny Adams,"['2003', '2001']","['6', '5']","['12.77', '12.63']",USA
Patricia Girard,"['2003', '1999', '1997']","['7', '8', '']","['12.83', '12.97', 'DQ']",FRA
Lacena Golding-Clarke,['2003'],['8'],['12.87'],JAM
Anjanette Kirkland,['2001'],['1'],['12.42'],USA
Gail Devers,"['2001', '1999', '1995', '1993', '1991']","['2', '1', '1', '1', '2']","['12.54', '12.37', '12.68', '12.46', '12.63']",USA
Olga Shishigina,"['2001', '1999', '1995']","['3', '4', '2']","['12.58', '12.51', '12.80']",KAZ
Svetla Pishtikova,"['2001', '1999', '1997']","['4', '5', '2']","['12.58', '12.75', '12.58']",BUL
Dionne Rose-Henley,"['2001', '1999', '1997', '1995']","['6', '6', '5', '7']","['12.79', '12.80', '12.87', '12.98']",JAM
Linda Ferga-Khodadin,['2001'],['7'],['12.80'],FRA
Ludmila Engquist,"['1999', '1997', '1991']","['3', '1', '1']","['12.47', '12.50', '12.59']",SWE
Delloreen ENNIS,['1999'],['7'],['12.87'],JAM
Michelle Freeman,"['1997', '1993']","['3', '7']","['12.61', '12.90']",JAM
Brigita Bukovec,"['1997', '1995']","['4', '8']","['12.69', '13.02']",SLO
Keturah Anderson,['1997'],['6'],['12.88'],CAN
Svetlana Laukhova,['1997'],['7'],['12.98'],RUS
Yuliya Graudyn,['1995'],['3'],['12.85'],RUS
Tatyana Reshetnikova,['1995'],['4'],['12.87'],RUS
Julie Baumann,"['1995', '1991']","['5', '5']","['12.95', '12.88']",SUI
Gillian Russell-Love,['1995'],['6'],['12.96'],JAM
Marina Azyabina,['1993'],['2'],['12.60'],RUS
Lynda Tolbert-Goode,['1993'],['3'],['12.67'],USA
Aliuska López,"['1993', '1991']","['4', '7']","['12.73', '13.06']",CUB
Eva Sokolova,['1993'],['5'],['12.78'],RUS
Dawn Bowles,['1993'],['6'],['12.90'],USA
Cécile Cinélu-Aholu,['1993'],['8'],['12.95'],FRA
Natalya Grigoryeva,['1991'],['3'],['12.69'],URS
Monique Éwanjé-Épée Tourret,['1991'],['4'],['12.84'],FRA
Florence Colle,['1991'],['6'],['13.01'],FRA
Kristin Patzwahl,['1991'],['8'],['13.07'],GER
