,years_competed,finish_placements,finish_marks,country
Winfred Mutile YAVI,"['2023', '2022']","['1', '4']","['8:54.29', '9:01.31']",BRN
Beatrice CHEPKOECH,['2023'],['2'],['8:58.98'],KEN
Faith CHEROTICH,['2023'],['3'],['9:00.69'],KEN
Zerfe WONDEMAGEGN,['2023'],['4'],['9:05.51'],ETH
Alice FINOT,"['2023', '2022']","['5', '10']","['9:06.15', '9:21.40']",FRA
Maruša MIŠMAŠ ZRIMŠEK,"['2023', '2022']","['6', '14']","['9:06.37', '9:40.78']",SLO
Peruth CHEMUTAI,"['2023', '2022']","['7', '11']","['9:10.26', '9:21.93']",UGA
Luiza GEGA,"['2023', '2022']","['8', '5']","['9:10.27', '9:10.04']",ALB
Jackline CHEPKOECH,['2023'],['9'],['9:14.72'],KEN
Marwa BOUZAYANI,"['2023', '2022']","['10', '9']","['9:15.07', '9:20.92']",TUN
Parul CHAUDHARY,['2023'],['11'],['9:15.31'],IND
Lomi MULETA,['2023'],['12'],['9:15.36'],ETH
Sembo ALMAYEW,['2023'],['13'],['9:18.25'],ETH
Olivia GÜRTH,['2023'],['14'],['9:20.08'],GER
Courtney WAYMENT,"['2023', '2022']","['15', '12']","['9:25.90', '9:22.37']",USA
Norah JERUTO,['2022'],['1'],['8:53.02'],KAZ
Werkuha GETACHEW,['2022'],['2'],['8:54.61'],ETH
Mekides ABEBE,['2022'],['3'],['8:56.08'],ETH
Courtney FRERICHS,['2022'],['6'],['9:10.59'],USA
Aimee PRATT,['2022'],['7'],['9:15.64'],GBR
Emma COBURN,['2022'],['8'],['9:16.49'],USA
Celliphine Chepteek CHESPOL,['2022'],['13'],['9:27.34'],KEN
Gesa Felicitas KRAUSE,['2022'],['15'],['9:52.66'],GER
Habiba Ghribi,"['2011', '2009']","['1', '5']","['9:11.97', '9:12.52']",TUN
Milcah Chemos Cheywa,"['2011', '2009']","['2', '2']","['9:17.16', '9:08.57']",KEN
Mercy Wanjiku Njoroge,['2011'],['3'],['9:17.88'],KEN
Lydia Chebet Rotich,['2011'],['4'],['9:25.74'],KEN
Sofia Assefa,"['2011', '2009']","['5', '12']","['9:28.24', '9:31.29']",ETH
Gesa Felicitas Krause,['2011'],['7'],['9:32.74'],GER
Birtukan Fente,['2011'],['8'],['9:36.81'],ETH
Emma Coburn,['2011'],['9'],['9:51.40'],USA
Barbara Parker,['2011'],['10'],['9:56.66'],GBR
Birtukan Adamu,['2011'],['11'],['10:05.10'],ETH
Lyubov Kharlamova,['2011'],[''],['DQ'],RUS
Sara Moreira,"['2011', '2007']","['', '13']","['DQ', '10:00.40']",POR
Hanane Ouhaddou,"['2011', '2007']","['', '9']","['DQ', '9:37.87']",MAR
Binnaz Uslu,['2011'],[''],['DQ'],TUR
Yuliya Zaripova,"['2011', '2009']","['', '1']","['DQ', '9:08.39']",RUS
Gulnara Galkina,"['2009', '2007']","['3', '7']","['9:11.09', '9:30.24']",RUS
Jenny Simpson,['2009'],['4'],['9:12.50'],USA
Ruth Bisibori Nyangau,"['2009', '2007']","['6', '4']","['9:13.16', '9:25.25']",KEN
Gladys Jerotich Kipkemoi,['2009'],['7'],['9:14.62'],KEN
Antje Möldner-Schmidt,['2009'],['8'],['9:18.54'],GER
Zemzem Ahmed,['2009'],['9'],['9:22.64'],ETH
Jessica Augusto,['2009'],['10'],['9:25.25'],POR
Katarzyna Kowalska,['2009'],['11'],['9:30.37'],POL
Eva Arias,['2009'],['13'],['9:33.34'],ESP
Sophie Duarte,"['2009', '2007']","['14', '5']","['9:33.85', '9:27.51']",FRA
Marta Domínguez,['2009'],[''],['DQ'],ESP
Yekaterina Volkova,"['2007', '2005']","['1', '2']","['9:06.57', '9:20.49']",RUS
Tatyana Arkhipova,['2007'],['2'],['9:09.19'],RUS
Eunice Jepkorir Kertich,['2007'],['3'],['9:20.09'],KEN
Cristina Casandra,"['2007', '2005']","['6', '7']","['9:29.63', '9:39.52']",ROU
Rosa Morató,['2007'],['8'],['9:36.84'],ESP
Roisin McGettigan,['2007'],['10'],['9:39.80'],IRL
Veerle DeJaeghere,['2007'],['11'],['9:40.10'],BEL
Fionnuala McCormack,['2007'],['12'],['9:48.09'],IRL
Mardrea Hyman,"['2007', '2005']","['14', '8']","['10:16.24', '9:39.66']",JAM
Wioletta Frankiewicz,"['2007', '2005']","['', '14']","['DNF', '10:00.03']",POL
Docus Inzikuru,['2005'],['1'],['9:18.24'],UGA
Jeruto Kiptum Kiptubi,['2005'],['3'],['9:26.95'],KEN
Korene Hinds,['2005'],['4'],['9:33.30'],JAM
Salome Chepchumba,['2005'],['5'],['9:37.39'],KEN
Yelena Zadorozhnaya,['2005'],['6'],['9:37.91'],RUS
Elizabeth Jackson,['2005'],['9'],['9:46.72'],USA
Bouchra Chaabi,['2005'],['10'],['9:47.62'],MAR
Yamina Bouchaouante,['2005'],['11'],['9:48.48'],FRA
Minori Hayakari,['2005'],['12'],['9:48.97'],JPN
Inês Monteiro,['2005'],['13'],['9:50.35'],POR
Carrie Messner-Vickers,['2005'],['15'],['10:11.20'],USA
