,years_competed,finish_placements,finish_marks,country
Faith KIPYEGON,['2023'],['1'],['14:53.88'],KEN
Sifan HASSAN,"['2023', '2022']","['2', '6']","['14:54.11', '14:48.12']",NED
Beatrice CHEBET,"['2023', '2022']","['3', '2']","['14:54.33', '14:46.75']",KEN
Margaret Chelimo KIPKEMBOI,"['2023', '2022']","['4', '4']","['14:56.62', '14:47.71']",KEN
Ejgayehu TAYE,['2023'],['5'],['14:56.85'],ETH
Medina EISA,['2023'],['6'],['14:58.23'],ETH
Freweyni HAILU,['2023'],['7'],['14:58.31'],ETH
Nozomi TANAKA,"['2023', '2022']","['8', '12']","['14:58.99', '15:19.35']",JPN
Elise CRANNY,"['2023', '2022']","['9', '9']","['14:59.22', '14:59.99']",USA
Laura GALVÁN,['2023'],['10'],['14:59.32'],MEX
Lilian Kasait RENGERUK,['2023'],['10'],['14:59.32'],KEN
Maureen KOSTER,['2023'],['12'],['15:00.78'],NED
Gudaf TSEGAY,"['2023', '2022']","['13', '1']","['15:01.13', '14:46.29']",ETH
Alicia MONSON,['2023'],['14'],['15:04.08'],USA
Francine NIYOMUKUNZI,['2023'],['15'],['15:15.01'],BDI
Nadia BATTOCLETTI,['2023'],['16'],['15:27.86'],ITA
Dawit SEYAUM,['2022'],['3'],['14:47.36'],ETH
Letesenbet GIDEY,['2022'],['5'],['14:47.98'],ETH
Caroline Chepkoech KIPKIRUI,['2022'],['7'],['14:54.80'],KAZ
Karoline Bjerkeli GRØVDAL,['2022'],['8'],['14:57.62'],NOR
Gloria KITE,['2022'],['10'],['15:01.22'],KEN
Eilish MCCOLGAN,['2022'],['11'],['15:03.03'],GBR
Jessica JUDD,['2022'],['13'],['15:19.88'],GBR
Emily INFELD,['2022'],['14'],['15:29.03'],USA
Karissa SCHWEIZER,['2022'],[''],['DNF'],USA
Vivian Jepkemoi Cheruiyot,"['2011', '2009', '2007']","['1', '1', '2']","['14:55.36', '14:57.97', '14:58.50']",KEN
Sylvia Jebiwott Kibet,"['2011', '2009', '2007']","['2', '2', '4']","['14:56.21', '14:58.33', '14:59.26']",KEN
Meseret Defar,"['2011', '2009', '2007', '2005']","['3', '3', '1', '2']","['14:56.94', '14:58.41', '14:57.91', '14:39.54']",ETH
Sentayehu Ejigu,"['2011', '2009']","['4', '4']","['14:59.99', '15:03.38']",ETH
Mercy Cherono,['2011'],['5'],['15:00.23'],KEN
Linet Chepkwemoi Masai,['2011'],['6'],['15:01.01'],KEN
Lauren Fleshman,['2011'],['7'],['15:09.25'],USA
Genzebe Dibaba,"['2011', '2009']","['8', '8']","['15:09.35', '15:11.12']",ETH
Tejitu Daba,['2011'],['9'],['15:14.62'],BRN
Yelena Zadorozhnaya,"['2011', '2003', '2001']","['10', '4', '6']","['15:15.48', '14:52.36', '15:16.15']",RUS
Zakia Mrisho,"['2011', '2009', '2005']","['11', '14', '6']","['15:18.81', '15:31.73', '14:43.87']",TAN
Helen Clitheroe,['2011'],['12'],['15:21.22'],GBR
Hitomi Niiya,['2011'],['13'],['15:41.67'],JPN
Amy Cragg,['2011'],['14'],['15:56.06'],USA
Elizaveta Grechishnikova,['2011'],[''],['DQ'],RUS
Meselech Melkamu,"['2009', '2007', '2005']","['5', '5', '4']","['15:03.72', '15:01.42', '14:43.47']",ETH
Iness Chepkesis Chenonge,['2009'],['6'],['15:06.06'],KEN
Silvia Weissteiner,"['2009', '2007']","['7', '11']","['15:09.74', '15:11.81']",ITA
Jennifer Rhines,"['2009', '2007']","['9', '6']","['15:11.63', '15:03.09']",USA
Sara Moreira,['2009'],['10'],['15:12.22'],POR
Yuriko Kobayashi,['2009'],['11'],['15:12.44'],JPN
Yurika Nakamura,['2009'],['12'],['15:13.01'],JPN
Krisztina Papp,['2009'],['13'],['15:20.36'],HUN
Alemitu Bekele,['2009'],[''],['DQ'],TUR
Priscah Jepleting Cherono,"['2007', '2005']","['3', '7']","['14:59.21', '14:44.00']",KEN
Shalane Flanagan,['2007'],['7'],['15:03.86'],USA
Joanne Pavey,"['2007', '2005', '2001']","['8', '15', '11']","['15:04.77', '15:14.37', '15:28.41']",GBR
Gelete Burka,['2007'],['9'],['15:07.46'],ETH
Mariya Konovalova,"['2007', '1999', '1995']","['10', '7', '6']","['15:09.71', '14:58.60', '15:01.23']",RUS
Volha Krautsova,"['2007', '2005']","['12', '10']","['15:11.82', '14:47.75']",BLR
Kayoko Fukushi,"['2007', '2005']","['13', '12']","['15:19.40', '14:59.92']",JPN
Jessica Augusto,['2007'],['14'],['15:24.93'],POR
Elvan Abeylegesse,"['2007', '2003']","['', '5']","['DQ', '14:53.56']",TUR
Tirunesh Dibaba,"['2005', '2003']","['1', '1']","['14:38.59', '14:51.72']",ETH
Ejegayehu Dibaba,['2005'],['3'],['14:42.47'],ETH
Huina Xing,['2005'],['5'],['14:43.64'],CHN
Isabella Bosibori Ochichi,"['2005', '2003']","['8', '6']","['14:45.14', '14:54.08']",KEN
Liliya Shobukhova,['2005'],['9'],['14:47.07'],RUS
Yingjie Sun,"['2005', '2003']","['11', '9']","['14:51.19', '14:57.01']",CHN
Susanne Wigene,['2005'],['13'],['15:00.23'],NOR
Marta Domínguez,"['2005', '2003', '2001', '1999']","['14', '2', '2', '9']","['15:02.30', '14:52.26', '15:06.59', '15:16.93']",ESP
Edith Masai,"['2003', '2001']","['3', '7']","['14:52.30', '15:17.67']",KEN
Gulnara Galkina,['2003'],['7'],['14:54.38'],RUS
Courtney Babcock,['2003'],['8'],['14:54.98'],CAN
Berhane Adere,['2003'],['10'],['14:58.07'],ETH
Gabriela Szabo,"['2003', '2001', '1999', '1997', '1995']","['11', '8', '1', '1', '4']","['14:59.36', '15:19.55', '14:41.82', '14:57.68', '14:56.57']",ROU
Émilie Mondor,['2003'],['12'],['15:02.36'],CAN
Zahra Ouaziz,"['2003', '1999', '1995']","['13', '2', '3']","['15:16.73', '14:43.15', '14:53.77']",MAR
Zhor El Kamch,['2003'],['14'],['15:29.72'],MAR
Sonia O'Sullivan,"['2003', '1995']","['15', '1']","['15:36.62', '14:46.47']",IRL
Olga Yegorova,['2001'],['1'],['15:03.39'],RUS
Ayelech Worku,"['2001', '1999', '1997']","['3', '3', '12']","['15:10.17', '14:44.22', '15:28.07']",ETH
Yanmei Dong,['2001'],['4'],['15:10.73'],CHN
Irina Mikitenko,"['2001', '1999']","['5', '4']","['15:13.93', '14:50.17']",GER
Rose Cheruiyot,"['2001', '1995']","['9', '7']","['15:23.18', '15:02.45']",KEN
Tatyana Tomashova,['2001'],['10'],['15:23.83'],RUS
Benita Willis,['2001'],['12'],['15:36.75'],AUS
Merima Denboba,"['2001', '1997']","['13', '10']","['15:41.09', '15:27.76']",ETH
Fatima Yvelain,['2001'],['14'],['15:53.52'],FRA
Teresa Recio,['2001'],['15'],['15:57.32'],ESP
Ebru Kavaklioglu,['1999'],['5'],['14:51.69'],TUR
Julia Vaquero,['1999'],['6'],['14:56.00'],ESP
Yamna Oubouhou,['1999'],['8'],['15:03.47'],FRA
Megumi Oshima,['1999'],['10'],['15:17.92'],JPN
Cheri Kenah,['1999'],['11'],['15:20.12'],USA
Susanne Pumper,['1999'],['12'],['15:24.38'],AUT
Getenesh Urge,['1999'],['13'],['15:29.60'],ETH
Katalin Szentgyörgyi,['1999'],['14'],['15:37.00'],HUN
Michiko Shimizu,"['1999', '1995']","['15', '12']","['15:46.28', '15:45.30']",JPN
Roberta Brunet,['1997'],['2'],['14:58.29'],ITA
Fernanda Ribeiro,"['1997', '1995']","['3', '2']","['14:58.85', '14:48.54']",POR
Paula Radcliffe,"['1997', '1995']","['4', '5']","['15:01.74', '14:57.02']",GBR
Lydia Cheromei,['1997'],['5'],['15:07.88'],KEN
Jianying Liu,['1997'],['6'],['15:10.64'],CHN
Libbie Johnson-Hickman,['1997'],['7'],['15:11.15'],USA
Harumi Hiroyama-Suzuki,['1997'],['8'],['15:21.19'],JPN
Li Wei,['1997'],['9'],['15:24.04'],CHN
Kate Anderson-Richardson,['1997'],['11'],['15:27.78'],AUS
Naoko Takahashi,['1997'],['13'],['15:32.83'],JPN
Gunhild Halle-Haugen,['1997'],['14'],['15:37.85'],NOR
Yuko Kawakami,['1997'],['15'],['15:45.48'],JPN
Gwen Griffiths-van Lingen,['1995'],['8'],['15:08.05'],RSA
Sara Wedlund,['1995'],['9'],['15:08.36'],SWE
Elena Fidatov,['1995'],['10'],['15:12.58'],ROU
Sally Barsosio,['1995'],['11'],['15:39.57'],KEN
Florence Barsosio,['1995'],['13'],['15:56.96'],KEN
Gina Procaccio,['1995'],[''],['DNF'],USA
Olga Churbanova,['1995'],[''],['DNF'],RUS
