,years_competed,finish_placements,finish_marks,country
Laulauga TAUSAGA,"['2023', '2022']","['1', '12']","['69.49', '56.47']",USA
Valarie ALLMAN,"['2023', '2022']","['2', '3']","['69.23', '68.30']",USA
Bin FENG,"['2023', '2022']","['3', '1']","['68.20', '69.12']",CHN
Jorinde VAN KLINKEN,"['2023', '2022']","['4', '4']","['67.20', '64.97']",NED
Sandra PERKOVIĆ,"['2023', '2022']","['5', '2']","['66.57', '68.45']",CRO
Kristin PUDENZ,"['2023', '2022']","['6', '11']","['65.96', '59.97']",GER
Shanice CRAFT,"['2023', '2022']","['7', '9']","['65.47', '62.35']",GER
Liliana CÁ,"['2023', '2022']","['8', '6']","['63.59', '63.99']",POR
Melina ROBERT-MICHON,"['2023', '2022']","['9', '10']","['63.46', '60.36']",FRA
Claudine VITA,"['2023', '2022']","['10', '5']","['63.19', '64.24']",GER
Silinda Oneisi MORALES,['2023'],['11'],['62.31'],CUB
Daisy OSAKUE,['2023'],['12'],['61.13'],ITA
Yaimé PÉREZ,['2022'],['7'],['63.07'],CUB
Marija TOLJ,['2022'],['8'],['63.07'],CRO
Yanfeng Li,['2011'],['1'],['66.52'],CHN
Nadine Müller,"['2011', '2009']","['2', '6']","['65.97', '62.04']",GER
Yarelys Barrios,"['2011', '2009', '2007']","['3', '2', '2']","['65.73', '65.31', '63.90']",CUB
Zaneta Glanc,"['2011', '2009']","['4', '4']","['63.91', '62.66']",POL
Stephanie Brown Trafton,"['2011', '2009']","['5', '12']","['63.85', '58.53']",USA
Jian Tan,['2011'],['6'],['62.96'],CHN
Dragana Tomašević,['2011'],['7'],['62.48'],SRB
Nicoleta Grasu,"['2011', '2009', '2007', '2005', '2001', '1999', '1997', '1993']","['8', '3', '3', '5', '2', '3', '10', '7']","['62.08', '65.20', '63.40', '62.05', '66.24', '65.35', '60.14', '62.10']",ROU
Denia Caballero,['2011'],['9'],['60.73'],CUB
Dani Stevens,"['2011', '2009']","['10', '1']","['59.14', '65.44']",AUS
Zinaida Sendriute,['2011'],['11'],['57.30'],LTU
Darya Pishchalnikova,"['2011', '2007']","['', '']","['DQ', 'DQ']",RUS
Aimin Song,"['2009', '2005', '2003']","['5', '10', '7']","['62.42', '57.90', '63.84']",CHN
Natalya Sadova,"['2009', '2005', '2003', '2001', '1999', '1997', '1995']","['7', '2', '6', '', '4', '3', '5']","['61.78', '64.33', '65.22', 'DQ', '64.98', '65.14', '62.60']",RUS
Mélina Robert-Michon,"['2009', '2007', '2003']","['8', '11', '11']","['60.92', '57.81', '58.52']",FRA
Sandra Perković,['2009'],['9'],['60.77'],CRO
Aretha Thurmond,['2009'],['10'],['59.89'],USA
