,years_competed,finish_placements,finish_marks,country
Camryn ROGERS,"['2023', '2022']","['1', '2']","['77.22', '75.52']",CAN
Janee' KASSANAVOID,"['2023', '2022']","['2', '3']","['76.36', '74.86']",USA
DeAnna PRICE,['2023'],['3'],['75.41'],USA
Hanna SKYDAN,"['2023', '2022']","['4', '11']","['74.18', '69.01']",AZE
Silja KOSONEN,"['2023', '2022']","['5', '7']","['73.89', '70.81']",FIN
Sara FANTINI,"['2023', '2022']","['6', '4']","['73.85', '73.18']",ITA
Bianca Florentina GHELBER,"['2023', '2022']","['7', '6']","['73.70', '72.26']",ROU
Zheng WANG,['2023'],['8'],['72.14'],CHN
Katrine Koch JACOBSEN,['2023'],['9'],['71.33'],DEN
Jie ZHAO,['2023'],['10'],['70.29'],CHN
Anna PURCHASE,['2023'],['11'],['70.29'],GBR
Malwina KOPRON,['2023'],[''],['NM'],POL
Brooke ANDERSEN,['2022'],['1'],['78.96'],USA
Jillian WEIR,['2022'],['5'],['72.41'],CAN
Na LUO,['2022'],['8'],['70.42'],CHN
Grete AHLBERG,['2022'],['9'],['70.11'],SWE
Krista TERVO,['2022'],['10'],['69.04'],FIN
Annette Nneka ECHIKUNWOKE,['2022'],['12'],['68.12'],USA
Tatyana Beloborodova,"['2011', '2009', '2005']","['1', '6', '2']","['77.13', '72.22', '72.46']",RUS
Betty Heidler,"['2011', '2009', '2007', '2003']","['2', '2', '1', '11']","['76.06', '77.12', '74.76', '65.81']",GER
Wenxiu Zhang,"['2011', '2009', '2007', '2005', '2001']","['3', '5', '3', '4', '11']","['75.03', '72.57', '74.39', '69.82', '61.61']",CHN
Yipsi Moreno,"['2011', '2007', '2005', '2003', '2001', '1999']","['4', '2', '1', '1', '1', '18']","['74.48', '74.74', '73.08', '73.33', '70.65', '58.68']",CUB
Anita Włodarczyk,"['2011', '2009']","['5', '1']","['73.56', '77.96']",POL
Bianca Florentina Ghelber,['2011'],['6'],['72.04'],ROU
Kathrin Klaas,"['2011', '2009']","['7', '4']","['71.89', '74.23']",GER
Silvia Salis,['2011'],['8'],['69.88'],ITA
Jennifer Dahlgren,['2011'],['9'],['69.72'],ARG
Jessica Cosby Toruga,"['2011', '2009']","['10', '7']","['68.91', '72.17']",USA
Stéphanie Falzon,"['2011', '2009']","['11', '9']","['66.57', '71.40']",FRA
Zalina Petrivskaya,['2011'],[''],['DQ'],MDA
Martina Hrašnová,['2009'],['3'],['74.79'],SVK
Clarissa Claretti,"['2009', '2007', '2005']","['8', '7', '8']","['71.56', '70.74', '64.76']",ITA
Sultana Frizell,['2009'],['10'],['70.88'],CAN
Amber Campbell,['2009'],['11'],['70.08'],USA
Manuela Montebrun,"['2009', '2007', '2005', '2003', '2001', '1999']","['12', '8', '3', '3', '5', '12']","['69.92', '70.36', '71.41', '70.92', '67.78', '62.44']",FRA
Kamila Skolimowska,"['2007', '2005', '2003', '2001', '1999']","['4', '6', '8', '4', '21']","['73.75', '68.96', '68.39', '68.05', '50.38']",POL
Yelena Konevtseva,['2007'],['5'],['72.45'],RUS
Eileen O'Keeffe,['2007'],['6'],['70.93'],IRL
Arasay Thondike,['2007'],['9'],['70.20'],CUB
Ivana Brkljacic,"['2007', '2001']","['10', '8']","['68.16', '65.43']",CRO
Yunaika Crawford,['2007'],['11'],['67.56'],CUB
Gulfiya Agafonova,['2007'],[''],['DQ'],RUS
Iryna Syekachova,['2005'],['5'],['69.65'],UKR
Candice Scott,"['2005', '2003']","['7', '9']","['66.55', '67.73']",TTO
Erin Gilreath,['2005'],['9'],['64.54'],USA
Mihaela Melinte,"['2005', '2003', '1999']","['10', '6', '1']","['64.31', '68.69', '75.20']",ROU
Susanne Keil,"['2005', '2003']","['11', '5']","['63.25', '69.43']",GER
Olga Kuzenkova,"['2005', '2003', '2001', '1999']","['', '2', '2', '2']","['DQ', '71.71', '70.61', '72.56']",RUS
Yuan Gu,['2003'],['4'],['70.77'],CHN
Anna Mahon,['2003'],['7'],['68.45'],USA
Lorraine Shaw,"['2003', '2001', '1999']","['10', '6', '14']","['65.95', '65.89', '62.09']",GBR
Melissa Myerscough,"['2003', '2001']","['', '12']","['DQ', '61.57']",USA
Bronwyn Eagles,['2001'],['3'],['68.87'],AUS
Florence Ezeh,"['2001', '1999']","['7', '16']","['65.88', '60.74']",FRA
Kirsten Klose,"['2001', '1999']","['9', '8']","['64.39', '64.03']",GER
Volha Tsandzer,['2001'],['10'],['64.10'],BLR
Lisa Misipeka,['1999'],['3'],['66.06'],ASA
Katalin Divós,['1999'],['4'],['65.86'],HUN
Deborah Sosimenko,['1999'],['5'],['65.52'],AUS
Lyudmila Gubkina,['1999'],['6'],['65.44'],BLR
Simone Mathes,['1999'],['7'],['64.93'],GER
Sviatlana Sudak-Torun,['1999'],['9'],['63.99'],BLR
Dawn Ellerbe,['1999'],['10'],['63.55'],USA
Tatyana Konstantinova,['1999'],['11'],['62.52'],RUS
Cécile Lignot-Maubert,['1999'],['13'],['62.14'],FRA
Manuela Priemer,['1999'],['15'],['61.99'],GER
Amy Palmer,['1999'],['17'],['59.80'],USA
María Dolores Pedrares,['1999'],['19'],['57.66'],ESP
Aneliya Kumanova,['1999'],['20'],['53.20'],BUL
