,years_competed,finish_placements,finish_marks,country
Katarina JOHNSON-THOMPSON,"['2023', '2022']","['1', '8']","['6740', '6222']",GBR
Anna HALL,"['2023', '2022']","['2', '3']","['6720', '6755']",USA
Anouk VETTER,"['2023', '2022']","['3', '2']","['6501', '6867']",NED
Xénia KRIZSÁN,"['2023', '2022']","['4', '14']","['6479', '3661']",HUN
Emma OOSTERWEGEL,"['2023', '2022']","['5', '7']","['6464', '6440']",NED
Noor VIDTS,"['2023', '2022']","['6', '5']","['6450', '6559']",BEL
Sophie WEIßENBERG,"['2023', '2022']","['7', '13']","['6438', '3692']",GER
Chari HAWKINS,['2023'],['8'],['6366'],USA
Saga VANNINEN,['2023'],['9'],['6289'],FIN
Rita NEMES,['2023'],['10'],['6232'],HUN
Sofie DOKTER,['2023'],['11'],['6192'],NED
Auriana LAZRAQ-KHLASS,['2023'],['12'],['6179'],FRA
Kate O'CONNOR,['2023'],['13'],['6145'],IRL
Vanessa GRIMM,['2023'],['14'],['6088'],GER
Léonie CAMBOURS,['2023'],['15'],['5939'],FRA
Ekaterina VORONINA,['2023'],['16'],['5922'],UZB
Sarah LAGGER,['2023'],['17'],['5910'],AUT
Esther TURPIN,['2023'],['18'],['5256'],FRA
Martha Valeria ARAUJO SINISTERRA,['2023'],[''],['DNF'],COL
Paulina LIGARSKA,"['2023', '2022']","['', '10']","['DNF', '6093']",POL
Taliyah BROOKS,['2023'],[''],['DNF'],USA
Carolin SCHÄFER,['2023'],[''],['DNF'],GER
Annik KÄLIN,"['2023', '2022']","['', '6']","['DNF', '6464']",SUI
Nafissatou THIAM,['2022'],['1'],['6947'],BEL
Adrianna SUŁEK,['2022'],['4'],['6672'],POL
Claudia CONTE,['2022'],['9'],['6194'],ESP
Ashtin ZAMZOW-MAHLER,['2022'],['11'],['5974'],USA
Michelle ATHERLEY,['2022'],['12'],['5959'],USA
Kendell WILLIAMS,['2022'],[''],['DNF'],USA
Odile AHOUANWANOU,['2022'],[''],['DNS'],BEN
Katarina Johnson-Thompson,"['2019', '2017', '2015', '2013']","['1', '5', '28', '5']","['6981', '6558', '5039', '6449']",GBR
Nafissatou Thiam,"['2019', '2017', '2015', '2013']","['2', '1', '11', '14']","['6677', '6784', '6298', '6070']",BEL
Verena Preiner,"['2019', '2017']","['3', '']","['6560', 'DNF']",AUT
Erica Bougard,"['2019', '2017', '2015', '2013']","['4', '18', '', '24']","['6470', '6036', 'DNF', '5829']",USA
Kendell Williams,"['2019', '2017']","['5', '12']","['6415', '6220']",USA
Nadine Broersen,"['2019', '2017', '2015', '2013']","['6', '', '4', '10']","['6392', 'DNF', '6491', '6224']",NED
Emma Oosterwegel,['2019'],['7'],['6250'],NED
Odile Ahouanwanou,"['2019', '2017']","['8', '19']","['6210', '6020']",BEN
Géraldine Ruckstuhl,"['2019', '2017']","['9', '11']","['6159', '6230']",SUI
Ekaterina Voronina,"['2019', '2015']","['10', '24']","['6099', '5701']",UZB
Hanne Maudens,"['2019', '2017']","['11', '23']","['6088', '5749']",BEL
Chari Hawkins,['2019'],['12'],['6073'],USA
Annie Kunz,['2019'],['13'],['6067'],USA
Solène Ndama,['2019'],['14'],['6034'],FRA
Noor Vidts,['2019'],['15'],['5989'],BEL
Kateřina Cachová,"['2019', '2017', '2011']","['16', '15', '20']","['5987', '6070', '5908']",CZE
Anouk Vetter,"['2019', '2017', '2015']","['', '3', '12']","['DNF', '6636', '6267']",NED
Marthe Koala,"['2019', '2015']","['', '']","['DNF', 'DNF']",BUR
Maria Huntington,['2019'],[''],['DNF'],FIN
Ivona Dadic,"['2019', '2017']","['', '6']","['DNF', '6417']",AUT
Carolin Schäfer,"['2017', '2015']","['2', '']","['6696', 'DNF']",GER
