,years_competed,finish_placements,finish_marks,country
Yaroslava MAHUCHIKH,"['2023', '2022']","['1', '2']","['2.01', '2.02']",UKR
Eleanor PATTERSON,"['2023', '2022']","['2', '1']","['1.99', '2.02']",AUS
Nicola OLYSLAGERS,"['2023', '2022']","['3', '5']","['1.99', '1.96']",AUS
Morgan LAKE,['2023'],['4'],['1.97'],GBR
Lamara DISTIN,"['2023', '2022']","['5', '9']","['1.94', '1.93']",JAM
Iryna GERASHCHENKO,"['2023', '2022']","['5', '4']","['1.94', '2.00']",UKR
Angelina TOPIĆ,['2023'],['7'],['1.94'],SRB
Christina HONSEL,['2023'],['8'],['1.94'],GER
Lia APOSTOLOVSKI,"['2023', '2022']","['9', '12']","['1.90', '1.89']",SLO
Nadezhda DUBOVITSKAYA,"['2023', '2022']","['9', '8']","['1.90', '1.96']",KAZ
Vashti CUNNINGHAM,['2023'],['11'],['1.90'],USA
Nawal MENIKER,['2023'],['12'],['1.90'],FRA
Elena KULICHENKO,['2023'],['13'],['1.90'],CYP
Ella JUNNILA,['2023'],['13'],['1.90'],FIN
Solène GICQUEL,['2023'],['15'],['1.85'],FRA
Elena VALLORTIGARA,['2022'],['3'],['2.00'],ITA
Safina SADULLAYEVA,['2022'],['5'],['1.96'],UZB
Karmen BRUUS,['2022'],['7'],['1.96'],EST
Daniela STANCIU,['2022'],['10'],['1.93'],ROU
Kimberly WILLIAMSON,['2022'],['11'],['1.89'],JAM
Anna Chicherova,"['2011', '2009', '2007', '2005', '2003']","['1', '', '2', '4', '6']","['2.03', 'DQ', '2.03', '1.96', '1.95']",RUS
Blanka Vlašic,"['2011', '2009', '2007', '2003', '2001']","['2', '1', '1', '7', '6']","['2.03', '2.04', '2.05', '1.95', '1.94']",CRO
Antonietta Di Martino,"['2011', '2009', '2007', '2001']","['3', '3', '2', '12']","['2.00', '1.99', '2.03', '1.85']",ITA
Svetlana Shkolina,"['2011', '2009']","['4', '5']","['1.97', '1.96']",RUS
Deirdre Ryan,['2011'],['5'],['1.93'],IRL
Xingjuan Zheng,['2011'],['5'],['1.93'],CHN
Doreen Amata,['2011'],['7'],['1.93'],NGR
Svetlana Radzivil,['2011'],['7'],['1.93'],UZB
Brigetta Barrett,['2011'],['9'],['1.93'],USA
Emma Green,"['2011', '2009', '2007', '2005']","['10', '6', '7', '3']","['1.89', '1.96', '1.94', '1.96']",SWE
Anna Iljuštšenko,['2011'],['11'],['1.89'],EST
Elena Slesarenko,"['2011', '2009', '2007']","['', '', '4']","['DQ', 'DQ', '2.00']",RUS
Ariane Friedrich,['2009'],['2'],['2.02'],GER
Ruth Beitia,"['2009', '2007', '2003']","['4', '6', '11']","['1.99', '1.97', '1.90']",ESP
Chaunté Lowe,"['2009', '2005']","['6', '2']","['1.96', '2.00']",USA
Melanie Melfort,"['2009', '2007']","['8', '7']","['1.92', '1.94']",FRA
Meike Kröger,['2009'],['9'],['1.87'],GER
Amy Acuff,"['2009', '2007', '2005', '2003', '2001', '1999', '1995']","['10', '12', '8', '9', '10', '9', '8']","['1.87', '1.94', '1.89', '1.90', '1.90', '1.93', '1.93']",USA
Ekaterina Savchenko,['2007'],['5'],['2.00'],RUS
Marina Aitova,['2007'],['7'],['1.94'],KAZ
Vita Palamar,"['2007', '2005', '2003', '2001']","['7', '5', '5', '5']","['1.94', '1.93', '1.95', '1.94']",UKR
Kajsa Bergqvist,"['2007', '2005', '2003', '2001', '1999', '1997']","['7', '1', '3', '3', '4', '5']","['1.94', '2.02', '2.00', '1.97', '1.96', '1.93']",SWE
Miruna Mataoanu,['2007'],['13'],['1.90'],ROU
Tia Hellebaut,"['2007', '2005']","['14', '6']","['1.90', '1.93']",BEL
Levern Spencer,['2007'],['15'],['1.90'],LCA
Barbora Laláková,['2007'],['15'],['1.90'],CZE
Vita Styopina,"['2005', '2003', '1999']","['7', '9', '7']","['1.93', '1.90', '1.96']",UKR
Dóra Györffy,"['2005', '2001']","['9', '7']","['1.89', '1.90']",HUN
Venelina Veneva-Mateeva,"['2005', '2003', '2001']","['10', '4', '4']","['1.85', '1.98', '1.97']",BUL
Iva Straková,['2005'],['11'],['1.85'],CZE
Iryna Mykhalchenko,['2005'],['12'],['1.85'],UKR
Hestrie Cloete,"['2003', '2001', '1997']","['1', '1', '10']","['2.06', '2.00', '1.90']",RSA
Marina Kuptsova,['2003'],['2'],['2.00'],RUS
Juana Rosario Arrendel,['2003'],['8'],['1.95'],DOM
Olga Kaliturina,"['2003', '1997']","['11', '2']","['1.90', '1.96']",RUS
