,years_competed,finish_placements,finish_marks,country
Haruka KITAGUCHI,"['2023', '2022']","['1', '3']","['66.73', '63.27']",JPN
Flor Denis RUIZ HURTADO,['2023'],['2'],['65.47'],COL
Mackenzie LITTLE,"['2023', '2022']","['3', '5']","['63.38', '63.22']",AUS
Anete KOCIŅA,['2023'],['4'],['63.18'],LAT
Victoria HUDSON,['2023'],['5'],['62.92'],AUT
Shiying LIU,"['2023', '2022']","['6', '4']","['61.66', '63.25']",CHN
Kelsey-Lee BARBER,"['2023', '2022']","['7', '1']","['61.19', '66.91']",AUS
Jucilene Sales DE LIMA,['2023'],['8'],['60.34'],BRA
Līna MŪZE-SIRMĀ,['2023'],['9'],['58.43'],LAT
Jo-Ane VAN DYK,['2023'],['10'],['57.43'],RSA
Maria Lucelly MURILLO,['2023'],['11'],['54.85'],COL
Kathryn MITCHELL,['2023'],[''],['DNS'],AUS
Kara WINGER,['2022'],['2'],['64.05'],USA
Līna MŪZE,['2022'],['6'],['61.26'],LAT
Annu RANI,['2022'],['7'],['61.12'],IND
Nikola OGRODNÍKOVÁ,['2022'],['8'],['60.18'],CZE
Elizabeth GLEADLE,['2022'],['9'],['59.59'],CAN
Liveta JASIŪNAITĖ,['2022'],['10'],['58.97'],LTU
Sae TAKEMOTO,['2022'],['11'],['57.93'],JPN
Annika Marie FUCHS,['2022'],['12'],['56.46'],GER
Barbora Špotáková,"['2011', '2007']","['1', '1']","['71.58', '67.07']",CZE
Sunette Viljoen,['2011'],['2'],['68.38'],RSA
Christina Obergföll,"['2011', '2007', '2005']","['3', '2', '2']","['65.24', '66.46', '70.03']",GER
Katharina Molitor,['2011'],['4'],['64.32'],GER
Kim Mickle,['2011'],['5'],['61.96'],AUS
Martina Ratej,['2011'],['6'],['61.65'],SLO
Jarmila Jurkovicova,['2011'],['7'],['59.27'],CZE
Yuki Ebihara,['2011'],['8'],['59.08'],JPN
Goldie Sayers,"['2011', '2005']","['9', '12']","['58.18', '54.44']",GBR
Madara Palameika,['2011'],['10'],['58.08'],LAT
Maria Abakumova,"['2011', '2007']","['', '7']","['DQ', '61.43']",RUS
