,years_competed,finish_placements,finish_marks,country
Ivana VULETA,"['2023', '2022']","['1', '7']","['7.14', '6.84']",SRB
Tara DAVIS-WOODHALL,['2023'],['2'],['6.91'],USA
Alina ROTARU-KOTTMANN,['2023'],['3'],['6.88'],ROU
Ese BRUME,"['2023', '2022']","['4', '2']","['6.84', '7.02']",NGR
Larissa IAPICHINO,['2023'],['5'],['6.82'],ITA
Fátima DIAME,['2023'],['6'],['6.82'],ESP
Marthe KOALA,['2023'],['7'],['6.68'],BUR
Tessy EBOSELE,['2023'],['8'],['6.62'],ESP
Maryse LUZOLO,['2023'],['9'],['6.58'],GER
Jasmine MOORE,['2023'],['10'],['6.54'],USA
Ackelia SMITH,['2023'],['11'],['6.49'],JAM
Leticia ORO MELO,"['2023', '2022']","['12', '3']","['6.12', '6.89']",BRA
Malaika MIHAMBO,['2022'],['1'],['7.12'],GER
Quanesha BURKS,['2022'],['4'],['6.88'],USA
Brooke BUSCHKUEHL,['2022'],['5'],['6.87'],AUS
Khaddi SAGNIA,['2022'],['6'],['6.87'],SWE
Maryna BEKH-ROMANCHUK,['2022'],['8'],['6.82'],UKR
Jazmin SAWYERS,['2022'],['9'],['6.62'],GBR
Lorraine UGEN,['2022'],['10'],['6.53'],GBR
Ruth USORO,['2022'],['11'],['6.52'],NGR
Tiffany FLYNN,['2022'],['12'],['6.48'],USA
Brittney REESE,"['2011', '2009']","['1', '1']","['6.82', '7.10']",USA
Ineta Radeviča,['2011'],['2'],['6.76'],LAT
Nastassia MIRONCHYK-IVANOVA,"['2011', '2009']","['3', '10']","['6.74', '6.29']",BLR
Carolina Klüft,['2011'],['4'],['6.56'],SWE
Janay DeLoach,['2011'],['5'],['6.56'],USA
Darya KLISHINA,['2011'],['6'],['6.50'],RUS
Karin Mey Melis,"['2011', '2009']","['7', '2']","['6.44', '6.80']",TUR
Mayookha Johny,['2011'],['8'],['6.37'],IND
Naide Gomes,"['2011', '2009', '2007']","['9', '3', '4']","['6.26', '6.77', '6.87']",POR
Maurren Higa Maggi,"['2011', '2009', '2007', '2001', '1999']","['10', '6', '6', '7', '8']","['6.17', '6.68', '6.80', '6.73', '6.68']",BRA
Funmi Jimoh,['2011'],[''],['NM'],USA
Olga Kucherenko,"['2011', '2009']","['', '4']","['DQ', '6.77']",RUS
Shara PROCTOR,['2009'],['5'],['6.71'],AIA
Ksenija BALTA,['2009'],['7'],['6.62'],EST
Brianna Glenn,['2009'],['8'],['6.59'],USA
Teresa Dobija,['2009'],['9'],['6.58'],POL
Keila COSTA,['2009'],[''],['NM'],BRA
Tatyana Lebedeva,"['2009', '2007']","['', '1']","['DQ', '7.03']",RUS
Lyudmila Kolchanova,['2007'],['2'],['6.92'],RUS
Tatyana Kotova,"['2007', '2005', '2003', '2001']","['3', '', '2', '2']","['6.90', 'DQ', '6.74', '7.01']",RUS
Bianca Kappler,['2007'],['5'],['6.81'],GER
Keila Costa,['2007'],['7'],['6.69'],BRA
Brittney Reese,['2007'],['8'],['6.60'],USA
Anju Bobby George,"['2007', '2005', '2003']","['9', '4', '3']","['6.53', '6.66', '6.70']",IND
Tianna Bartoletta,"['2007', '2005']","['10', '1']","['6.47', '6.89']",USA
Viktoriya Rybalko,['2007'],['11'],['6.45'],UKR
Jana Velďáková,['2007'],['12'],['6.21'],SVK
Eunice Barber,"['2005', '2003']","['2', '1']","['6.76', '6.99']",FRA
Yargeris Savigne,['2005'],['3'],['6.69'],CUB
Oksana Udmurtova,['2005'],['5'],['6.53'],RUS
Grace Upshaw,"['2005', '2003']","['6', '8']","['6.51', '6.47']",USA
Kelly Sotherton,['2005'],['7'],['6.42'],GBR
Jackie Edwards,"['2005', '1995', '1991']","['8', '', '10']","['6.42', 'NM', '6.37']",BAH
Tünde Vaszi,"['2005', '2003', '2001']","['9', '6', '4']","['6.32', '6.53', '6.86']",HUN
Concepción Montaner,"['2005', '2003']","['10', '12']","['6.32', '6.37']",ESP
Elva Goulbourne,"['2005', '2001']","['11', '10']","['6.21', '6.62']",JAM
Jade Johnson,['2003'],['4'],['6.63'],GBR
Olga Rublyova,"['2003', '1999', '1995']","['5', '11', '4']","['6.58', '6.56', '6.78']",RUS
Bronwyn Thompson,['2003'],['7'],['6.48'],AUS
Fiona May,"['2003', '2001', '1999', '1997', '1995']","['9', '1', '2', '3', '1']","['6.46', '7.02', '6.94', '6.91', '6.98']",ITA
Lyudmila Galkina,"['2003', '2001', '1999', '1997', '1993']","['10', '8', '4', '1', '5']","['6.45', '6.70', '6.82', '7.05', '6.74']",RUS
Valentina Gotovska,"['2003', '2001']","['11', '5']","['6.43', '6.84']",LAT
Niurka Montalvo,"['2001', '1999', '1995']","['3', '1', '2']","['6.88', '7.06', '6.86']",ESP
Níki Xánthou,"['2001', '1997']","['6', '2']","['6.76', '6.94']",GRE
Yingnan Guan,['2001'],['9'],['6.69'],CHN
Kumiko Imura,['2001'],['11'],['6.44'],JPN
Jenny Adams,['2001'],[''],['NM'],USA
Marion Jones,"['1999', '1997']","['3', '10']","['6.83', '6.63']",USA
Joanne Wise,['1999'],['5'],['6.75'],GBR
Dawn Burrell-Campbell,['1999'],['6'],['6.74'],USA
Susen Tiedtke,"['1999', '1997', '1993', '1991']","['7', '6', '9', '5']","['6.68', '6.78', '6.54', '6.77']",GER
Nicole Boegman,"['1999', '1993']","['9', '7']","['6.63', '6.70']",AUS
Erica Johansson,"['1999', '1997']","['10', '8']","['6.63', '6.64']",SWE
Shana Williams,['1999'],['12'],['6.52'],USA
Heike Drechsler,"['1997', '1995', '1993', '1991']","['4', '9', '1', '2']","['6.89', '6.64', '7.11', '7.29']",GER
Jackie Joyner-Kersee,"['1997', '1995', '1991']","['5', '6', '1']","['6.79', '6.74', '7.32']",USA
Viktoriya Vershynina,"['1997', '1995']","['7', '8']","['6.71', '6.66']",UKR
Magdalena Khristova,['1997'],['9'],['6.64'],BUL
Sharon Jaklofsky,['1997'],['11'],['6.61'],NED
Chioma Ajunwa,['1997'],['12'],['5.21'],NGR
Irina Mushailova,['1995'],['3'],['6.83'],RUS
Valentina Uccheddu,"['1995', '1993']","['5', '12']","['6.76', '6.38']",ITA
Agata Karczmarek,"['1995', '1993']","['7', '8']","['6.71', '6.57']",POL
Inessa Kravets,['1995'],['10'],['6.57'],UKR
Olena Khlopotnova,"['1995', '1993']","['11', '4']","['6.53', '6.75']",UKR
Chantal Brunner,['1995'],['12'],['6.43'],NZL
Larisa Berezhnaya,"['1993', '1991']","['2', '3']","['6.98', '7.11']",UKR
Renata Nielsen,['1993'],['3'],['6.76'],DEN
Ljudmila Ninova-Rudoll,"['1993', '1991']","['6', '7']","['6.73', '6.72']",AUT
Yelena Sinchukova,"['1993', '1991']","['10', '4']","['6.52', '7.04']",RUS
Mirela Dulgheru-Renda,['1993'],['11'],['6.48'],ROU
Marieta Ilcu,['1991'],['6'],['6.72'],ROU
Yelena Belevskaya,['1991'],['8'],['6.69'],URS
Ringa Ropo-Junnila,['1991'],['9'],['6.63'],FIN
Christy Opara-Thompson,['1991'],['11'],['6.28'],NGR
Oluyinka Idowu,['1991'],['12'],['6.16'],GBR
