,years_competed,finish_placements,finish_marks,country
Chase EALEY,"['2023', '2022']","['1', '1']","['20.43', '20.49']",USA
Sarah MITTON,"['2023', '2022']","['2', '4']","['20.08', '19.77']",CAN
Lijiao GONG,"['2023', '2022']","['3', '2']","['19.69', '20.39']",CHN
Auriol DONGMO,"['2023', '2022']","['4', '5']","['19.69', '19.62']",POR
Danniel THOMAS-DODD,"['2023', '2022']","['5', '10']","['19.59', '18.29']",JAM
Maggie EWEN,"['2023', '2022']","['6', '9']","['19.51', '18.64']",USA
Maddison-Lee WESCHE,"['2023', '2022']","['7', '7']","['19.51', '19.50']",NZL
Jessica SCHILDER,"['2023', '2022']","['8', '3']","['19.26', '19.77']",NED
Jorinde VAN KLINKEN,['2023'],['9'],['19.05'],NED
Yemisi OGUNLEYE,['2023'],['10'],['18.97'],GER
Jiayuan SONG,"['2023', '2022']","['11', '6']","['18.90', '19.57']",CHN
Sara GAMBETTA,['2023'],['12'],['18.71'],GER
Jessica WOODARD,['2022'],['8'],['18.67'],USA
Fanny ROOS,['2022'],['11'],['18.27'],SWE
Axelina JOHANSSON,['2022'],['12'],['17.60'],SWE
Valerie Adams,"['2011', '2009', '2007']","['1', '1', '1']","['21.24', '20.44', '20.54']",NZL
Jillian Camarena-Williams,['2011'],['2'],['20.02'],USA
Lijiao Gong,"['2011', '2009', '2007']","['3', '3', '6']","['19.97', '19.89', '18.66']",CHN
Evgeniia Kolodko,['2011'],['4'],['19.78'],RUS
Ling Li,"['2011', '2007']","['5', '3']","['19.71', '19.38']",CHN
Anna Avdeeva,"['2011', '2009']","['6', '4']","['19.54', '19.66']",RUS
Nadine Kleinert,"['2011', '2009', '2007', '2005', '2003', '2001', '1999', '1997']","['7', '2', '2', '3', '7', '2', '2', '7']","['19.26', '20.20', '19.77', '19.07', '18.48', '19.86', '19.61', '18.42']",GER
Michelle Carter,"['2011', '2009']","['8', '5']","['18.76', '18.96']",USA
Natallia Mikhnevich,"['2011', '2009', '2005']","['9', '', '6']","['18.47', 'DQ', '18.34']",BLR
Christina Schwanitz,"['2011', '2009']","['10', '11']","['17.96', '17.84']",GER
Cleopatra Borel,['2011'],['11'],['17.62'],TTO
Nadzeya Ostapchuk,"['2011', '2007', '2005', '2003', '2001']","['', '', '', '2', '7']","['DQ', 'DQ', 'DQ', '20.12', '18.98']",BLR
Anna Omarova,"['2011', '2007']","['', '8']","['DQ', '18.20']",RUS
Meiju Li,"['2009', '2007', '2005', '2003']","['6', '5', '5', '11']","['18.76', '18.83', '18.35', '17.92']",CHN
Misleydis González,"['2009', '2007', '2005']","['7', '10', '8']","['18.74', '18.14', '18.01']",CUB
Mailín Vargas,['2009'],['8'],['18.67'],CUB
Xiangrong Liu,['2009'],['9'],['18.52'],CHN
Denise Hinrichs,['2009'],['10'],['18.39'],GER
Petra Lammert,['2007'],['4'],['19.33'],GER
Chiara Rosa,['2007'],['7'],['18.39'],ITA
Yanina Pravalinskay-Karolchyk,"['2007', '2001', '1999']","['9', '1', '4']","['18.17', '20.61', '19.17']",BLR
Yumileidi Cumbá,"['2007', '2005', '2001', '1999']","['11', '4', '8', '6']","['17.93', '18.64', '18.73', '18.44']",CUB
Olga Ryabinkina,['2005'],['1'],['19.64'],RUS
Valerie ADAMS,"['2005', '2003']","['2', '5']","['19.62', '18.65']",NZL
Christina SCHWANITZ,['2005'],['7'],['18.02'],GER
Lieja Koeman-Tunks,"['2005', '2003', '2001']","['9', '10', '12']","['17.83', '17.99', '17.89']",NED
Assunta Legnante,"['2005', '2003']","['10', '8']","['16.99', '18.28']",ITA
Svetlana Krivelyova,"['2005', '2003', '2001', '1999', '1997', '1993', '1991']","['', '1', '9', '3', '10', '2', '3']","['DQ', '20.63', '18.70', '19.43', '17.38', '19.97', '20.16']",RUS
Vita Pavlysh,"['2003', '2001', '1997', '1995']","['3', '3', '2', '11']","['20.08', '19.41', '20.66', '17.97']",UKR
Irina Korzhanenko,"['2003', '2001', '1995']","['4', '5', '12']","['19.17', '19.35', '17.88']",RUS
