,years_competed,finish_placements,finish_marks,country
Yulimar ROJAS,"['2023', '2022']","['1', '1']","['15.08', '15.47']",VEN
Maryna BEKH-ROMANCHUK,"['2023', '2022']","['2', '10']","['15.00', '13.91']",UKR
Leyanis PÉREZ HERNÁNDEZ,"['2023', '2022']","['3', '4']","['14.96', '14.70']",CUB
Shanieka RICKETTS,"['2023', '2022']","['4', '2']","['14.93', '14.89']",JAM
Thea LAFOND,"['2023', '2022']","['5', '5']","['14.90', '14.56']",DMA
Liadagmis POVEA,['2023'],['6'],['14.87'],CUB
Kimberly WILLIAMS,"['2023', '2022']","['7', '7']","['14.38', '14.29']",JAM
Dariya DERKACH,['2023'],['8'],['14.36'],ITA
Keturah ORJI,"['2023', '2022']","['9', '6']","['14.33', '14.49']",USA
Ottavia CESTONARO,['2023'],['10'],['14.05'],ITA
Jasmine MOORE,['2023'],['11'],['13.54'],USA
Tori FRANKLIN,"['2023', '2022']","['', '3']","['DNS', '14.72']",USA
Patrícia MAMONA,['2022'],['8'],['14.29'],POR
Kristiina MÄKELÄ,['2022'],['9'],['14.18'],FIN
Ackelia SMITH,['2022'],['11'],['13.90'],JAM
Ana Lucia JOSE TIMA,['2022'],[''],['DQ'],DOM
Olha SALADUKHA,['2011'],['1'],['14.94'],UKR
Olga RYPAKOVA,['2011'],['2'],['14.89'],KAZ
Caterine IBARGUEN,['2011'],['3'],['14.84'],COL
Mabel Gay,"['2011', '2009', '2003']","['4', '2', '5']","['14.67', '14.61', '14.52']",CUB
Yamilé Aldama,"['2011', '2005', '1999']","['5', '4', '2']","['14.50', '14.72', '14.61']",GBR
Yargeris Savigne,"['2011', '2009', '2007', '2005']","['6', '1', '1', '2']","['14.43', '14.95', '15.28', '14.82']",CUB
Anna Krylova,['2011'],['7'],['14.23'],RUS
Baya Rahouli,"['2011', '2005', '2003', '1999']","['8', '7', '11', '10']","['14.12', '14.40', '14.26', '14.00']",ALG
Nataliya Yastrebova,['2011'],['9'],['14.12'],UKR
